>,56-Ba-134:0.024170
>,56-Ba-135:0.065920
>,56-Ba-136:0.078540
>,56-Ba-137:0.112320
>,56-Ba-138:0.716980
8.840210e+00,3.26884488e+00
8.846740e+00,3.26613469e+00
8.853270e+00,3.26359914e+00
8.859800e+00,3.26122296e+00
8.866330e+00,3.25899151e+00
8.872860e+00,3.25689299e+00
8.879390e+00,3.25491586e+00
8.885920e+00,3.25305034e+00
8.892450e+00,3.25128723e+00
8.898980e+00,3.24961896e+00
8.905510e+00,3.24803796e+00
8.912040e+00,3.24653796e+00
8.925100e+00,3.24375742e+00
8.938150e+00,3.24123651e+00
8.945840e+00,3.23985979e+00
8.953520e+00,3.23855524e+00
8.961210e+00,3.23731680e+00
8.968890e+00,3.23614001e+00
8.984260e+00,3.23395294e+00
8.999630e+00,3.23196301e+00
9.015000e+00,3.23014429e+00
9.030370e+00,3.22847484e+00
9.045740e+00,3.22693659e+00
9.061100e+00,3.22551413e+00
9.072280e+00,3.22454422e+00
9.083460e+00,3.22362399e+00
9.094640e+00,3.22274932e+00
9.105810e+00,3.22191671e+00
9.116990e+00,3.22112253e+00
9.128170e+00,3.22036421e+00
9.139350e+00,3.21963892e+00
9.150520e+00,3.21894427e+00
9.167290e+00,3.21795481e+00
9.184060e+00,3.21702251e+00
9.200820e+00,3.21614186e+00
9.217590e+00,3.21530733e+00
9.234350e+00,3.21451486e+00
9.251120e+00,3.21376032e+00
9.267890e+00,3.21304032e+00
9.284650e+00,3.21235198e+00
9.305460e+00,3.21153748e+00
9.326260e+00,3.21076292e+00
9.347070e+00,3.21002396e+00
9.367870e+00,3.20931758e+00
9.375000e+00,3.20908550e+00
9.388680e+00,3.20864814e+00
9.409480e+00,3.20800942e+00
9.430290e+00,3.20739450e+00
9.451090e+00,3.20680164e+00
9.468630e+00,3.20631713e+00
9.486170e+00,3.20584566e+00
9.503710e+00,3.20538631e+00
9.521250e+00,3.20493820e+00
9.556340e+00,3.20407246e+00
