Fe-57(n,g) ENDFB-8.0
Energy(eV) XS(b)
4750.91 4.61862
4750.94 4.35780
4750.97 4.12510
4751.00 3.90304
4751.03 3.70425
4751.09 3.34303
4751.15 3.03105
4751.21 2.76003
4751.27 2.52329
4751.33 2.31542
4751.39 2.13202
4751.45 1.96946
4751.52 1.82477
4751.58 1.69547
4751.64 1.57947
4751.70 1.47504
4751.76 1.38072
4751.82 1.29526
4751.94 1.14680
4752.06 1.02286
4752.19 0.918373
4752.31 0.830169
4752.43 0.753868
4752.55 0.687969
4752.67 0.630675
4752.80 0.580558
4752.92 0.536473
4753.04 0.497494
4753.28 0.432201
4753.53 0.379563
4753.77 0.336688
4754.01 0.301309
4754.26 0.271889
4754.50 0.246971
4754.75 0.225767
4754.99 0.207576
4755.23 0.191854
4755.72 0.166196
4756.21 0.146353
4756.70 0.130635
4757.18 0.118020
4757.67 0.107704
4758.16 0.0991927
4758.65 0.0920611
4759.13 0.0860383
4760.11 0.0765044
4761.08 0.0693670
4762.06 0.0638848
4763.03 0.0595823
4764.01 0.0561432
4764.98 0.0533505
4765.96 0.0510516
4767.91 0.0475213
4769.86 0.0449739
4771.81 0.0430724
4773.76 0.0416157
4777.66 0.0395603
4781.56 0.0382073
4785.46 0.0372660
4789.36 0.0365830
4793.27 0.0360703
4797.17 0.0356748
4804.97 0.0351120
4812.77 0.0347385
4820.57 0.0344793
4828.37 0.0342947
4843.97 0.0340675
4859.58 0.0339612
4875.18 0.0339352
4906.38 0.0340542
4937.59 0.0343509
4968.80 0.0347995
5000.00 0.0353901
5032.17 0.0361446
5064.34 0.0370485
5096.51 0.0381065
5128.68 0.0393261
5160.84 0.0407177
5193.01 0.0422941
5225.18 0.0440715
5257.35 0.0460691
5289.52 0.0483103
5321.69 0.0508227
5353.86 0.0536395
5369.94 0.0551739
5386.03 0.0567997
5402.11 0.0585230
5418.19 0.0603504
5434.28 0.0622893
5450.36 0.0643474
5466.45 0.0665339
5482.53 0.0688581
5498.62 0.0713306
5514.70 0.0739630
5530.79 0.0767684
5546.87 0.0797605
5562.95 0.0829553
5579.04 0.0863695
5595.12 0.0900227
5611.21 0.0939357
5627.29 0.0981321
5643.38 0.102638
5659.46 0.107483
5675.54 0.112699
5691.63 0.118323
5707.71 0.124395
5723.80 0.130962
5739.88 0.138072
5755.97 0.145786
5772.05 0.154166
5788.14 0.163287
5804.22 0.173229
5820.30 0.184086
5836.39 0.195960
5852.47 0.208970
5868.56 0.223245
5884.64 0.238933
5900.73 0.256198
5908.77 0.265480
5916.81 0.275224
5924.85 0.285457
5932.89 0.296206
5940.94 0.307501
5948.98 0.319366
