90-Th_n-g
> 90-Th-232:1.000000
7.500000e+05 2.23557000e-01
8.000000e+05 2.17124000e-01
8.500000e+05 2.12721000e-01
9.000000e+05 2.08652000e-01
9.500000e+05 2.05744000e-01
1.000000e+06 2.03022000e-01
1.100000e+06 1.95137000e-01
1.200000e+06 1.87710000e-01
1.300000e+06 1.80553000e-01
1.400000e+06 1.73398000e-01
1.500000e+06 1.66402000e-01
1.600000e+06 1.59213000e-01
1.700000e+06 1.52179000e-01
1.800000e+06 1.44968000e-01
1.900000e+06 1.37861000e-01
2.000000e+06 1.30678000e-01
2.075000e+06 1.24747000e-01
2.150000e+06 1.19283000e-01
2.225000e+06 1.14232000e-01
2.300000e+06 1.09553000e-01
2.400000e+06 1.02410000e-01
2.500000e+06 9.59968000e-02
2.550000e+06 9.25111000e-02
2.600000e+06 8.92160000e-02
2.700000e+06 8.31438000e-02
2.775000e+06 7.82235000e-02
2.850000e+06 7.37143000e-02
2.925000e+06 6.95721000e-02
3.000000e+06 6.57590000e-02
3.062500e+06 6.19079000e-02
3.125000e+06 5.83535000e-02
3.187500e+06 5.50675000e-02
3.250000e+06 5.20251000e-02
3.312500e+06 4.92041000e-02
3.375000e+06 4.65845000e-02
3.437500e+06 4.41487000e-02
3.500000e+06 4.18808000e-02
3.562500e+06 3.93313000e-02
3.625000e+06 3.69774000e-02
3.687500e+06 3.48010000e-02
3.750000e+06 3.27862000e-02
3.812500e+06 3.09184000e-02
3.875000e+06 2.91849000e-02
3.937500e+06 2.75741000e-02
4.000000e+06 2.60754000e-02
4.062500e+06 2.44231000e-02
4.125000e+06 2.28984000e-02
4.187500e+06 2.14897000e-02
4.250000e+06 2.01867000e-02
4.312500e+06 1.89799000e-02
4.375000e+06 1.78612000e-02
4.437500e+06 1.68229000e-02
4.500000e+06 1.58582000e-02
4.562500e+06 1.49319000e-02
4.625000e+06 1.40713000e-02
4.687500e+06 1.32708000e-02
4.750000e+06 1.25256000e-02
4.812500e+06 1.18312000e-02
4.875000e+06 1.11834000e-02
4.937500e+06 1.05788000e-02
5.000000e+06 1.00138000e-02
5.060810e+06 9.48090000e-03
5.121620e+06 8.98222000e-03
5.182430e+06 8.51520000e-03
5.243240e+06 8.07750000e-03
5.304040e+06 7.66696000e-03
5.364850e+06 7.28161000e-03
5.425660e+06 6.91965000e-03
5.486470e+06 6.57942000e-03
5.500000e+06 6.50652000e-03
5.562500e+06 6.21225000e-03
5.625000e+06 5.93436000e-03
5.687500e+06 5.67177000e-03
5.750000e+06 5.42348000e-03
5.812500e+06 5.18857000e-03
5.875000e+06 4.96619000e-03
5.937500e+06 4.75554000e-03
6.000000e+06 4.55589000e-03
6.125000e+06 4.22974000e-03
6.250000e+06 3.93284000e-03
6.375000e+06 3.66206000e-03
6.500000e+06 3.41464000e-03
6.625000e+06 3.24789000e-03
6.750000e+06 3.09218000e-03
6.875000e+06 2.94659000e-03
7.000000e+06 2.81029000e-03
7.250000e+06 2.63864000e-03
7.500000e+06 2.48277000e-03
7.750000e+06 2.40197000e-03
8.000000e+06 2.32625000e-03
8.500000e+06 2.24483000e-03
9.000000e+06 2.20690000e-03
9.500000e+06 2.17545000e-03
1.000000e+07 2.14006000e-03
1.050000e+07 2.08717000e-03
1.100000e+07 2.01098000e-03
1.150000e+07 1.91556000e-03
1.200000e+07 1.82598000e-03
1.250000e+07 1.72445000e-03
1.270290e+07 1.67585000e-03
1.300000e+07 1.60846000e-03
1.325000e+07 1.54299000e-03
1.350000e+07 1.48133000e-03
1.375000e+07 1.41248000e-03
1.400000e+07 1.34799000e-03
1.425000e+07 1.28913000e-03
1.450000e+07 1.23379000e-03
1.475000e+07 1.16502000e-03
1.500000e+07 1.10114000e-03
1.525000e+07 1.05391000e-03
1.550000e+07 1.00942000e-03
1.575000e+07 9.60591000e-04
1.600000e+07 9.14838000e-04
