76-Os_n-g
> 76-Os-184:0.000200
> 76-Os-186:0.015900
> 76-Os-187:0.019600
> 76-Os-188:0.132400
> 76-Os-189:0.161500
> 76-Os-190:0.262600
> 76-Os-192:0.407800
1.385740e-01 2.21166184e+01
1.406250e-01 2.19092863e+01
1.414310e-01 2.18300666e+01
1.433670e-01 2.16398599e+01
1.437500e-01 2.16022662e+01
1.442870e-01 2.15513408e+01
1.468750e-01 2.13060627e+01
1.492340e-01 2.10884025e+01
1.500000e-01 2.10177614e+01
1.531250e-01 2.07395158e+01
1.562500e-01 2.04677219e+01
1.593750e-01 2.02081312e+01
1.625000e-01 1.99487502e+01
1.687500e-01 1.94577606e+01
1.750000e-01 1.89926302e+01
1.763320e-01 1.88985387e+01
1.792910e-01 1.86895684e+01
1.803880e-01 1.86121216e+01
1.812500e-01 1.85513069e+01
1.822490e-01 1.84841907e+01
1.857760e-01 1.82473528e+01
1.875000e-01 1.81316386e+01
1.881660e-01 1.80890115e+01
1.937500e-01 1.77318398e+01
1.940830e-01 1.77115071e+01
2.000000e-01 1.73504471e+01
2.024000e-01 1.72100049e+01
2.041020e-01 1.71104666e+01
2.046500e-01 1.70785026e+01
2.064450e-01 1.69763945e+01
2.064810e-01 1.69743494e+01
2.082030e-01 1.68765868e+01
2.093000e-01 1.68145477e+01
2.093750e-01 1.68103616e+01
2.096680e-01 1.67941211e+01
2.099610e-01 1.67779203e+01
2.105750e-01 1.67440631e+01
2.108400e-01 1.67294635e+01
2.117190e-01 1.66812620e+01
2.128910e-01 1.66175087e+01
2.129620e-01 1.66136514e+01
2.138680e-01 1.65644610e+01
2.160170e-01 1.64490673e+01
2.164060e-01 1.64285149e+01
2.187500e-01 1.63053088e+01
2.193360e-01 1.62747309e+01
2.194430e-01 1.62691544e+01
2.203140e-01 1.62237881e+01
2.207190e-01 1.62031488e+01
2.246090e-01 1.60049736e+01
2.246120e-01 1.60048215e+01
2.249140e-01 1.59898298e+01
2.257810e-01 1.59468096e+01
2.259240e-01 1.59397227e+01
2.281250e-01 1.58307067e+01
2.289090e-01 1.57921253e+01
2.291090e-01 1.57825852e+01
2.322270e-01 1.56339484e+01
2.324050e-01 1.56254730e+01
2.328130e-01 1.56060573e+01
2.375000e-01 1.53838678e+01
2.375050e-01 1.53836333e+01
2.381030e-01 1.53566747e+01
2.386720e-01 1.53310259e+01
2.388860e-01 1.53213907e+01
2.402960e-01 1.52579419e+01
2.424890e-01 1.51592809e+01
2.451170e-01 1.50410869e+01
2.453670e-01 1.50298556e+01
2.461000e-01 1.49969424e+01
2.468750e-01 1.49628786e+01
2.486330e-01 1.48869414e+01
2.503910e-01 1.48116133e+01
2.515630e-01 1.47619797e+01
2.518480e-01 1.47499227e+01
2.539060e-01 1.46629021e+01
2.544330e-01 1.46411331e+01
2.562500e-01 1.45661305e+01
2.574220e-01 1.45182708e+01
2.576360e-01 1.45095405e+01
2.609380e-01 1.43748935e+01
2.620360e-01 1.43314280e+01
2.632810e-01 1.42821773e+01
2.634240e-01 1.42765259e+01
2.656250e-01 1.41896000e+01
2.679690e-01 1.40979762e+01
2.691410e-01 1.40534598e+01
2.696390e-01 1.40345620e+01
2.750000e-01 1.38312441e+01
2.843750e-01 1.34916405e+01
2.937500e-01 1.31687501e+01
2.984670e-01 1.30139725e+01
3.031250e-01 1.28612322e+01
3.113510e-01 1.26035194e+01
3.125000e-01 1.25675557e+01
3.218750e-01 1.22870281e+01
3.242340e-01 1.22195150e+01
3.312500e-01 1.20189130e+01
3.371170e-01 1.18582316e+01
3.406250e-01 1.17622435e+01
3.500000e-01 1.15161464e+01
3.593750e-01 1.12800351e+01
3.687500e-01 1.10532815e+01
3.715510e-01 1.09881555e+01
3.781250e-01 1.08353576e+01
3.798640e-01 1.07964646e+01
3.875000e-01 1.06257778e+01
3.881760e-01 1.06112274e+01
3.968750e-01 1.04241229e+01
4.048000e-01 1.02597656e+01
4.062500e-01 1.02297176e+01
4.156250e-01 1.00425286e+01
4.250000e-01 9.86131090e+00
4.343750e-01 9.68704998e+00
4.414380e-01 9.55966669e+00
4.437500e-01 9.51799016e+00
4.507810e-01 9.39593614e+00
4.531250e-01 9.35526218e+00
4.578130e-01 9.27628990e+00
4.625000e-01 9.19737934e+00
4.718750e-01 9.04579894e+00
4.812500e-01 8.89872270e+00
5.000000e-01 8.61694589e+00
5.312500e-01 8.18395228e+00
5.468750e-01 7.98733956e+00
5.625000e-01 7.79115561e+00
5.937500e-01 7.43457677e+00
5.969350e-01 7.40105521e+00
6.039510e-01 7.32723216e+00
6.109670e-01 7.25343615e+00
6.250000e-01 7.10590687e+00
6.562500e-01 6.80780411e+00
6.875000e-01 6.52979510e+00
6.886710e-01 6.51997918e+00
6.896420e-01 6.51185544e+00
6.915820e-01 6.49567824e+00
6.988850e-01 6.43539687e+00
7.061870e-01 6.37612378e+00
7.187500e-01 6.27651421e+00
7.207910e-01 6.26048251e+00
7.500000e-01 6.03946416e+00
7.613010e-01 5.95915666e+00
7.804590e-01 5.82825931e+00
7.812500e-01 5.82285725e+00
7.832030e-01 5.80963741e+00
7.851560e-01 5.79641839e+00
7.897260e-01 5.76548990e+00
7.907720e-01 5.75874412e+00
7.963870e-01 5.72253946e+00
8.076170e-01 5.65015115e+00
8.096000e-01 5.63737507e+00
8.125000e-01 5.61871329e+00
8.181510e-01 5.58318063e+00
8.203130e-01 5.57021836e+00
8.281250e-01 5.52339737e+00
8.300780e-01 5.51169789e+00
8.437500e-01 5.42986846e+00
8.465750e-01 5.41311422e+00
8.750000e-01 5.25203224e+00
8.764200e-01 5.24435993e+00
8.764210e-01 5.24434535e+00
8.764220e-01 5.24434402e+00
8.764240e-01 5.24432811e+00
8.764280e-01 5.24430953e+00
8.764350e-01 5.24427362e+00
8.764500e-01 5.24418732e+00
8.764800e-01 5.24402812e+00
8.765390e-01 5.24371081e+00
8.766590e-01 5.24306044e+00
8.768970e-01 5.24177544e+00
8.773750e-01 5.23920311e+00
8.776130e-01 5.23792361e+00
8.783290e-01 5.23407435e+00
8.811920e-01 5.21871395e+00
8.840550e-01 5.20343428e+00
8.913020e-01 5.16512861e+00
8.985480e-01 5.12733603e+00
9.062500e-01 5.08791202e+00
9.130410e-01 5.05343143e+00
9.375000e-01 4.93330368e+00
9.420280e-01 4.91156875e+00
9.687500e-01 4.78886970e+00
9.710140e-01 4.77855778e+00
1.000000e+00 4.65216124e+00
1.031250e+00 4.52530902e+00
1.062500e+00 4.40419822e+00
1.093750e+00 4.29134288e+00
1.125000e+00 4.18370379e+00
1.125400e+00 4.18239418e+00
1.125410e+00 4.18235995e+00
1.125420e+00 4.18233888e+00
1.125430e+00 4.18229100e+00
1.125460e+00 4.18218774e+00
1.125520e+00 4.18199462e+00
1.125640e+00 4.18159498e+00
1.125890e+00 4.18080175e+00
1.126370e+00 4.17921676e+00
1.127340e+00 4.17605662e+00
1.127830e+00 4.17446030e+00
1.129280e+00 4.16973833e+00
1.133160e+00 4.15715036e+00
1.147770e+00 4.11047268e+00
1.156250e+00 4.08396977e+00
1.162370e+00 4.06487226e+00
1.187500e+00 3.98898097e+00
1.191580e+00 3.97687316e+00
1.250000e+00 3.81244328e+00
1.298750e+00 3.68932106e+00
1.312500e+00 3.65660710e+00
1.347500e+00 3.57471370e+00
1.375000e+00 3.51404865e+00
