Pt-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
14.7402 111.843
14.7438 107.016
14.7474 102.430
14.7510 98.1008
14.7546 93.9954
14.7582 90.1264
14.7618 86.4620
14.7654 83.0126
14.7690 79.7489
14.7726 76.6707
14.7762 73.7682
14.7798 71.0391
14.7834 68.4589
14.7870 66.0329
14.7906 63.7390
14.7942 61.5816
14.7978 59.5406
14.8015 57.6147
14.8051 55.7967
14.8087 54.0843
14.8123 52.4615
14.8159 50.9314
14.8231 48.1092
14.8293 45.9048
14.8355 43.8926
14.8418 42.0518
14.8480 40.3637
14.8542 38.8121
14.8605 37.3825
14.8667 36.0623
14.8729 34.8422
14.8791 33.7085
14.8854 32.6544
14.8916 31.6725
14.8978 30.7574
14.9041 29.9001
14.9103 29.0969
14.9165 28.3430
