26-Fe_n-tot
>  26-Fe-54:0.058450
>  26-Fe-56:0.917533
>  26-Fe-57:0.021190
>  26-Fe-58:0.002828
3.312500e+02 1.01852691e+01
3.316490e+02 1.01841294e+01
3.327800e+02 1.01808991e+01
3.339110e+02 1.01776692e+01
3.350420e+02 1.01744397e+01
3.361730e+02 1.01712107e+01
3.367380e+02 1.01695979e+01
3.373040e+02 1.01679824e+01
3.378690e+02 1.01663699e+01
3.384350e+02 1.01647548e+01
3.390000e+02 1.01631428e+01
3.395660e+02 1.01615282e+01
3.401310e+02 1.01599168e+01
3.406960e+02 1.01583057e+01
3.413880e+02 1.01563331e+01
3.420790e+02 1.01543639e+01
3.427700e+02 1.01523956e+01
3.434610e+02 1.01504282e+01
3.438070e+02 1.01494435e+01
3.441520e+02 1.01484619e+01
3.444980e+02 1.01474779e+01
3.448430e+02 1.01464970e+01
3.451890e+02 1.01455137e+01
3.455350e+02 1.01445309e+01
3.458800e+02 1.01435514e+01
3.462260e+02 1.01425696e+01
3.466030e+02 1.01415006e+01
3.469800e+02 1.01404324e+01
3.473570e+02 1.01393652e+01
3.477340e+02 1.01382990e+01
3.481110e+02 1.01372341e+01
3.484880e+02 1.01361706e+01
3.488650e+02 1.01351088e+01
3.492420e+02 1.01340489e+01
3.495870e+02 1.01330809e+01
3.499330e+02 1.01321122e+01
3.500000e+02 1.01319250e+01
3.501060e+02 1.01316354e+01
3.502780e+02 1.01311663e+01
