83-Bi_n-tot
> 83-Bi-209:1.000000
7.761520e+02 6.67026000e+00
7.767690e+02 7.05584000e+00
7.773870e+02 7.48820000e+00
7.780050e+02 7.97347000e+00
7.786220e+02 8.51865000e+00
7.789310e+02 8.81612000e+00
7.792400e+02 9.13123000e+00
7.795490e+02 9.46524000e+00
7.798580e+02 9.81961000e+00
7.801670e+02 1.01966000e+01
7.804750e+02 1.05977000e+01
7.807840e+02 1.10246000e+01
7.810930e+02 1.14787000e+01
7.814930e+02 1.21103000e+01
7.818930e+02 1.27958000e+01
7.822920e+02 1.35405000e+01
7.826920e+02 1.43504000e+01
7.830920e+02 1.52323000e+01
7.834910e+02 1.61938000e+01
7.838910e+02 1.72435000e+01
7.842910e+02 1.83907000e+01
7.846900e+02 1.96471000e+01
7.850900e+02 2.10250000e+01
7.854900e+02 2.25385000e+01
7.858890e+02 2.42042000e+01
7.862890e+02 2.60407000e+01
7.866890e+02 2.80697000e+01
7.870890e+02 3.03163000e+01
7.872880e+02 3.15298000e+01
7.874880e+02 3.28089000e+01
7.876880e+02 3.41586000e+01
7.878880e+02 3.55824000e+01
7.880880e+02 3.70869000e+01
7.882880e+02 3.86760000e+01
7.884870e+02 4.03574000e+01
7.886870e+02 4.21360000e+01
7.888870e+02 4.40208000e+01
7.890870e+02 4.60175000e+01
7.892870e+02 4.81366000e+01
7.894870e+02 5.03853000e+01
7.896870e+02 5.27758000e+01
7.898860e+02 5.53170000e+01
7.900860e+02 5.80233000e+01
7.902860e+02 6.09054000e+01
7.904860e+02 6.39790000e+01
7.906860e+02 6.72598000e+01
7.909400e+02 7.17643000e+01
7.911940e+02 7.66720000e+01
7.914490e+02 8.20288000e+01
7.917030e+02 8.78867000e+01
7.919580e+02 9.43138000e+01
7.922120e+02 1.01376000e+02
7.924660e+02 1.09158000e+02
7.927210e+02 1.17745000e+02
7.929200e+02 1.25130000e+02
7.931200e+02 1.33132000e+02
7.933200e+02 1.41827000e+02
7.935200e+02 1.51279000e+02
7.937200e+02 1.61581000e+02
7.939200e+02 1.72818000e+02
7.941200e+02 1.85109000e+02
7.943190e+02 1.98561000e+02
7.945190e+02 2.13327000e+02
7.947190e+02 2.29547000e+02
7.949190e+02 2.47415000e+02
7.951190e+02 2.67113000e+02
7.953190e+02 2.88888000e+02
7.954190e+02 3.00624000e+02
7.955180e+02 3.12976000e+02
7.956180e+02 3.25980000e+02
7.957180e+02 3.39677000e+02
7.958180e+02 3.54107000e+02
7.959180e+02 3.69315000e+02
7.960180e+02 3.85363000e+02
7.961180e+02 4.02269000e+02
7.962180e+02 4.20099000e+02
7.963180e+02 4.38906000e+02
7.964180e+02 4.58765000e+02
7.965180e+02 4.79696000e+02
7.966180e+02 5.01774000e+02
7.967170e+02 5.25060000e+02
7.968170e+02 5.49639000e+02
7.969170e+02 5.75521000e+02
7.970170e+02 6.02790000e+02
7.971170e+02 6.31501000e+02
7.972170e+02 6.61707000e+02
7.973170e+02 6.93455000e+02
7.974170e+02 7.26784000e+02
7.975170e+02 7.61725000e+02
7.976260e+02 8.01934000e+02
7.977360e+02 8.44067000e+02
7.978450e+02 8.88177000e+02
7.979550e+02 9.34124000e+02
