>,78-Pt-195:0.337827
>,78-Pt-196:0.252120
>,78-Pt-198:0.073606
2.546760e-01,2.06757159e+01
2.548380e-01,2.06721041e+01
2.562500e-01,2.06406262e+01
2.574220e-01,2.06145434e+01
2.585940e-01,2.05885765e+01
2.613320e-01,2.05289145e+01
2.614510e-01,2.05263219e+01
2.656250e-01,2.04372997e+01
2.667970e-01,2.04124677e+01
2.681660e-01,2.03839163e+01
2.682250e-01,2.03826858e+01
2.750000e-01,2.02442987e+01
2.843750e-01,2.00616367e+01
2.937500e-01,1.98880831e+01
3.031250e-01,1.97229954e+01
3.125000e-01,1.95656118e+01
3.218750e-01,1.94153671e+01
3.312500e-01,1.92718335e+01
3.406250e-01,1.91345895e+01
3.500000e-01,1.90031188e+01
3.588810e-01,1.88839383e+01
3.593750e-01,1.88773188e+01
3.630780e-01,1.88289459e+01
3.677620e-01,1.87688894e+01
3.687500e-01,1.87562419e+01
3.752890e-01,1.86746342e+01
3.781250e-01,1.86398729e+01
3.875000e-01,1.85280869e+01
3.898440e-01,1.85015991e+01
3.968750e-01,1.84222974e+01
4.015630e-01,1.83696285e+01
4.062500e-01,1.83170639e+01
4.132810e-01,1.82431514e+01
4.250000e-01,1.81201763e+01
4.343750e-01,1.80279568e+01
4.365160e-01,1.80069245e+01
4.437500e-01,1.79367319e+01
4.538610e-01,1.78441261e+01
4.578130e-01,1.78079856e+01
4.625000e-01,1.77658034e+01
4.653960e-01,1.77412011e+01
4.718750e-01,1.76862530e+01
4.769310e-01,1.76444162e+01
5.000000e-01,1.74539919e+01
5.150480e-01,1.73401117e+01
5.248070e-01,1.72678773e+01
5.300960e-01,1.72293406e+01
5.312500e-01,1.72212336e+01
5.389980e-01,1.71683632e+01
5.546880e-01,1.70615147e+01
5.601930e-01,1.70249373e+01
5.604980e-01,1.70230338e+01
5.625000e-01,1.70105728e+01
5.781250e-01,1.69141381e+01
5.819990e-01,1.68909642e+01
5.937500e-01,1.68208384e+01
6.035000e-01,1.67631231e+01
6.203850e-01,1.66634015e+01
6.250000e-01,1.66374433e+01
6.309580e-01,1.66052087e+01
6.354330e-01,1.65812517e+01
6.458380e-01,1.65267297e+01
6.504810e-01,1.65027703e+01
6.525250e-01,1.64924950e+01
6.607180e-01,1.64514151e+01
6.718750e-01,1.63964854e+01
6.805780e-01,1.63537697e+01
6.875000e-01,1.63213669e+01
6.904790e-01,1.63076207e+01
7.109380e-01,1.62166377e+01
7.407700e-01,1.60844534e+01
7.500000e-01,1.60450960e+01
7.569720e-01,1.60166233e+01
7.585780e-01,1.60101753e+01
7.731740e-01,1.59525705e+01
7.812500e-01,1.59213775e+01
7.876840e-01,1.58965716e+01
7.899640e-01,1.58879707e+01
8.055780e-01,1.58291541e+01
8.112230e-01,1.58087256e+01
8.125000e-01,1.58041128e+01
8.167890e-01,1.57888187e+01
8.324820e-01,1.57347080e+01
8.703850e-01,1.56043487e+01
8.750000e-01,1.55891692e+01
9.062500e-01,1.54921968e+01
9.351930e-01,1.54025963e+01
9.375000e-01,1.53956649e+01
9.675960e-01,1.53100560e+01
9.687500e-01,1.53068296e+01
1.000000e+00,1.52196558e+01
1.031250e+00,1.51401582e+01
1.052010e+00,1.50874554e+01
1.062500e+00,1.50612720e+01
1.078020e+00,1.50226203e+01
1.091020e+00,1.49905981e+01
1.091160e+00,1.49902554e+01
1.093750e+00,1.49842622e+01
1.104020e+00,1.49608553e+01
1.113140e+00,1.49401753e+01
1.122270e+00,1.49196191e+01
1.125000e+00,1.49135243e+01
1.140520e+00,1.48789498e+01
1.156250e+00,1.48442411e+01
1.177010e+00,1.47985214e+01
1.182310e+00,1.47871462e+01
1.187500e+00,1.47763156e+01
1.203130e+00,1.47444566e+01
1.218750e+00,1.47130185e+01
1.250000e+00,1.46511584e+01
1.312500e+00,1.45366023e+01
1.318260e+00,1.45266292e+01
1.340970e+00,1.44878389e+01
1.363690e+00,1.44497891e+01
1.375000e+00,1.44312935e+01
1.409130e+00,1.43797297e+01
1.437500e+00,1.43388044e+01
1.500000e+00,1.42489214e+01
1.546880e+00,1.41920630e+01
1.562500e+00,1.41731594e+01
1.593750e+00,1.41377646e+01
1.625000e+00,1.41024451e+01
1.640630e+00,1.40883855e+01
1.656250e+00,1.40743681e+01
1.687500e+00,1.40466735e+01
1.696870e+00,1.40383808e+01
1.723440e+00,1.40148904e+01
1.750000e+00,1.39914437e+01
1.812500e+00,1.39524954e+01
1.875000e+00,1.39136824e+01
1.906350e+00,1.39017871e+01
1.937500e+00,1.38901682e+01
2.000000e+00,1.38696320e+01
2.065010e+00,1.38627662e+01
2.096530e+00,1.38594950e+01
2.100200e+00,1.38593525e+01
2.130020e+00,1.38623819e+01
2.187500e+00,1.38682885e+01
2.193050e+00,1.38689250e+01
2.195020e+00,1.38692698e+01
2.200400e+00,1.38702189e+01
2.260030e+00,1.38894922e+01
2.289580e+00,1.38990791e+01
2.300590e+00,1.39032991e+01
2.325040e+00,1.39173621e+01
2.375000e+00,1.39461501e+01
2.386100e+00,1.39526332e+01
2.390050e+00,1.39552376e+01
2.400790e+00,1.39623300e+01
2.455050e+00,1.40087292e+01
2.468750e+00,1.40204567e+01
2.500990e+00,1.40482254e+01
2.520060e+00,1.40691754e+01
2.562500e+00,1.41158554e+01
2.579150e+00,1.41341735e+01
2.601190e+00,1.41602186e+01
2.609380e+00,1.41715805e+01
2.635030e+00,1.42073122e+01
2.651290e+00,1.42299840e+01
2.701390e+00,1.43068740e+01
2.750000e+00,1.43892807e+01
2.751490e+00,1.43918170e+01
2.772200e+00,1.44308529e+01
2.801580e+00,1.44880843e+01
2.843750e+00,1.45801123e+01
2.865300e+00,1.46271595e+01
2.906980e+00,1.47301926e+01
2.929020e+00,1.47857825e+01
2.937500e+00,1.48099534e+01
2.990650e+00,1.49616923e+01
2.992730e+00,1.49676366e+01
3.031250e+00,1.50921804e+01
3.041760e+00,1.51261686e+01
3.056450e+00,1.51741078e+01
3.117990e+00,1.54016129e+01
3.120160e+00,1.54096437e+01
3.125000e+00,1.54300347e+01
3.176530e+00,1.56471718e+01
3.183880e+00,1.56784337e+01
3.218750e+00,1.58473454e+01
3.245320e+00,1.59760673e+01
3.247600e+00,1.59871218e+01
3.311310e+00,1.63384508e+01
3.312500e+00,1.63459437e+01
3.364940e+00,1.66761697e+01
3.406250e+00,1.69697688e+01
3.418570e+00,1.70573358e+01
3.472190e+00,1.74885950e+01
3.499000e+00,1.77255539e+01
3.500000e+00,1.77349822e+01
3.514800e+00,1.78746005e+01
3.525820e+00,1.79791010e+01
3.552630e+00,1.82507009e+01
3.579440e+00,1.85411846e+01
3.606260e+00,1.88522404e+01
3.633070e+00,1.91858366e+01
3.644940e+00,1.93443178e+01
3.659880e+00,1.95437933e+01
3.686700e+00,1.99281504e+01
3.687500e+00,1.99404997e+01
3.700450e+00,2.01404568e+01
3.713510e+00,2.03426927e+01
3.740320e+00,2.07915072e+01
3.773940e+00,2.14075522e+01
3.807560e+00,2.20900560e+01
3.828130e+00,2.25543159e+01
3.841180e+00,2.28488576e+01
3.874790e+00,2.36957856e+01
3.875000e+00,2.37017096e+01
3.886100e+00,2.40148867e+01
3.908410e+00,2.46450984e+01
3.925220e+00,2.51629834e+01
3.942030e+00,2.57127111e+01
3.958840e+00,2.62970802e+01
3.968750e+00,2.66637147e+01
3.975650e+00,2.69189930e+01
3.978930e+00,2.70483744e+01
3.992450e+00,2.75820420e+01
4.009260e+00,2.82894518e+01
4.035340e+00,2.94842089e+01
4.061410e+00,3.08138248e+01
4.071750e+00,3.14034212e+01
4.087480e+00,3.23009159e+01
4.100520e+00,3.31112671e+01
4.109380e+00,3.36951596e+01
4.113560e+00,3.39706320e+01
4.126590e+00,3.48831469e+01
4.139630e+00,3.58527927e+01
4.152670e+00,3.68844601e+01
4.165700e+00,3.79834429e+01
4.178740e+00,3.91562976e+01
4.191780e+00,4.04098307e+01
4.204810e+00,4.17521096e+01
4.217850e+00,4.31917074e+01
4.232440e+00,4.49306608e+01
4.247030e+00,4.68191214e+01
4.250000e+00,4.72375710e+01
4.250390e+00,4.72925206e+01
4.261620e+00,4.88753429e+01
4.276220e+00,5.11188176e+01
4.290810e+00,5.35733157e+01
4.305400e+00,5.62655632e+01
4.312690e+00,5.77110217e+01
4.319990e+00,5.92278314e+01
4.327280e+00,6.08217887e+01
4.334580e+00,6.24971819e+01
4.347180e+00,6.56019290e+01
4.353480e+00,6.72625882e+01
4.359780e+00,6.90014046e+01
4.366080e+00,7.08239249e+01
4.372380e+00,7.27349394e+01
4.378690e+00,7.47407522e+01
4.384990e+00,7.68469077e+01
4.391290e+00,7.90614749e+01
4.397590e+00,8.13915131e+01
4.400000e+00,8.23301037e+01
4.403890e+00,8.38450963e+01
4.410190e+00,8.64310464e+01
4.412660e+00,8.75009494e+01
4.416490e+00,8.91599494e+01
4.422790e+00,9.20416376e+01
4.429030e+00,9.50599466e+01
4.429090e+00,9.50889721e+01
4.435390e+00,9.83141414e+01
4.437500e+00,9.94634853e+01
4.442690e+00,1.02290549e+02
4.449980e+00,1.06549332e+02
4.457280e+00,1.11118224e+02
4.464570e+00,1.16027476e+02
4.471870e+00,1.21313146e+02
4.479160e+00,1.27013299e+02
4.486460e+00,1.33174330e+02
4.493760e+00,1.39845652e+02
4.501050e+00,1.47087269e+02
4.507810e+00,1.54381317e+02
4.508350e+00,1.54963977e+02
4.515640e+00,1.63554942e+02
