35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
3.629420e+01 3.30683840e+02
3.630370e+01 3.17357951e+02
3.631310e+01 3.04737160e+02
3.632250e+01 2.92759117e+02
3.633190e+01 2.81415207e+02
3.634140e+01 2.70648149e+02
3.635080e+01 2.60448312e+02
3.636960e+01 2.41576941e+02
3.638850e+01 2.24590731e+02
3.640730e+01 2.09269181e+02
3.642620e+01 1.95424738e+02
3.643990e+01 1.86180410e+02
3.645360e+01 1.77576803e+02
3.646730e+01 1.69554610e+02
3.648100e+01 1.62064156e+02
3.649470e+01 1.55062353e+02
3.650850e+01 1.48508143e+02
3.652220e+01 1.42366043e+02
3.653590e+01 1.36602090e+02
3.654960e+01 1.31182829e+02
3.656330e+01 1.26088491e+02
3.657700e+01 1.21290182e+02
3.659070e+01 1.16765599e+02
3.660440e+01 1.12494467e+02
3.661810e+01 1.08457522e+02
3.664560e+01 1.01020299e+02
3.666440e+01 9.63477045e+01
3.668330e+01 9.20000327e+01
3.670210e+01 8.79453490e+01
3.672100e+01 8.41567879e+01
3.673980e+01 8.06100180e+01
3.675870e+01 7.72878049e+01
3.677750e+01 7.41698725e+01
3.679640e+01 7.12394930e+01
3.681520e+01 6.84804458e+01
3.683410e+01 6.58820859e+01
3.685290e+01 6.34307269e+01
3.687180e+01 6.11152172e+01
3.687500e+01 6.07534993e+01
3.690950e+01 5.68537311e+01
3.694720e+01 5.30271654e+01
3.698490e+01 4.95778348e+01
3.702260e+01 4.64584454e+01
3.706030e+01 4.36265696e+01
3.709800e+01 4.10491070e+01
3.713570e+01 3.86950858e+01
3.717340e+01 3.65403271e+01
3.721110e+01 3.45618682e+01
3.724880e+01 3.27417142e+01
3.728480e+01 3.11357750e+01
3.732080e+01 2.96464736e+01
3.735680e+01 2.82623539e+01
3.739280e+01 2.69735315e+01
3.742880e+01 2.57714396e+01
3.746480e+01 2.46484241e+01
3.750080e+01 2.35976418e+01
3.753680e+01 2.26130101e+01
3.757280e+01 2.16888514e+01
3.760880e+01 2.08208573e+01
3.764470e+01 2.00042628e+01
3.768070e+01 1.92351143e+01
3.771670e+01 1.85098632e+01
3.775270e+01 1.78252148e+01
3.778870e+01 1.71782291e+01
3.782470e+01 1.65661182e+01
3.786240e+01 1.59595334e+01
3.790010e+01 1.53859985e+01
3.797550e+01 1.43290049e+01
3.805090e+01 1.33784603e+01
3.812630e+01 1.25204756e+01
3.820180e+01 1.17434936e+01
3.827720e+01 1.10376803e+01
3.835260e+01 1.03945199e+01
3.842800e+01 9.80691564e+00
3.847940e+01 9.43483100e+00
3.853080e+01 9.08403615e+00
3.858220e+01 8.75285834e+00
3.863370e+01 8.44003036e+00
3.873650e+01 7.86389842e+00
3.875000e+01 7.79594760e+00
3.883930e+01 7.34647433e+00
3.894210e+01 6.87979226e+00
3.904500e+01 6.45726126e+00
3.914780e+01 6.07345734e+00
3.925060e+01 5.72397055e+00
3.932600e+01 5.48724997e+00
3.940150e+01 5.26553370e+00
3.947690e+01 5.05759997e+00
3.955230e+01 4.86236408e+00
3.962770e+01 4.67881731e+00
3.970310e+01 4.50606244e+00
3.977850e+01 4.34327322e+00
3.985390e+01 4.18971973e+00
4.000470e+01 3.90767387e+00
4.015560e+01 3.65523610e+00
4.030640e+01 3.42849303e+00
4.045720e+01 3.22415494e+00
4.060800e+01 3.03945416e+00
4.062500e+01 3.02058106e+00
4.075880e+01 2.87205260e+00
4.090970e+01 2.71993085e+00
4.106050e+01 2.58135846e+00
4.121130e+01 2.45487057e+00
4.136210e+01 2.33919486e+00
4.151290e+01 2.23331245e+00
4.166380e+01 2.13632115e+00
4.181460e+01 2.04716138e+00
4.196540e+01 1.96493599e+00
4.211620e+01 1.88906207e+00
4.226700e+01 1.81907832e+00
4.241790e+01 1.75449314e+00
4.250000e+01 1.72203000e+00
4.256870e+01 1.69487302e+00
4.271950e+01 1.63981401e+00
4.287030e+01 1.58895214e+00
4.302110e+01 1.54197819e+00
4.317200e+01 1.49860839e+00
4.332280e+01 1.45859418e+00
4.347360e+01 1.42171261e+00
4.362440e+01 1.38776599e+00
4.377520e+01 1.35657691e+00
4.407690e+01 1.30186316e+00
4.432370e+01 1.26411605e+00
4.437500e+01 1.25748055e+00
4.457050e+01 1.23221687e+00
4.481730e+01 1.20579841e+00
4.506410e+01 1.18458582e+00
4.531090e+01 1.16838647e+00
4.555770e+01 1.15709898e+00
4.580450e+01 1.15068280e+00
4.605130e+01 1.14917341e+00
4.625000e+01 1.15246750e+00
4.635290e+01 1.15418703e+00
4.665450e+01 1.16713970e+00
4.680540e+01 1.17675893e+00
4.695620e+01 1.18860841e+00
4.710700e+01 1.20279976e+00
4.725780e+01 1.21946985e+00
4.740860e+01 1.23877583e+00
4.755950e+01 1.26091042e+00
4.771030e+01 1.28608629e+00
4.786110e+01 1.31454181e+00
4.801190e+01 1.34656084e+00
4.812500e+01 1.37348345e+00
4.816270e+01 1.38246316e+00
4.831360e+01 1.42256915e+00
4.846440e+01 1.46726245e+00
4.861520e+01 1.51715147e+00
