32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
1.057370e+02 6.80401333e+01
1.058010e+02 6.58272665e+01
1.058660e+02 6.37374634e+01
1.059310e+02 6.17588729e+01
1.059960e+02 5.98838998e+01
1.061260e+02 5.64147362e+01
1.062500e+02 5.34070802e+01
1.062550e+02 5.32858044e+01
1.063850e+02 5.04502186e+01
1.065140e+02 4.78765890e+01
1.066440e+02 4.55303383e+01
1.067740e+02 4.33888426e+01
1.069030e+02 4.14262229e+01
1.070330e+02 3.96258822e+01
1.071270e+02 3.84071655e+01
1.072220e+02 3.72588126e+01
1.073160e+02 3.61756434e+01
1.074100e+02 3.51529241e+01
1.075050e+02 3.41860763e+01
1.075990e+02 3.32710820e+01
1.077870e+02 3.15827635e+01
1.079760e+02 3.00596689e+01
1.081650e+02 2.86814218e+01
1.083530e+02 2.74306683e+01
1.085420e+02 2.62929037e+01
1.086710e+02 2.55684241e+01
1.088010e+02 2.48877259e+01
1.089310e+02 2.42463202e+01
1.090600e+02 2.36421980e+01
1.091900e+02 2.30716273e+01
1.093200e+02 2.25329091e+01
1.094490e+02 2.20229494e+01
1.095790e+02 2.15404962e+01
1.098380e+02 2.06490659e+01
1.100970e+02 1.98452105e+01
1.103570e+02 1.91177641e+01
1.106160e+02 1.84575162e+01
1.108750e+02 1.78558583e+01
1.111350e+02 1.73061969e+01
1.113940e+02 1.68027315e+01
1.116530e+02 1.63401862e+01
1.119120e+02 1.59143758e+01
1.121720e+02 1.55213419e+01
1.124310e+02 1.51579345e+01
1.125000e+02 1.50683313e+01
1.126900e+02 1.48216203e+01
1.129380e+02 1.45231766e+01
1.131850e+02 1.42445092e+01
1.134330e+02 1.39834282e+01
1.136800e+02 1.37386515e+01
1.139280e+02 1.35090046e+01
1.141750e+02 1.32932904e+01
1.144230e+02 1.30903655e+01
1.146700e+02 1.28992342e+01
1.149180e+02 1.27189703e+01
1.151650e+02 1.25487563e+01
1.154130e+02 1.23878287e+01
1.156600e+02 1.22355095e+01
1.159080e+02 1.20911745e+01
1.161550e+02 1.19542778e+01
1.166500e+02 1.17007292e+01
1.169100e+02 1.15777127e+01
1.171690e+02 1.14608401e+01
1.176880e+02 1.12438911e+01
1.182060e+02 1.10469585e+01
1.187250e+02 1.08675815e+01
1.187500e+02 1.08596678e+01
1.192430e+02 1.07036620e+01
1.197620e+02 1.05533870e+01
1.202800e+02 1.04152234e+01
1.207990e+02 1.02878574e+01
1.211760e+02 1.02013211e+01
1.215530e+02 1.01195045e+01
1.219300e+02 1.00420124e+01
1.223080e+02 9.96857549e+00
1.226850e+02 9.89890316e+00
1.230620e+02 9.83298183e+00
1.238160e+02 9.71027641e+00
1.245700e+02 9.59842874e+00
1.250000e+02 9.54032092e+00
1.253250e+02 9.49643788e+00
1.260790e+02 9.40311793e+00
1.268330e+02 9.31740074e+00
1.273520e+02 9.26243022e+00
1.278710e+02 9.21036594e+00
1.283890e+02 9.16098892e+00
1.289080e+02 9.11414040e+00
1.294260e+02 9.06959937e+00
1.299450e+02 9.02716835e+00
1.304630e+02 8.98675033e+00
1.309820e+02 8.94819430e+00
1.312500e+02 8.92956299e+00
1.320190e+02 8.87618061e+00
1.330560e+02 8.81021597e+00
1.340930e+02 8.74951357e+00
1.351310e+02 8.69341679e+00
1.362620e+02 8.63687235e+00
1.373930e+02 8.58458267e+00
1.375000e+02 8.57999412e+00
1.385250e+02 8.53614516e+00
1.396560e+02 8.49102585e+00
1.407880e+02 8.44884599e+00
1.419190e+02 8.40928342e+00
1.430510e+02 8.37227281e+00
1.437500e+02 8.35051354e+00
1.441820e+02 8.33710357e+00
1.452190e+02 8.30672663e+00
1.462570e+02 8.27768963e+00
1.472940e+02 8.24987328e+00
1.483310e+02 8.22339304e+00
1.493680e+02 8.19797997e+00
1.500000e+02 8.18304128e+00
1.504050e+02 8.17351080e+00
1.514420e+02 8.15010550e+00
1.524790e+02 8.12756510e+00
1.535170e+02 8.10570290e+00
1.545540e+02 8.08459702e+00
1.562500e+02 8.05165794e+00
1.566280e+02 8.04434269e+00
1.576650e+02 8.02510416e+00
1.587020e+02 8.00642829e+00
1.607770e+02 7.97035155e+00
1.625000e+02 7.94169837e+00
1.626620e+02 7.93902188e+00
1.645480e+02 7.90901513e+00
1.664340e+02 7.87996628e+00
1.683200e+02 7.85175598e+00
1.687500e+02 7.84547691e+00
1.699230e+02 7.82842153e+00
1.715250e+02 7.80555774e+00
1.731280e+02 7.78306160e+00
1.747310e+02 7.76087547e+00
1.750000e+02 7.75718663e+00
1.755330e+02 7.74994668e+00
1.763340e+02 7.73911513e+00
1.771360e+02 7.72832432e+00
1.779370e+02 7.71758112e+00
1.787380e+02 7.70688364e+00
1.795400e+02 7.69621529e+00
1.803410e+02 7.68558213e+00
1.811430e+02 7.67497113e+00
1.820860e+02 7.66251945e+00
1.830280e+02 7.65010608e+00
1.839710e+02 7.63772105e+00
1.849140e+02 7.62537942e+00
1.853860e+02 7.61922588e+00
1.858570e+02 7.61309437e+00
1.863290e+02 7.60697725e+00
1.868000e+02 7.60088991e+00
1.872710e+02 7.59483203e+00
1.875000e+02 7.59190780e+00
1.877430e+02 7.58884165e+00
1.882140e+02 7.58293343e+00
1.886860e+02 7.57707774e+00
1.892040e+02 7.57072249e+00
1.897230e+02 7.56446548e+00
1.902410e+02 7.55834506e+00
1.907600e+02 7.55238410e+00
1.912790e+02 7.54663162e+00
1.917970e+02 7.54114669e+00
1.923160e+02 7.53599173e+00
1.925750e+02 7.53356935e+00
1.928340e+02 7.53126786e+00
1.932120e+02 7.52816005e+00
1.935890e+02 7.52540272e+00
1.939660e+02 7.52306001e+00
1.943430e+02 7.52121486e+00
1.947200e+02 7.51996878e+00
1.949090e+02 7.51961108e+00
1.950970e+02 7.51946437e+00
1.952860e+02 7.51954378e+00
1.954740e+02 7.51988222e+00
1.956630e+02 7.52049792e+00
1.958520e+02 7.52142673e+00
1.961110e+02 7.52328854e+00
1.963700e+02 7.52592225e+00
1.966290e+02 7.52945962e+00
1.968890e+02 7.53405700e+00
1.971480e+02 7.53991703e+00
1.974070e+02 7.54727127e+00
1.975370e+02 7.55159659e+00
1.976670e+02 7.55640628e+00
1.977960e+02 7.56175477e+00
1.979260e+02 7.56768511e+00
1.981140e+02 7.57749095e+00
1.983030e+02 7.58886753e+00
1.984560e+02 7.59944764e+00
1.986100e+02 7.61137685e+00
