Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
454.864 9.55172
454.887 9.95080
454.899 10.1622
454.911 10.3796
454.923 10.6069
454.934 10.8408
454.946 11.0857
454.958 11.3378
454.969 11.5996
454.981 11.8716
454.992 12.1321
455.003 12.4020
455.014 12.6817
455.024 12.9690
455.035 13.2696
455.046 13.5785
455.057 13.9018
455.067 14.2341
455.078 14.5821
455.089 14.9432
455.100 15.3180
455.110 15.7034
455.121 16.1072
455.132 16.5226
455.143 16.9578
455.153 17.4055
455.164 17.8746
455.175 18.3619
455.186 18.8680
455.196 19.3886
455.207 19.9343
455.218 20.5011
455.229 21.0897
455.240 21.6952
455.250 22.3298
455.261 22.9888
455.272 23.6731
455.283 24.3768
455.293 25.1141
455.304 25.8722
455.315 26.6663
455.326 27.4826
455.336 28.3374
455.347 29.2243
455.369 31.0892
455.390 33.0937
455.412 35.2463
455.433 37.5560
455.455 40.0317
455.476 42.6826
455.498 45.5179
455.519 48.5611
455.541 51.7933
455.562 55.2534
455.584 58.9181
455.606 62.8299
455.627 66.9605
455.649 71.3346
455.670 75.9591
455.692 80.8632
455.713 86.0065
455.735 91.4152
455.756 97.0922
455.778 103.068
455.799 109.287
455.821 115.775
455.842 122.530
455.864 129.582
455.885 136.858
455.907 144.382
455.928 152.146
455.971 168.381
456.014 185.368
456.056 202.203
456.097 219.462
456.179 254.488
456.265 290.282
456.308 307.165
456.351 322.966
456.394 337.363
456.437 350.121
456.480 361.012
456.523 369.767
456.571 376.746
456.618 380.772
456.657 381.809
456.665 381.761
456.691 381.016
456.716 379.373
456.742 376.847
456.767 373.456
456.793 369.153
456.819 364.017
456.845 358.087
456.871 351.435
456.898 343.761
456.925 335.425
456.979 316.904
457.033 296.419
457.087 274.542
457.160 243.492
457.234 212.270
457.288 189.955
457.342 168.569
457.369 158.304
457.396 148.416
457.422 138.893
457.449 129.754
457.476 120.984
457.503 112.659
457.530 104.725
457.557 97.2429
457.584 90.1570
457.611 83.5162
457.638 77.2644
457.665 71.4387
457.688 66.7091
457.712 62.2643
457.735 58.0949
457.758 54.2071
457.781 50.5568
457.805 47.1643
457.828 43.9891
457.851 41.0470
457.874 38.3011
457.898 35.7529
457.921 33.3910
457.944 31.2132
457.967 29.1897
457.991 27.3273
458.014 25.5996
458.037 24.0117
458.064 22.3175
458.091 20.7809
458.118 19.3771
458.145 18.1045
458.172 16.9420
458.199 15.8877
458.226 14.9240
458.253 14.0489
458.280 13.2476
458.307 12.5187
458.334 11.8498
458.361 11.2396
458.388 10.6780
458.414 10.1641
458.441 9.68941
458.468 9.25338
458.500 8.77901
458.532 8.34718
458.564 7.95043
458.596 7.58711
458.628 7.25134
458.659 6.94208
458.691 6.65548
458.723 6.38916
458.755 6.14030
458.787 5.90861
458.819 5.69104
458.850 5.48755
458.882 5.29563
458.914 5.11540
458.978 4.78444
459.032 4.53093
459.086 4.29880
459.139 4.08547
459.193 3.88875
459.247 3.70682
459.301 3.53810
459.355 3.38126
459.409 3.23513
459.463 3.09871
459.517 2.97110
459.571 2.85152
459.625 2.73929
459.678 2.63379
459.732 2.53447
459.786 2.44084
459.840 2.35262
459.948 2.19004
460.056 2.04416
460.163 1.91273
460.271 1.79395
460.379 1.68604
460.487 1.58785
460.594 1.49808
460.702 1.41592
460.790 1.35366
460.879 1.29548
460.967 1.24104
461.055 1.19007
461.143 1.14217
461.231 1.09714
461.319 1.05476
461.408 1.01486
461.496 0.977171
461.584 0.941564
461.760 0.876042
461.937 0.817163
462.113 0.764113
462.221 0.734207
462.329 0.706043
462.436 0.679486
462.544 0.654438
462.652 0.630745
462.760 0.608330
462.975 0.566996
463.191 0.529765
463.406 0.496139
463.622 0.465637
463.837 0.437909
464.092 0.408242
464.347 0.381539
464.602 0.357411
464.856 0.335541
465.111 0.315649
465.366 0.297513
465.620 0.280919
465.875 0.265691
466.091 0.253759
466.306 0.242629
466.522 0.232223
466.737 0.222489
466.953 0.213364
467.168 0.204805
467.384 0.196760
467.600 0.189194
467.815 0.182065
468.031 0.175346
468.246 0.169000
468.462 0.163005
468.893 0.151960
469.324 0.142040
469.755 0.133093
470.186 0.124999
470.617 0.117653
471.048 0.110966
471.479 0.104863
471.910 0.0992789
472.342 0.0941567
472.773 0.0894494
473.145 0.0856845
473.517 0.0821778
473.890 0.0789046
474.262 0.0758393
474.634 0.0729627
475.006 0.0702622
475.379 0.0677262
475.751 0.0653427
476.123 0.0631005
476.496 0.0609893
477.240 0.0571237
477.985 0.0536812
478.729 0.0506086
479.592 0.0474553
480.454 0.0446834
481.316 0.0422488
482.178 0.0401170
483.040 0.0382619
483.903 0.0366666
484.765 0.0353225
485.627 0.0342313
486.254 0.0336041
486.881 0.0331292
487.508 0.0328243
488.135 0.0327165
488.723 0.0328302
489.311 0.0332017
489.899 0.0339015
490.486 0.0350278
490.780 0.0358002
491.074 0.0367529
491.368 0.0379263
491.662 0.0393693
491.956 0.0411462
492.250 0.0433410
492.544 0.0460708
492.838 0.0494987
493.151 0.0541958
493.357 0.0580640
493.563 0.0627560
493.769 0.0685245
493.974 0.0757159
494.077 0.0800019
494.180 0.0848593
494.283 0.0904007
494.386 0.0967651
