78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
1.546880e+00 5.97364048e+00
1.562500e+00 5.95816809e+00
1.593750e+00 5.92961858e+00
1.625000e+00 5.90114169e+00
1.640630e+00 5.89059740e+00
1.656250e+00 5.88009209e+00
1.687500e+00 5.85941819e+00
1.696870e+00 5.85322998e+00
1.723440e+00 5.83570693e+00
1.750000e+00 5.81822401e+00
1.812500e+00 5.79362642e+00
1.875000e+00 5.76915920e+00
1.906350e+00 5.76466017e+00
1.937500e+00 5.76036529e+00
2.000000e+00 5.75453973e+00
2.065010e+00 5.76330824e+00
2.096530e+00 5.76761496e+00
2.100200e+00 5.76835660e+00
2.130020e+00 5.77874954e+00
2.187500e+00 5.79884696e+00
2.193050e+00 5.80085054e+00
2.195020e+00 5.80168034e+00
2.200400e+00 5.80395377e+00
2.260030e+00 5.83826575e+00
2.289580e+00 5.85530338e+00
2.300590e+00 5.86230090e+00
2.325040e+00 5.88271000e+00
2.375000e+00 5.92446264e+00
2.386100e+00 5.93382062e+00
2.390050e+00 5.93744887e+00
2.400790e+00 5.94732469e+00
2.455050e+00 6.00814095e+00
2.468750e+00 6.02350786e+00
2.500990e+00 6.05983691e+00
2.520060e+00 6.08600876e+00
2.562500e+00 6.14430664e+00
2.579150e+00 6.16718194e+00
2.601190e+00 6.19926453e+00
2.609380e+00 6.21291941e+00
2.635030e+00 6.25582045e+00
2.651290e+00 6.28303572e+00
2.701390e+00 6.37415194e+00
2.750000e+00 6.47055745e+00
2.751490e+00 6.47352223e+00
2.772200e+00 6.51860749e+00
2.801580e+00 6.58442561e+00
2.843750e+00 6.68903889e+00
2.865300e+00 6.74251624e+00
2.906980e+00 6.85824980e+00
2.929020e+00 6.92056103e+00
2.937500e+00 6.94737526e+00
2.990650e+00 7.11566853e+00
2.992730e+00 7.12226026e+00
3.031250e+00 7.25906728e+00
3.041760e+00 7.29640091e+00
3.056450e+00 7.34902177e+00
3.117990e+00 7.59655604e+00
3.120160e+00 7.60529185e+00
3.125000e+00 7.62728951e+00
3.176530e+00 7.86152992e+00
3.183880e+00 7.89523037e+00
3.218750e+00 8.07598743e+00
3.245320e+00 8.21373389e+00
3.247600e+00 8.22556221e+00
3.311310e+00 8.59889320e+00
3.312500e+00 8.60680564e+00
3.364940e+00 8.95551671e+00
3.406250e+00 9.26387177e+00
3.418570e+00 9.35583899e+00
3.472190e+00 9.80645349e+00
3.499000e+00 1.00531910e+01
3.500000e+00 1.00629839e+01
3.514800e+00 1.02079908e+01
3.525820e+00 1.03165083e+01
3.552630e+00 1.05979343e+01
3.579440e+00 1.08982189e+01
3.606260e+00 1.12191017e+01
3.633070e+00 1.15624736e+01
3.644940e+00 1.17252717e+01
3.659880e+00 1.19301802e+01
3.686700e+00 1.23241869e+01
3.687500e+00 1.23368203e+01
3.700450e+00 1.25413713e+01
3.713510e+00 1.27482428e+01
3.740320e+00 1.32064222e+01
3.773940e+00 1.38339110e+01
3.807560e+00 1.45274302e+01
3.828130e+00 1.49980750e+01
3.841180e+00 1.52966667e+01
3.874790e+00 1.61532715e+01
3.875000e+00 1.61592496e+01
3.886100e+00 1.64752828e+01
3.908410e+00 1.71112423e+01
3.925220e+00 1.76329916e+01
3.942030e+00 1.81862307e+01
3.958840e+00 1.87737077e+01
3.968750e+00 1.91419069e+01
3.975650e+00 1.93982743e+01
3.978930e+00 1.95280702e+01
3.992450e+00 2.00634513e+01
4.009260e+00 2.07723859e+01
4.035340e+00 2.19681534e+01
4.061410e+00 2.32968124e+01
4.071750e+00 2.38850692e+01
4.087480e+00 2.47805287e+01
4.100520e+00 2.55881096e+01
4.109380e+00 2.61695546e+01
4.113560e+00 2.64438721e+01
4.126590e+00 2.73517748e+01
4.139630e+00 2.83159269e+01
4.152670e+00 2.93411173e+01
4.165700e+00 3.04323618e+01
4.178740e+00 3.15959662e+01
4.191780e+00 3.28387363e+01
4.204810e+00 3.41684865e+01
4.217850e+00 3.55935395e+01
4.232440e+00 3.73137912e+01
4.247030e+00 3.91805247e+01
4.250000e+00 3.95938330e+01
4.250390e+00 3.96481072e+01
4.261620e+00 4.12114849e+01
4.276220e+00 4.34256641e+01
4.290810e+00 4.58460757e+01
4.305400e+00 4.84989421e+01
4.312690e+00 4.99220625e+01
4.319990e+00 5.14155263e+01
4.327280e+00 5.29838678e+01
4.334580e+00 5.46321334e+01
4.347180e+00 5.76844762e+01
4.353480e+00 5.93164120e+01
4.359780e+00 6.10242360e+01
4.366080e+00 6.28139991e+01
4.372380e+00 6.46899872e+01
4.378690e+00 6.66585054e+01
4.384990e+00 6.87248443e+01
4.391290e+00 7.08965694e+01
4.397590e+00 7.31809922e+01
4.400000e+00 7.41009758e+01
4.403890e+00 7.55859323e+01
4.410190e+00 7.81194561e+01
4.412660e+00 7.91674208e+01
4.416490e+00 8.07924030e+01
4.422790e+00 8.36138490e+01
4.429030e+00 8.65682444e+01
4.429090e+00 8.65966553e+01
4.435390e+00 8.97525093e+01
4.437500e+00 9.08767410e+01
