14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
2.177590e+03 1.98954661e+00
2.179880e+03 1.99011962e+00
2.181030e+03 1.99043514e+00
2.182170e+03 1.99077209e+00
2.183320e+03 1.99113245e+00
2.184460e+03 1.99151825e+00
2.185600e+03 1.99193187e+00
2.186750e+03 1.99237664e+00
2.187500e+03 1.99269180e+00
2.188010e+03 1.99290610e+00
2.189270e+03 1.99348162e+00
2.190530e+03 1.99410847e+00
2.191780e+03 1.99479230e+00
2.193040e+03 1.99554098e+00
2.194300e+03 1.99636263e+00
2.195560e+03 1.99726652e+00
2.196820e+03 1.99826286e+00
2.198080e+03 1.99936650e+00
2.199340e+03 2.00059258e+00
2.200600e+03 2.00195966e+00
2.201220e+03 2.00270218e+00
2.201850e+03 2.00348822e+00
2.202480e+03 2.00432311e+00
2.203110e+03 2.00520809e+00
2.203740e+03 2.00614811e+00
2.204370e+03 2.00714843e+00
2.205000e+03 2.00821553e+00
2.205630e+03 2.00935220e+00
2.206260e+03 2.01056617e+00
2.206890e+03 2.01186455e+00
2.207690e+03 2.01365554e+00
2.208490e+03 2.01561289e+00
2.209290e+03 2.01776132e+00
2.210090e+03 2.02012681e+00
2.210890e+03 2.02274059e+00
2.211690e+03 2.02563821e+00
2.212500e+03 2.02886349e+00
2.212900e+03 2.03061687e+00
2.213300e+03 2.03246733e+00
2.213930e+03 2.03560762e+00
2.214560e+03 2.03904968e+00
2.215190e+03 2.04284671e+00
2.215810e+03 2.04703558e+00
2.216440e+03 2.05168785e+00
2.217070e+03 2.05685773e+00
2.217390e+03 2.05966988e+00
2.217700e+03 2.06263611e+00
2.218020e+03 2.06578931e+00
2.218330e+03 2.06912349e+00
2.218620e+03 2.07235147e+00
2.218900e+03 2.07575331e+00
2.219190e+03 2.07935450e+00
2.219480e+03 2.08317182e+00
2.219760e+03 2.08722267e+00
2.220050e+03 2.09152729e+00
2.220330e+03 2.09610718e+00
2.220620e+03 2.10098784e+00
2.220910e+03 2.10619594e+00
2.221190e+03 2.11176310e+00
2.221480e+03 2.11772380e+00
2.221760e+03 2.12411746e+00
2.222050e+03 2.13098874e+00
2.222340e+03 2.13838784e+00
2.222620e+03 2.14637295e+00
2.222910e+03 2.15501039e+00
2.223220e+03 2.16537113e+00
2.223540e+03 2.17673637e+00
2.223850e+03 2.18924884e+00
2.224170e+03 2.20303389e+00
2.224480e+03 2.21838759e+00
2.224800e+03 2.23546191e+00
2.224950e+03 2.24481698e+00
2.225110e+03 2.25468525e+00
2.225270e+03 2.26516882e+00
2.225430e+03 2.27632954e+00
