45-Rh_n-g
> 45-Rh-103:1.000000
3.404580e+01 3.05862000e-01
3.405550e+01 3.23434000e-01
3.406520e+01 3.42675000e-01
3.407480e+01 3.63726000e-01
3.408450e+01 3.86756000e-01
3.409420e+01 4.11910000e-01
3.410380e+01 4.39426000e-01
3.411350e+01 4.69465000e-01
3.412320e+01 5.02221000e-01
3.413280e+01 5.37848000e-01
3.414250e+01 5.76610000e-01
3.415220e+01 6.18658000e-01
3.416180e+01 6.64167000e-01
3.417150e+01 7.13245000e-01
3.418120e+01 7.66136000e-01
3.419080e+01 8.22909000e-01
3.420050e+01 8.83650000e-01
3.421020e+01 9.48341000e-01
3.421980e+01 1.01713000e+00
3.422950e+01 1.08990000e+00
3.423920e+01 1.16657000e+00
3.424880e+01 1.24690000e+00
3.425850e+01 1.33085000e+00
3.426820e+01 1.41804000e+00
3.428750e+01 1.60064000e+00
3.435080e+01 2.22747000e+00
3.437010e+01 2.40660000e+00
3.437980e+01 2.49010000e+00
3.438950e+01 2.56835000e+00
3.440000e+01 2.64691000e+00
3.441520e+01 2.74594000e+00
3.443050e+01 2.82532000e+00
3.444570e+01 2.88294000e+00
3.445330e+01 2.90302000e+00
3.446090e+01 2.91707000e+00
3.447500e+01 2.92690000e+00
3.448260e+01 2.92342000e+00
3.449020e+01 2.91378000e+00
3.449790e+01 2.89805000e+00
3.450550e+01 2.87637000e+00
3.452070e+01 2.81571000e+00
3.453590e+01 2.73365000e+00
3.454920e+01 2.64667000e+00
3.456240e+01 2.54711000e+00
3.457570e+01 2.43679000e+00
3.458890e+01 2.31799000e+00
3.461560e+01 2.06060000e+00
3.464230e+01 1.79428000e+00
3.466910e+01 1.53387000e+00
3.468240e+01 1.40969000e+00
3.469580e+01 1.29118000e+00
3.470790e+01 1.18897000e+00
3.472010e+01 1.09254000e+00
3.473220e+01 1.00220000e+00
3.474440e+01 9.18175000e-01
3.475650e+01 8.40366000e-01
3.476870e+01 7.68775000e-01
3.477480e+01 7.35235000e-01
3.478080e+01 7.03237000e-01
3.478690e+01 6.72691000e-01
3.479300e+01 6.43564000e-01
3.479970e+01 6.13058000e-01
3.480630e+01 5.84216000e-01
3.481300e+01 5.56933000e-01
3.481970e+01 5.31151000e-01
3.482640e+01 5.06772000e-01
3.483310e+01 4.83808000e-01
3.483980e+01 4.62159000e-01
3.484640e+01 4.41761000e-01
3.485310e+01 4.22527000e-01
3.485980e+01 4.04450000e-01
3.486650e+01 3.87443000e-01
3.487320e+01 3.71445000e-01
3.487980e+01 3.56401000e-01
3.488650e+01 3.42255000e-01
3.489320e+01 3.28953000e-01
3.489990e+01 3.16445000e-01
3.491080e+01 2.97549000e-01
3.492180e+01 2.80464000e-01
3.493270e+01 2.64976000e-01
3.494360e+01 2.50944000e-01
3.495460e+01 2.38188000e-01
3.496550e+01 2.26596000e-01
3.497640e+01 2.16031000e-01
3.498740e+01 2.06382000e-01
3.499830e+01 1.97544000e-01
3.500920e+01 1.89446000e-01
3.502020e+01 1.81994000e-01
3.503110e+01 1.75135000e-01
3.504200e+01 1.68794000e-01
3.505300e+01 1.62931000e-01
3.506390e+01 1.57492000e-01
3.507480e+01 1.52436000e-01
3.508820e+01 1.46718000e-01
3.510160e+01 1.41462000e-01
3.511490e+01 1.36612000e-01
3.512830e+01 1.32129000e-01
3.514170e+01 1.27970000e-01
3.515500e+01 1.24109000e-01
3.518170e+01 1.17156000e-01
3.520850e+01 1.11077000e-01
3.523520e+01 1.05727000e-01
3.526190e+01 1.00987000e-01
3.528860e+01 9.67667000e-02
