Sc-45(n,g) ENDFB-8.0
Energy(eV) XS(b)
2737.18 3.04497
2737.28 3.02656
2737.39 2.99951
2737.50 2.96458
2737.67 2.89034
2737.85 2.79744
2738.04 2.67754
2738.23 2.54170
2738.40 2.40495
2738.58 2.25987
2738.92 1.95574
2739.27 1.65014
2739.45 1.50239
2739.62 1.36042
2739.79 1.22562
2739.97 1.09906
2740.14 0.981498
2740.31 0.873958
2740.42 0.814438
2740.52 0.758283
2740.62 0.705461
2740.73 0.655919
2740.83 0.609581
2740.93 0.566356
2741.04 0.526136
2741.14 0.489151
2741.34 0.422574
2741.55 0.366186
2741.75 0.318304
2741.96 0.278277
2742.17 0.244642
2742.37 0.216618
2742.58 0.193307
2742.78 0.174004
2742.99 0.157839
2743.19 0.144393
2743.40 0.133048
2743.60 0.123516
2743.86 0.113653
2744.11 0.105522
2744.62 0.0929298
2745.12 0.0836729
2745.63 0.0765854
2746.14 0.0709819
2746.64 0.0664421
2747.15 0.0626944
2747.65 0.0595545
2748.67 0.0546057
2749.68 0.0509184
2750.69 0.0480908
2751.70 0.0458771
2753.09 0.0435466
2754.49 0.0417975
2755.88 0.0404492
2757.27 0.0393887
2760.05 0.0378702
2762.84 0.0368845
2765.62 0.0362330
2768.40 0.0358049
2771.19 0.0355356
2773.97 0.0353684
2778.02 0.0352607
2781.82 0.0352680
2785.61 0.0353529
2793.20 0.0356792
2800.80 0.0361405
2808.39 0.0367020
2815.98 0.0373406
2823.57 0.0380622
2838.76 0.0396305
2853.94 0.0414107
2869.12 0.0434055
2884.31 0.0456322
2899.49 0.0481147
2910.63 0.0501226
2921.76 0.0523046
2932.90 0.0546814
2944.03 0.0572811
2955.16 0.0601185
2966.30 0.0632399
2977.43 0.0666764
2988.57 0.0704641
2999.70 0.0746781
3005.27 0.0769479
3010.84 0.0793566
3021.97 0.0845864
3027.54 0.0874382
3033.11 0.0904722
3038.68 0.0936759
3044.24 0.0970881
3049.81 0.100740
3055.38 0.104613
3060.94 0.108746
3066.51 0.113196
3072.08 0.117942
3077.65 0.123017
3083.72 0.129021
3089.79 0.135464
3095.87 0.142522
3101.94 0.150209
3108.01 0.158605
3114.09 0.167796
3120.16 0.177889
3126.23 0.189000
3131.80 0.200205
3137.37 0.212510
3142.94 0.226068
3148.50 0.241046
3154.07 0.257651
3156.86 0.266636
3159.64 0.276116
3162.42 0.286134
3165.21 0.296726
3167.99 0.307939
3170.77 0.319813
3175.58 0.342059
3177.99 0.354078
3180.39 0.366753
3182.79 0.380126
3185.20 0.394255
3187.60 0.409187
3190.01 0.424986
3192.41 0.441725
3194.81 0.459453
3197.22 0.478265
3199.62 0.498227
3202.03 0.519390
3204.43 0.541824
3206.83 0.565789
3209.24 0.591373
3212.02 0.623144
3214.81 0.657421
3217.59 0.694445
3220.37 0.734467
3223.16 0.777809
3225.94 0.824760
3228.72 0.875706
3231.51 0.930990
3234.29 0.991061
3237.08 1.05634
3239.86 1.12729
3242.64 1.20434
3245.43 1.28805
3248.21 1.37879
3250.99 1.47706
3253.78 1.58313
3255.74 1.66284
3257.70 1.74655
3259.67 1.83417
3261.63 1.92559
3263.60 2.02064
3265.56 2.11910
3269.49 2.32310
3277.34 2.73542
3279.31 2.83231
3281.27 2.92342
3283.24 3.00695
3285.20 3.08106
3287.65 3.15765
3290.10 3.21380
3292.55 3.24711
3295.00 3.25610
3297.45 3.24034
3299.44 3.20975
3301.43 3.16414
3303.42 3.10477
3305.41 3.03327
3307.40 2.95137
3309.39 2.86103
3313.38 2.66247
3321.34 2.24115
3325.32 2.03697
3329.30 1.84592
3332.34 1.71051
3335.39 1.58472
3338.43 1.46870
3341.47 1.36220
3344.52 1.26476
3347.56 1.17583
3350.60 1.09481
3353.64 1.02113
3356.61 0.955648
3359.58 0.896092
3362.55 0.841979
3365.52 0.792917
3368.50 0.748583
3371.47 0.708796
3374.44 0.673476
3377.41 0.642772
3379.84 0.621415
3382.27 0.604035
3383.48 0.597125
3384.70 0.591695
