Sr-87(n,tot) ENDFB-8.0
Energy(eV) XS(b)
90.6250 6.07989
93.7500 6.06598
96.8750 6.05264
100.000 6.03982
103.125 6.02749
106.250 6.01562
109.375 6.00417
112.500 5.99313
115.625 5.98246
118.750 5.97214
121.875 5.96215
125.000 5.95247
128.125 5.94308
131.250 5.93397
134.375 5.92511
137.500 5.91650
140.625 5.90811
143.750 5.89995
146.875 5.89199
150.000 5.88423
156.250 5.86925
162.500 5.85492
168.750 5.84118
175.000 5.82798
181.250 5.81526
187.500 5.80296
193.750 5.79105
200.000 5.77949
207.578 5.76588
215.155 5.75266
222.733 5.73977
230.311 5.72715
237.888 5.71476
245.466 5.70253
253.043 5.69039
260.621 5.67826
265.357 5.67065
270.093 5.66298
274.829 5.65520
279.565 5.64726
283.828 5.63991
288.090 5.63228
290.221 5.62831
292.352 5.62422
294.484 5.61998
296.615 5.61554
299.101 5.61004
300.344 5.60712
301.588 5.60407
302.831 5.60085
304.074 5.59744
305.317 5.59380
306.560 5.58988
307.863 5.58538
308.514 5.58295
309.165 5.58037
309.816 5.57763
310.468 5.57470
311.119 5.57155
311.770 5.56815
312.244 5.56548
312.717 5.56264
313.191 5.55959
313.664 5.55632
314.138 5.55278
314.612 5.54895
315.085 5.54477
315.322 5.54254
315.559 5.54020
315.855 5.53712
316.151 5.53387
316.447 5.53043
316.743 5.52681
316.980 5.52378
317.216 5.52066
317.453 5.51747
317.572 5.51586
317.690 5.51426
317.868 5.51190
318.045 5.50964
318.193 5.50790
318.341 5.50638
318.489 5.50519
318.563 5.50476
318.637 5.50449
318.711 5.50440
318.785 5.50454
318.859 5.50496
318.933 5.50574
319.007 5.50696
319.081 5.50876
319.155 5.51131
319.229 5.51488
319.311 5.52043
319.351 5.52407
319.392 5.52847
319.433 5.53381
319.473 5.54031
319.514 5.54828
319.555 5.55808
319.596 5.57018
319.636 5.58519
319.677 5.60386
319.718 5.62713
319.738 5.64089
319.758 5.65617
319.779 5.67334
319.799 5.69241
319.819 5.71382
319.840 5.73759
319.860 5.76425
319.880 5.79383
319.905 5.83334
319.929 5.87800
319.953 5.92882
319.977 5.98610
320.001 6.05109
320.025 6.12408
320.049 6.20659
320.073 6.29890
320.085 6.34960
320.097 6.40282
320.109 6.45910
320.121 6.51858
320.133 6.58195
320.145 6.64831
320.157 6.71831
320.169 6.79213
320.181 6.87057
320.193 6.95250
320.205 7.03873
320.217 7.12940
320.229 7.22551
320.241 7.32563
320.253 7.43071
320.265 7.54092
320.284 7.72124
320.302 7.91477
320.321 8.12209
320.339 8.34382
320.358 8.58051
320.376 8.83273
320.395 9.10100
320.413 9.38580
320.432 9.68758
320.450 10.0067
320.469 10.3436
320.487 10.6984
320.506 11.0715
320.524 11.4628
320.543 11.8726
320.561 12.3006
320.582 12.7937
320.602 13.3059
320.622 13.8419
320.643 14.3957
320.683 15.5640
320.724 16.8019
320.765 18.0977
320.805 19.4367
320.887 22.1720
320.931 23.6479
320.976 25.0739
321.016 26.3102
321.057 27.4537
321.092 28.3497
321.127 29.1421
321.164 29.8543
321.205 30.4766
321.246 30.9167
321.286 31.1615
321.300 31.2040
321.325 31.2178
321.366 31.0784
321.396 30.8516
321.418 30.6224
321.440 30.3411
321.470 29.8722
321.500 29.3164
321.530 28.6748
321.560 27.9613
321.606 26.7356
321.653 25.3886
321.713 23.5202
321.773 21.5830
321.838 19.4750
321.871 18.4464
321.903 17.4463
321.933 16.5597
321.963 15.7075
321.993 14.8935
322.023 14.1206
322.053 13.3910
322.083 12.7059
322.113 12.0662
322.128 11.7634
322.143 11.4738
322.162 11.1188
322.181 10.7818
322.201 10.4624
322.220 10.1604
322.239 9.87526
322.258 9.60653
322.277 9.35370
322.296 9.11744
322.315 8.89468
322.334 8.68609
322.353 8.49108
322.372 8.30994
322.391 8.14013
322.410 7.98201
322.430 7.83496
322.449 7.69905
322.464 7.59867
322.479 7.50407
322.494 7.41497
322.509 7.33110
322.524 7.25219
322.539 7.17799
322.554 7.10823
322.569 7.04267
322.584 6.98109
322.599 6.92325
322.614 6.86894
322.629 6.81795
322.644 6.77008
322.659 6.72514
322.674 6.68295
322.688 6.64359
322.718 6.57144
322.748 6.50775
322.778 6.45145
322.808 6.40175
322.838 6.35747
322.868 6.31804
322.898 6.28283
322.928 6.25135
322.956 6.22537
322.983 6.20168
323.010 6.18000
323.037 6.16017
323.092 6.12490
323.146 6.09451
323.201 6.06797
323.255 6.04451
323.310 6.02354
323.364 6.00463
323.419 5.98741
323.473 5.97168
323.528 5.95722
323.582 5.94385
323.691 5.91988
323.800 5.89899
323.931 5.87714
324.062 5.85816
324.149 5.84683
324.302 5.82910
324.455 5.81361
324.607 5.79995
324.760 5.78783
324.913 5.77698
325.065 5.76721
325.218 5.75837
325.371 5.75034
325.523 5.74300
325.676 5.73627
325.981 5.72436
326.287 5.71412
326.592 5.70524
326.941 5.69640
327.181 5.69098
327.420 5.68602
327.900 5.67726
328.380 5.66974
328.860 5.66320
329.340 5.65745
329.819 5.65234
330.299 5.64775
330.779 5.64360
331.607 5.63728
332.436 5.63180
333.265 5.62695
334.093 5.62261
334.922 5.61868
335.751 5.61509
336.579 5.61177
337.408 5.60869
338.717 5.60421
340.025 5.60011
341.333 5.59632
342.642 5.59278
345.259 5.58622
347.875 5.58022
350.492 5.57461
353.109 5.56929
355.726 5.56418
358.343 5.55925
363.576 5.54970
368.810 5.54045
372.997 5.53319
377.184 5.52599
382.766 5.51643
388.349 5.50687
396.025 5.49363
403.701 5.48021
411.377 5.46652
419.053 5.45248
426.729 5.43806
434.405 5.42313
442.081 5.40764
449.757 5.39156
456.037 5.37783
462.318 5.36356
468.598 5.34868
474.879 5.33313
481.159 5.31683
487.439 5.29968
493.720 5.28158
500.000 5.26237
506.039 5.24266
512.078 5.22151
515.097 5.21031
518.117 5.19863
521.136 5.18638
524.156 5.17342
526.169 5.16430
528.182 5.15471
529.859 5.14627
531.537 5.13729
532.375 5.13254
533.214 5.12759
534.053 5.12238
534.891 5.11687
535.562 5.11219
536.233 5.10723
536.821 5.10259
537.408 5.09762
537.995 5.09226
538.288 5.08941
538.582 5.08644
538.917 5.08289
539.253 5.07919
539.588 5.07537
539.756 5.07345
539.924 5.07158
540.092 5.06980
540.259 5.06825
540.427 5.06720
540.511 5.06704
540.595 5.06729
540.679 5.06817
540.763 5.07002
540.846 5.07334
540.930 5.07885
541.014 5.08763
541.056 5.09370
541.098 5.10118
541.140 5.11038
541.182 5.12159
541.224 5.13518
541.266 5.15159
541.308 5.17135
541.350 5.19490
541.392 5.22296
541.434 5.25605
541.476 5.29506
541.517 5.34059
541.559 5.39355
541.601 5.45482
541.638 5.51603
541.675 5.58493
541.711 5.66216
541.748 5.74833
541.785 5.84405
541.821 5.94989
541.858 6.06637
541.895 6.19396
541.932 6.33306
541.968 6.48395
542.005 6.64684
542.042 6.82177
542.078 7.00867
542.115 7.20730
542.152 7.41727
542.188 7.63798
542.228 7.88601
542.267 8.14365
542.346 8.68360
542.503 9.80698
542.587 10.3861
542.629 10.6589
542.671 10.9161
542.726 11.2246
542.781 11.4934
542.810 11.6166
542.838 11.7259
542.867 11.8210
542.896 11.9013
542.904 11.9207
542.933 11.9813
542.968 12.0341
543.000 12.0606
543.036 12.0666
543.076 12.0430
543.111 11.9966
543.153 11.9115
543.188 11.8148
543.223 11.6966
543.275 11.4891
543.326 11.2437
543.367 11.0199
543.409 10.7776
543.492 10.2505
543.633 9.29207
543.703 8.81227
543.774 8.34886
543.812 8.10660
543.851 7.87344
543.889 7.65045
543.927 7.43845
543.966 7.23806
544.004 7.04970
544.043 6.87360
544.062 6.79017
544.081 6.70980
544.100 6.63250
544.119 6.55822
544.139 6.48693
544.158 6.41861
544.196 6.29062
544.235 6.17383
544.273 6.06769
544.311 5.97164
544.350 5.88505
544.388 5.80747
544.412 5.76304
544.436 5.72164
544.460 5.68310
544.484 5.64728
544.508 5.61401
544.532 5.58314
544.580 5.52804
544.628 5.48085
544.676 5.44053
544.724 5.40613
544.772 5.37682
544.820 5.35184
544.868 5.33051
544.916 5.31227
544.964 5.29661
545.012 5.28312
545.060 5.27143
545.156 5.25231
545.252 5.23737
545.348 5.22533
545.444 5.21536
545.540 5.20688
545.732 5.19297
545.924 5.18181
546.129 5.17193
546.385 5.16165
546.641 5.15303
546.897 5.14565
547.152 5.13920
547.460 5.13241
547.767 5.12642
548.074 5.12105
548.381 5.11617
548.893 5.10888
549.405 5.10241
549.917 5.09654
550.429 5.09113
551.350 5.08221
552.272 5.07402
553.193 5.06633
554.115 5.05898
555.958 5.04494
557.801 5.03135
560.053 5.01491
562.306 4.99838
564.558 4.98158
566.811 4.96435
569.063 4.94658
571.316 4.92818
573.568 4.90907
575.820 4.88915
578.073 4.86834
580.325 4.84654
582.578 4.82367
584.830 4.79960
587.083 4.77423
589.335 4.74743
591.588 4.71904
593.840 4.68891
595.683 4.66283
597.526 4.63535
599.369 4.60633
601.212 4.57564
