Recomputed-Ag_n-g
> 47-Ag-109:0.481610
> 47-Ag-107:0.518390
5.142030e+00 9.79410882e+03
5.149280e+00 1.02237040e+04
5.156530e+00 1.06010927e+04
5.163780e+00 1.09161129e+04
5.171040e+00 1.11598548e+04
5.178290e+00 1.13252387e+04
5.185540e+00 1.14073523e+04
5.190000e+00 1.14153464e+04
5.194460e+00 1.13907356e+04
5.201720e+00 1.12821798e+04
5.208970e+00 1.10917984e+04
5.216220e+00 1.08252745e+04
5.223470e+00 1.04904102e+04
5.230720e+00 1.00965004e+04
5.237970e+00 9.65404439e+03
5.245220e+00 9.17411910e+03
5.252480e+00 8.66799422e+03
5.277760e+00 6.84485634e+03
5.284080e+00 6.40437503e+03
5.290410e+00 5.97891995e+03
5.296730e+00 5.57138076e+03
5.303050e+00 5.18411735e+03
5.309410e+00 4.81617132e+03
5.312500e+00 4.64876176e+03
5.315780e+00 4.47105846e+03
5.322140e+00 4.14909182e+03
5.328500e+00 3.85009798e+03
5.334860e+00 3.57352791e+03
5.341230e+00 3.31852433e+03
5.347590e+00 3.08402770e+03
5.353950e+00 2.86886771e+03
5.360320e+00 2.67168141e+03
5.366680e+00 2.49117326e+03
5.373040e+00 2.32603329e+03
5.379400e+00 2.17496596e+03
5.385770e+00 2.03674799e+03
5.392130e+00 1.91021869e+03
5.398490e+00 1.79428963e+03
5.404860e+00 1.68799277e+03
5.410350e+00 1.60319026e+03
5.415850e+00 1.52435490e+03
5.421340e+00 1.45096654e+03
5.426840e+00 1.38257730e+03
5.432330e+00 1.31875854e+03
5.437830e+00 1.25915868e+03
5.443320e+00 1.20342134e+03
5.448820e+00 1.15123345e+03
5.454310e+00 1.10230607e+03
5.459810e+00 1.05639357e+03
5.465300e+00 1.01325033e+03
5.470800e+00 9.72669247e+02
5.476290e+00 9.34448057e+02
5.481790e+00 8.98418192e+02
5.487280e+00 8.64411089e+02
5.492780e+00 8.32287081e+02
5.499140e+00 7.97254051e+02
5.505500e+00 7.64373817e+02
5.511870e+00 7.33473000e+02
5.518230e+00 7.04397485e+02
5.524590e+00 6.77002790e+02
5.530960e+00 6.51168510e+02
5.537320e+00 6.26779061e+02
5.543680e+00 6.03723671e+02
5.556410e+00 5.61253863e+02
5.569130e+00 5.23089649e+02
5.581860e+00 4.88667544e+02
5.594580e+00 4.57519425e+02
5.608470e+00 4.26799806e+02
5.622350e+00 3.99059910e+02
5.625000e+00 3.94260830e+02
5.636230e+00 3.73923745e+02
5.650110e+00 3.51079597e+02
5.664000e+00 3.30254839e+02
5.677880e+00 3.11220226e+02
5.691760e+00 2.93773481e+02
5.705640e+00 2.77745078e+02
5.718370e+00 2.64166740e+02
5.731100e+00 2.51552103e+02
5.743820e+00 2.39810626e+02
5.756550e+00 2.28864768e+02
5.769270e+00 2.18643252e+02
5.782000e+00 2.09083950e+02
5.794730e+00 2.00131475e+02
5.807450e+00 1.91736706e+02
5.820180e+00 1.83853406e+02
5.832900e+00 1.76441122e+02
5.845630e+00 1.69464212e+02
5.858350e+00 1.62889447e+02
5.871080e+00 1.56685521e+02
5.883810e+00 1.50825946e+02
5.896530e+00 1.45285198e+02
5.909260e+00 1.40042084e+02
5.934710e+00 1.30363035e+02
5.937500e+00 1.29407283e+02
5.960160e+00 1.21645066e+02
5.985610e+00 1.13763686e+02
6.011060e+00 1.06616280e+02
6.036510e+00 1.00114713e+02
6.061970e+00 9.41843348e+01
6.087420e+00 8.87596477e+01
6.112870e+00 8.37862292e+01
6.131380e+00 8.04244070e+01
6.149890e+00 7.72590817e+01
6.168400e+00 7.42758050e+01
6.186910e+00 7.14615734e+01
6.205420e+00 6.88029018e+01
6.223930e+00 6.62887132e+01
6.250000e+00 6.30237333e+01
6.260950e+00 6.16524844e+01
6.297970e+00 5.74793636e+01
6.334990e+00 5.37088686e+01
6.372010e+00 5.02923571e+01
6.409030e+00 4.71879769e+01
6.434480e+00 4.52157443e+01
6.459930e+00 4.33633845e+01
6.485390e+00 4.16213125e+01
6.510840e+00 3.99811982e+01
6.536290e+00 3.84351423e+01
6.561740e+00 3.69762097e+01
