Ge-70(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1468.75 1.73753
1468.77 1.75394
1468.79 1.77084
1468.83 1.80531
1468.88 1.84176
1468.92 1.88027
1468.96 1.92093
1469.01 1.96384
1469.05 2.00910
1469.09 2.05680
1469.18 2.16126
1469.27 2.27575
1469.35 2.40245
1469.44 2.54248
1469.52 2.69901
1469.61 2.86984
1469.70 3.05823
1469.74 3.15955
1469.78 3.26592
1469.83 3.38026
1469.87 3.49762
1469.91 3.62083
1469.96 3.75017
1470.00 3.88595
1470.04 4.02851
1470.08 4.17818
1470.13 4.33533
1470.17 4.50429
1470.21 4.67780
1470.26 4.86003
1470.30 5.05147
1470.34 5.25259
1470.39 5.46393
1470.43 5.68605
1470.47 5.91954
1470.52 6.16504
1470.56 6.42322
1470.60 6.69480
1470.64 6.98056
1470.69 7.28132
1470.73 7.59796
1470.77 7.93141
1470.82 8.28269
1470.86 8.66172
1470.90 9.05244
1470.95 9.46450
1470.99 9.89923
1471.03 10.3581
1471.08 10.8425
1471.12 11.3543
1471.16 11.8952
1471.21 12.4809
1471.25 13.0868
1471.29 13.7281
1471.33 14.4073
1471.38 15.1271
1471.42 15.8903
1471.46 16.7000
1471.51 17.5598
1471.55 18.4950
1471.59 19.4674
1471.64 20.5020
1471.68 21.6037
1471.72 22.7775
1471.77 24.0294
1471.81 25.3656
1471.85 26.7931
1471.90 28.3563
1471.94 29.9927
1471.98 31.7459
1472.02 33.6264
1472.07 35.6454
1472.11 37.8157
1472.15 40.1513
1472.20 42.6679
1472.24 45.4485
1472.28 48.3867
1472.33 51.5652
1472.37 55.0087
1472.41 58.7447
1472.46 62.8045
1472.50 67.2232
1472.54 72.0408
1472.59 77.4305
1472.63 83.2000
1472.67 89.5251
1472.71 96.4732
1472.74 100.294
1472.76 104.121
1472.78 108.333
1472.80 112.558
1472.82 117.212
1472.84 121.886
1472.87 127.040
1472.89 132.222
1472.91 137.943
1472.93 143.984
1472.95 150.367
1472.97 156.800
1473.00 163.920
1473.02 171.105
1473.04 179.068
1473.06 187.114
1473.08 196.043
1473.10 205.076
1473.12 215.113
1473.15 225.280
1473.17 236.590
1473.19 248.062
1473.21 260.840
1473.23 273.814
1473.25 288.282
1473.27 302.989
1473.30 319.404
1473.32 336.104
1473.34 354.760
1473.36 373.753
1473.38 394.980
1473.40 416.597
1473.43 440.759
1473.45 465.362
1473.47 492.848
1473.49 520.813
1473.51 552.018
1473.53 583.711
1473.55 618.994
1473.58 654.725
1473.60 703.679
1473.63 756.057
1473.66 811.803
1473.68 868.508
1473.71 930.219
1473.74 991.895
1473.79 1121.49
1473.82 1187.37
1473.84 1248.98
1473.87 1309.40
1473.89 1362.50
1473.92 1410.56
1473.95 1448.43
1473.97 1477.58
1474.00 1494.88
1474.01 1499.61
1474.03 1501.10
1474.05 1495.35
1474.08 1478.20
1474.11 1451.87
1474.13 1415.69
1474.16 1373.83
1474.19 1324.72
1474.21 1273.54
1474.27 1162.98
1474.32 1051.51
1474.35 996.479
1474.37 945.296
1474.40 894.372
1474.43 847.686
1474.45 798.466
1474.48 753.835
1474.51 712.017
1474.54 672.931
1474.57 636.463
1474.59 602.480
1474.62 570.838
1474.65 541.385
1474.68 513.032
1474.71 487.582
1474.74 463.883
1474.76 441.804
1474.79 421.221
1474.82 402.017
1474.85 384.087
1474.88 367.330
1474.90 351.114
1474.93 336.472
1474.96 322.748
1474.99 309.873
1475.02 297.782
1475.04 286.415
1475.07 275.719
1475.10 265.644
1475.13 255.816
1475.16 246.869
1475.19 238.417
1475.21 230.425
1475.24 222.861
1475.27 215.695
1475.30 208.901
1475.33 202.453
1475.35 196.116
1475.38 190.305
1475.44 179.514
1475.49 169.716
1475.55 160.793
1475.61 152.506
1475.66 145.056
1475.72 138.216
1475.78 131.921
1475.83 126.013
1475.89 120.651
1475.94 115.682
1476.00 111.068
1476.06 106.776
1476.11 102.776
1476.17 99.0407
1476.22 95.5475
1476.28 92.2186
1476.34 89.1519
1476.39 86.2703
1476.45 83.5587
1476.51 80.9593
1476.56 78.5511
1476.62 76.2760
1476.67 74.1240
1476.73 72.0508
1476.79 70.1207
1476.84 68.2888
1476.90 66.5485
1476.96 64.8646
1477.01 63.2904
1477.12 60.3599
1477.24 57.6673
1477.35 55.2285
1477.46 52.9731
1477.57 50.9179
1477.69 49.0064
1477.80 47.2553
1477.91 45.6322
1478.02 44.1245
1478.14 42.7087
1478.25 41.4000
1478.36 40.1662
1478.47 39.0214
1478.59 37.9381
1478.70 36.9295
1478.81 35.9720
1478.92 35.0777
1479.04 34.2262
1479.15 33.4286
1479.26 32.6672
1479.37 31.9521
1479.49 31.2676
1479.60 30.6233
1479.71 30.0106
1479.82 29.4272
1479.94 28.8665
1480.05 28.3363
1480.27 27.3421
1480.50 26.4328
1480.72 25.6018
1480.95 24.8332
1481.17 24.1236
1481.40 23.4666
1481.62 22.8594
1481.85 22.2919
1482.07 21.7626
1482.30 21.2680
1482.52 20.8048
1482.75 20.3703
1482.97 19.9618
1483.20 19.5773
1483.42 19.2163
1483.64 18.8737
1483.87 18.5497
1484.09 18.2427
1484.32 17.9516
1484.54 17.6752
1484.77 17.4123
1484.99 17.1621
1485.22 16.9247
1485.44 16.6972
1485.67 16.4799
1485.89 16.2722
1486.12 16.0735
1486.57 15.7007
1487.02 15.3584
1487.47 15.0417
1487.92 14.7491
1488.37 14.4767
1488.82 14.2237
1489.27 13.9871
1489.72 13.7658
1490.17 13.5584
1490.61 13.3640
1491.06 13.1808
1491.51 13.0080
1491.96 12.8449
1492.41 12.6909
1492.86 12.5448
1493.31 12.4062
1493.76 12.2745
1494.21 12.1495
