72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
1.125000e-01 7.17487251e+01
1.140630e-01 7.13914050e+01
1.156250e-01 7.10351977e+01
1.187500e-01 7.03557419e+01
1.190510e-01 7.02934161e+01
1.197950e-01 7.01394172e+01
1.205390e-01 6.99854815e+01
1.218750e-01 6.97092086e+01
1.220260e-01 6.96793956e+01
1.250000e-01 6.90928961e+01
1.281250e-01 6.85142731e+01
1.312500e-01 6.79427791e+01
1.343750e-01 6.74150530e+01
1.359380e-01 6.71529479e+01
1.375000e-01 6.68924207e+01
1.406250e-01 6.64101670e+01
1.433670e-01 6.59894775e+01
1.437500e-01 6.59308715e+01
1.453130e-01 6.57093169e+01
1.468750e-01 6.54891152e+01
1.492340e-01 6.51566645e+01
1.500000e-01 6.50488819e+01
1.531250e-01 6.46442934e+01
1.562500e-01 6.42404273e+01
1.593750e-01 6.38691620e+01
1.625000e-01 6.34980152e+01
1.687500e-01 6.28162256e+01
1.750000e-01 6.21898264e+01
1.803880e-01 6.16933511e+01
1.812500e-01 6.16141176e+01
1.857760e-01 6.12311957e+01
1.875000e-01 6.10855779e+01
1.937500e-01 6.06005296e+01
2.000000e-01 6.01561135e+01
2.024000e-01 5.99997266e+01
2.046880e-01 5.98509841e+01
2.058590e-01 5.97753888e+01
2.064450e-01 5.97399358e+01
2.093750e-01 5.95627950e+01
2.117190e-01 5.94248754e+01
2.128910e-01 5.93604385e+01
2.150470e-01 5.92419849e+01
2.175780e-01 5.91033577e+01
2.187500e-01 5.90440942e+01
2.193360e-01 5.90149040e+01
2.207190e-01 5.89460633e+01
2.234380e-01 5.88112550e+01
2.257810e-01 5.87032609e+01
2.281250e-01 5.85967431e+01
2.291090e-01 5.85527001e+01
2.292970e-01 5.85443258e+01
2.322270e-01 5.84234982e+01
2.339840e-01 5.83510984e+01
2.351560e-01 5.83034676e+01
2.375000e-01 5.82155239e+01
2.381030e-01 5.81933392e+01
2.386720e-01 5.81724244e+01
2.402960e-01 5.81127789e+01
2.410160e-01 5.80863747e+01
2.421880e-01 5.80468842e+01
2.424890e-01 5.80369000e+01
2.451170e-01 5.79499366e+01
2.468750e-01 5.78918110e+01
2.503910e-01 5.77894415e+01
2.515630e-01 5.77558797e+01
2.539060e-01 5.76888429e+01
2.544330e-01 5.76755234e+01
2.562500e-01 5.76299088e+01
