Se-78(n,g) ENDFB-8.0
Energy(eV) XS(b)
380.681 26.0047
380.712 26.8520
380.742 27.7453
380.773 28.6883
380.804 29.6817
380.834 30.7363
380.865 31.8537
380.896 33.0394
380.926 34.2948
380.957 35.6347
380.988 37.0620
381.018 38.5846
381.049 40.2055
381.080 41.9444
381.110 43.8004
381.141 45.7966
381.172 47.9321
381.195 49.6944
381.219 51.5584
381.243 53.5311
381.266 55.6200
381.290 57.8330
381.314 60.1782
381.338 62.6646
381.361 65.3015
381.385 68.0986
381.409 71.0661
381.432 74.2149
381.456 77.5560
381.480 81.1011
381.503 84.8623
381.527 88.8521
381.551 93.0833
381.582 98.9447
381.612 105.263
381.643 112.067
381.674 119.363
381.704 127.229
381.735 135.671
381.766 144.718
381.796 154.366
381.827 164.704
381.858 175.725
381.888 187.450
381.919 199.856
381.950 213.037
381.980 226.963
382.011 241.638
382.042 257.008
382.072 273.167
382.103 290.048
382.134 307.629
382.164 325.818
382.195 344.694
382.226 364.087
382.287 404.431
382.343 442.486
382.399 481.264
382.510 558.384
382.571 598.962
382.633 636.830
382.700 673.921
382.733 690.393
382.766 705.303
382.817 724.441
382.867 739.354
382.917 749.723
382.967 755.313
383.000 756.334
383.017 756.024
383.071 751.225
383.126 740.769
383.180 724.923
383.235 704.090
383.275 685.647
383.315 665.027
383.356 642.398
383.396 618.158
383.436 593.325
383.475 567.476
383.553 513.873
383.667 434.687
383.724 396.088
383.781 358.903
383.820 334.381
383.859 310.847
383.899 288.389
383.938 267.072
383.977 246.942
384.016 228.021
384.055 210.319
384.095 193.865
384.134 178.553
384.173 164.394
384.212 151.345
384.251 139.354
384.291 128.367
384.330 118.324
384.369 109.163
384.408 100.842
384.440 94.5771
384.472 88.7869
384.504 83.4388
384.536 78.5157
384.568 73.9569
384.600 69.7618
384.633 65.8771
384.665 62.3011
384.697 58.9874
384.729 55.9250
384.761 53.0927
384.793 50.4790
384.825 48.0496
384.857 45.8030
384.889 43.7102
384.921 41.7703
384.960 39.5747
384.999 37.5587
385.039 35.7037
385.078 33.9931
385.117 32.4122
385.156 30.9481
385.195 29.5891
385.235 28.3283
385.274 27.1501
385.313 26.0498
385.352 25.0203
385.391 24.0553
385.431 23.1493
385.470 22.2971
385.509 21.4943
385.548 20.7388
385.591 19.9594
385.634 19.2274
385.676 18.5355
385.719 17.8839
385.805 16.6830
385.890 15.6043
385.976 14.6309
386.061 13.7491
386.147 12.9472
386.232 12.2155
386.310 11.5993
386.389 11.0297
386.467 10.5021
386.546 10.0128
386.624 9.55712
386.702 9.13244
386.781 8.73594
386.859 8.36561
386.937 8.01828
387.016 7.69246
387.094 7.38638
387.173 7.09882
387.251 6.82761
387.329 6.57215
387.408 6.33065
387.486 6.10264
387.643 5.68196
387.799 5.30396
387.956 4.96259
388.113 4.65361
388.270 4.37266
388.426 4.11676
388.583 3.88271
388.740 3.66835
388.868 3.50589
388.996 3.35418
389.125 3.21207
389.253 3.07896
389.381 2.95390
389.509 2.83641
389.638 2.72573
389.766 2.62148
389.894 2.52303
390.022 2.43009
390.151 2.34212
390.279 2.25891
390.535 2.10522
390.792 1.96676
390.949 1.88873
391.105 1.81530
391.262 1.74603
391.419 1.68070
391.576 1.61894
391.732 1.56056
392.046 1.45286
392.359 1.35594
392.673 1.26841
392.986 1.18909
393.300 1.11699
393.642 1.04557
393.984 0.980776
394.326 0.921828
394.668 0.868059
395.010 0.818867
395.352 0.773776
395.694 0.732335
396.036 0.694136
396.349 0.661647
396.663 0.631362
396.976 0.603096
397.290 0.576681
397.603 0.551963
397.917 0.528798
398.230 0.507060
398.544 0.486634
398.857 0.467417
399.171 0.449315
399.484 0.432244
399.798 0.416126
400.111 0.400892
400.425 0.386479
401.052 0.359893
401.679 0.335953
402.306 0.314323
402.933 0.294715
403.559 0.276888
404.186 0.260628
404.813 0.245759
405.440 0.232127
406.067 0.219601
406.580 0.210090
407.093 0.201188
407.606 0.192857
408.119 0.185051
408.632 0.177698
409.145 0.170758
409.658 0.164213
410.171 0.158038
410.684 0.152205
411.197 0.146690
412.223 0.136525
413.249 0.127383
414.275 0.119134
414.902 0.114483
415.529 0.110099
416.156 0.105964
416.783 0.102059
417.410 0.0983676
418.037 0.0948738
419.291 0.0884265
420.545 0.0826188
421.799 0.0773701
423.053 0.0726103
424.307 0.0682813
425.789 0.0636516
427.271 0.0594833
428.753 0.0557167
430.235 0.0523025
431.717 0.0491984
433.198 0.0463900
434.680 0.0437965
436.162 0.0414199
437.416 0.0395648
438.670 0.0378318
439.924 0.0362098
441.178 0.0346978
442.432 0.0332808
443.686 0.0319480
444.940 0.0306993
446.194 0.0295261
447.448 0.0284180
448.702 0.0273751
451.210 0.0254619
453.718 0.0237510
456.226 0.0222130
458.734 0.0208291
461.241 0.0195764
463.749 0.0184400
466.257 0.0174069
468.765 0.0164628
471.273 0.0155998
473.781 0.0148082
476.289 0.0140797
479.253 0.0133005
482.217 0.0125793
485.181 0.0119236
488.145 0.0113262
491.108 0.0107769
494.072 0.0102694
497.036 0.00980009
500.000 0.00936688
504.784 0.00873628
509.567 0.00817671
514.351 0.00767699
519.134 0.00722957
523.917 0.00683242
528.701 0.00646803
533.484 0.00613795
538.268 0.00583888
545.785 0.00542434
549.543 0.00523504
553.302 0.00506116
560.819 0.00474308
568.335 0.00446493
575.852 0.00421682
583.369 0.00399753
590.886 0.00380167
598.403 0.00362519
604.553 0.00349483
610.703 0.00337518
623.004 0.00316480
635.304 0.00298444
647.604 0.00283002
659.905 0.00269782
672.205 0.00258509
684.505 0.00248998
696.806 0.00241175
706.373 0.00236307
715.940 0.00232506
725.507 0.00229846
735.073 0.00228272
740.540 0.00228170
748.057 0.00229082
755.574 0.00231355
763.091 0.00235471
770.608 0.00242204
778.125 0.00252225
785.642 0.00267665
789.400 0.00277858
793.158 0.00291118
796.917 0.00307318
800.675 0.00326898
803.750 0.00347440
806.825 0.00373013
809.901 0.00405034
812.976 0.00445703
816.051 0.00498271
819.126 0.00567574
820.663 0.00609909
822.201 0.00660596
823.738 0.00720694
825.276 0.00792545
826.643 0.00868881
828.009 0.00960113
829.376 0.0107036
830.743 0.0120521
832.109 0.0137124
832.793 0.0146940
833.476 0.0158069
834.160 0.0170720
834.843 0.0185150
835.526 0.0201707
836.210 0.0220824
836.893 0.0243065
837.576 0.0269143
838.260 0.0299991
838.943 0.0336784
839.626 0.0381155
839.968 0.0406893
840.310 0.0435489
840.651 0.0467409
840.993 0.0503174
841.335 0.0543416
841.676 0.0588895
842.061 0.0647545
842.445 0.0715772
842.830 0.0795791
843.214 0.0890499
843.406 0.0944526
843.598 0.100378
843.791 0.106899
843.983 0.114099
844.175 0.122080
844.367 0.130963
844.559 0.140893
844.751 0.152041
844.976 0.166897
845.200 0.184143
845.312 0.193846
845.424 0.204366
845.536 0.215815
845.648 0.228312
845.761 0.242012
845.873 0.257061
845.985 0.273676
846.097 0.292112
846.209 0.312688
846.321 0.335814
846.433 0.362028
846.545 0.392049
846.604 0.409635
846.663 0.428679
846.722 0.449422
846.780 0.472121
846.839 0.497124
846.898 0.524715
846.956 0.555372
847.015 0.589623
847.074 0.628167
847.133 0.671628
847.191 0.720966
847.250 0.777246
847.309 0.841730
847.367 0.915902
847.397 0.957225
847.426 1.00150
847.456 1.04929
847.485 1.10054
847.525 1.17712
847.565 1.26168
847.605 1.35555
847.645 1.45926
847.685 1.57443
847.725 1.70164
847.765 1.84281
847.805 1.99860
847.825 2.08299
847.845 2.17125
847.865 2.26400
847.885 2.36144
847.905 2.46429
847.925 2.57176
847.945 2.68456
847.965 2.80291
847.986 2.92767
848.006 3.05784
848.026 3.19426
848.046 3.33717
848.066 3.48681
848.086 3.64343
848.126 3.97863
848.155 4.24462
848.184 4.52814
848.214 4.83001
848.243 5.14990
848.272 5.49080
848.302 5.85117
848.331 6.23424
848.360 6.63813
848.390 7.06630
848.419 7.51809
848.449 7.99412
848.478 8.49320
848.507 9.01926
848.537 9.56915
848.566 10.1470
848.595 10.7491
848.641 11.7342
848.686 12.7829
848.732 13.8947
848.777 15.0684
848.822 16.3022
848.868 17.5934
848.913 18.9384
848.958 20.3297
849.017 22.1970
849.076 24.1244
849.193 28.0926
849.311 32.0833
849.428 35.9103
849.492 37.8586
849.556 39.6644
849.615 41.1714
849.674 42.5123
849.732 43.6663
849.791 44.6153
849.855 45.3995
849.905 45.8142
849.954 46.0596
850.000 46.1334
850.050 46.0413
850.100 45.7711
850.149 45.3469
850.197 44.7675
850.247 44.0001
850.297 43.0797
850.348 42.0156
850.398 40.8202
850.462 39.1278
850.526 37.2771
850.627 34.1190
850.727 30.7666
850.929 23.9507
851.011 21.2714
851.093 18.7267
851.135 17.5128
851.176 16.3434
851.217 15.2211
851.258 14.1504
851.290 13.3492
851.322 12.5816
851.354 11.8454
851.386 11.1406
851.418 10.4673
851.450 9.82537
851.482 9.21442
851.514 8.63406
851.542 8.15934
851.569 7.70802
851.597 7.27637
851.624 6.86703
851.651 6.47649
851.679 6.10704
851.706 5.75539
851.734 5.42349
851.761 5.10830
851.789 4.81146
851.816 4.53017
851.844 4.26580
851.871 4.01578
851.898 3.78126
851.926 3.56067
851.953 3.35334
851.978 3.17384
852.004 3.00454
852.029 2.84496
852.054 2.69523
852.079 2.55369
852.104 2.42103
852.129 2.29576
852.155 2.17846
852.180 2.06779
852.205 1.96425
852.230 1.86664
852.255 1.77538
852.280 1.68938
852.305 1.60902
852.331 1.53332
852.356 1.46260
852.381 1.39600
852.406 1.33355
852.431 1.27497
852.456 1.22024
852.507 1.12050
852.557 1.03263
852.607 0.955117
852.658 0.886612
852.708 0.825942
852.758 0.772071
852.795 0.736628
852.831 0.703997
852.905 0.646092
852.978 0.596457
853.051 0.553559
853.124 0.516171
853.197 0.483310
853.271 0.454193
853.344 0.428228
853.417 0.404846
853.490 0.383683
853.563 0.364417
853.636 0.346811
853.710 0.330604
853.783 0.315645
853.929 0.288935
854.039 0.271245
854.149 0.255252
854.259 0.240724
854.368 0.227487
854.478 0.215362
854.588 0.204230
854.698 0.193979
854.807 0.184524
855.027 0.167643
855.246 0.153066
855.466 0.140377
855.685 0.129253
855.887 0.120209
856.088 0.112115
856.289 0.104830
856.490 0.0982556
856.692 0.0922946
856.893 0.0868776
857.295 0.0774169
857.698 0.0694642
858.100 0.0627153
858.503 0.0569391
858.905 0.0519558
859.308 0.0476224
859.710 0.0438264
860.113 0.0404800
860.515 0.0375149
860.918 0.0348764
861.320 0.0325189
862.125 0.0284997
862.930 0.0252179
863.735 0.0225033
864.540 0.0202350
865.345 0.0183253
866.297 0.0164246
867.248 0.0148210
868.200 0.0134609
869.151 0.0122996
870.102 0.0112998
871.054 0.0104330
872.005 0.00967634
872.956 0.00901202
874.859 0.00790558
876.762 0.00703980
878.665 0.00632522
880.567 0.00573934
883.056 0.00512021
885.544 0.00462576
888.032 0.00422429
890.520 0.00389362
893.008 0.00362331
895.497 0.00339472
900.473 0.00302192
905.449 0.00274300
910.426 0.00252829
915.402 0.00235896
920.378 0.00222266
925.647 0.00210509
930.916 0.00200821
941.455 0.00185791
951.993 0.00174685
962.531 0.00166179
981.266 0.00155092
1000.00 0.00147176
1021.87 0.00140346
1043.74 0.00135187
1065.60 0.00131173
1087.47 0.00128020
1109.34 0.00125589
1131.20 0.00123826
1153.07 0.00122763
1174.94 0.00122527
1202.27 0.00123921
1215.94 0.00125630
1229.61 0.00128387
1243.27 0.00132920
