>,44-Ru-99:0.127600
>,44-Ru-100:0.126000
>,44-Ru-101:0.170600
>,44-Ru-102:0.315500
>,44-Ru-104:0.186200
9.417590e+00,1.55190909e+01
9.419610e+00,1.55772287e+01
9.421060e+00,1.56191057e+01
9.430310e+00,1.59026306e+01
9.432890e+00,1.59819683e+01
9.434370e+00,1.60276470e+01
9.436670e+00,1.61028811e+01
9.443030e+00,1.63113930e+01
9.446170e+00,1.64145831e+01
9.446470e+00,1.64244800e+01
9.449400e+00,1.65266520e+01
9.455760e+00,1.67490002e+01
9.458580e+00,1.68478572e+01
9.459440e+00,1.68798179e+01
9.462120e+00,1.69797818e+01
9.468480e+00,1.72176690e+01
9.470680e+00,1.73002069e+01
9.472720e+00,1.73813501e+01
9.474840e+00,1.74660064e+01
9.481210e+00,1.77211457e+01
9.482780e+00,1.77842481e+01
9.485990e+00,1.79212046e+01
9.487570e+00,1.79888881e+01
9.493930e+00,1.82622824e+01
9.494880e+00,1.83032761e+01
9.499270e+00,1.85044114e+01
9.500290e+00,1.85513148e+01
9.506650e+00,1.88449166e+01
9.506990e+00,1.88606725e+01
9.508920e+00,1.89558955e+01
9.511860e+00,1.91014885e+01
9.517060e+00,1.93599386e+01
9.519090e+00,1.94612096e+01
9.522200e+00,1.96264764e+01
9.522270e+00,1.96302130e+01
9.527480e+00,1.99093982e+01
9.531190e+00,2.01090598e+01
9.531250e+00,2.01125266e+01
9.532680e+00,2.01951542e+01
9.535480e+00,2.03576004e+01
9.537890e+00,2.04980795e+01
9.543090e+00,2.08025882e+01
9.545710e+00,2.09567362e+01
9.548300e+00,2.11215824e+01
9.548750e+00,2.11503647e+01
9.553500e+00,2.14556360e+01
9.558710e+00,2.17921725e+01
9.560240e+00,2.18915547e+01
9.562030e+00,2.20176948e+01
9.563910e+00,2.21508531e+01
9.569120e+00,2.25218379e+01
9.574320e+00,2.28943440e+01
9.574760e+00,2.29260505e+01
9.575300e+00,2.29683180e+01
9.579530e+00,2.33011316e+01
9.584730e+00,2.37127902e+01
9.588580e+00,2.40195059e+01
9.589280e+00,2.40756075e+01
9.589940e+00,2.41331382e+01
9.596300e+00,2.46913725e+01
9.601850e+00,2.51824480e+01
9.602660e+00,2.52544447e+01
9.603810e+00,2.53575177e+01
9.608490e+00,2.58151004e+01
9.609030e+00,2.58680592e+01
9.615130e+00,2.64712619e+01
9.615390e+00,2.64970570e+01
9.618330e+00,2.67912198e+01
9.621750e+00,2.71652370e+01
9.621770e+00,2.71674420e+01
9.628110e+00,2.78687196e+01
9.628400e+00,2.79010631e+01
9.632850e+00,2.83990430e+01
9.634470e+00,2.85930431e+01
9.635040e+00,2.86618244e+01
9.640110e+00,2.92757513e+01
9.640840e+00,2.93682488e+01
9.641680e+00,2.94755069e+01
9.647200e+00,3.01828913e+01
9.647380e+00,3.02061296e+01
9.648320e+00,3.03360919e+01
9.653560e+00,3.10631979e+01
9.654960e+00,3.12587824e+01
9.659920e+00,3.19545203e+01
9.660690e+00,3.20632347e+01
9.661590e+00,3.21988731e+01
9.666280e+00,3.29084982e+01
9.667350e+00,3.30712880e+01
9.668230e+00,3.32115163e+01
9.672650e+00,3.39188222e+01
9.674000e+00,3.41359788e+01
9.674870e+00,3.42823693e+01
9.679010e+00,3.49820576e+01
