Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
24.0517 3899.76
24.0609 3976.72
24.0702 4038.33
24.0794 4083.76
24.0886 4112.31
24.1000 4123.65
24.1093 4113.34
24.1185 4085.71
24.1277 4041.19
24.1370 3980.48
24.1462 3904.40
24.1555 3814.26
24.1647 3711.31
24.1739 3597.02
24.1896 3381.99
24.2052 3146.94
24.2365 2648.68
24.2522 2399.71
24.2678 2158.89
24.2835 1930.71
24.2913 1822.34
24.2991 1718.39
24.3070 1618.79
24.3148 1523.95
24.3226 1433.71
24.3304 1348.34
24.3383 1267.60
24.3461 1191.63
24.3539 1120.22
24.3617 1053.25
24.3688 996.002
24.3760 942.246
24.3831 891.690
24.3902 844.328
24.3973 799.873
24.4044 758.295
24.4115 719.376
24.4186 682.960
24.4258 648.851
24.4329 616.996
24.4400 587.205
24.4471 559.340
24.4542 533.235
24.4613 508.840
24.4684 486.000
24.4755 464.603
24.4834 442.586
24.4912 422.091
24.4990 402.947
24.5068 385.092
24.5147 368.379
24.5225 352.758
24.5303 338.103
24.5381 324.375
24.5460 311.467
24.5538 299.346
24.5616 287.923
24.5694 277.172
24.5773 267.016
24.5851 257.436
24.6007 239.803
24.6093 230.951
24.6178 222.595
24.6349 207.234
24.6519 193.451
24.6690 181.034
24.6861 169.803
24.7032 159.609
24.7202 150.325
24.7373 141.845
24.7529 134.697
24.7686 128.085
24.7842 121.956
24.7999 116.263
24.8155 110.965
24.8312 106.026
24.8468 101.414
24.8625 97.1021
24.8781 93.0602
24.8938 89.2681
24.9094 85.7054
24.9251 82.3538
24.9407 79.1968
24.9564 76.2196
24.9720 73.4085
24.9877 70.7531
25.0190 65.8572
25.0503 61.4560
25.0816 57.4847
25.1129 53.8898
25.1442 50.6231
25.1755 47.6467
25.2068 44.9270
25.2381 42.4361
25.2637 40.5496
25.2893 38.7870
25.3149 37.1377
25.3405 35.5927
25.3661 34.1421
25.3917 32.7793
25.4173 31.4963
25.4429 30.2878
25.4685 29.1472
25.4941 28.0701
25.5197 27.0517
25.5453 26.0883
25.5965 24.3100
25.6478 22.7085
25.6791 21.8068
25.7104 20.9581
25.7417 20.1584
25.7730 19.4039
25.8043 18.6913
25.8356 18.0176
25.8981 16.7761
25.9607 15.6596
26.0233 14.6522
26.0859 13.7399
26.1485 12.9114
26.2225 12.0265
26.2965 11.2310
26.3705 10.5131
26.4444 9.86363
26.5184 9.27417
26.5924 8.73759
26.6664 8.24719
26.7403 7.79771
26.8029 7.44605
26.8655 7.11841
26.9281 6.81263
26.9907 6.52695
27.0533 6.25959
27.1159 6.00912
27.1785 5.77408
27.2411 5.55334
27.3037 5.34571
27.3663 5.15025
27.4289 4.96599
27.4915 4.79218
27.6167 4.47282
27.7418 4.18695
27.8731 3.91836
28.0044 3.67759
28.1357 3.46109
28.2670 3.26590
28.3983 3.08950
28.5296 2.92984
28.6608 2.78499
28.7921 2.65328
28.8498 2.59916
28.9076 2.54721
28.9653 2.49734
29.0230 2.44949
29.0230 2.44947
29.0231 2.44942
29.0231 2.44937
29.0233 2.44927
29.0235 2.44908
29.0240 2.44868
29.0250 2.44789
29.0269 2.44632
29.0308 2.44317
29.0462 2.43078
29.0617 2.41853
