Cs-133(n,g) ENDFB-8.0
Energy(eV) XS(b)
11.5732 1.27316
11.7115 1.22822
11.8497 1.18686
11.9879 1.14864
12.1262 1.11320
12.2644 1.08050
12.4026 1.05020
12.5409 1.02208
12.8173 0.972062
13.0938 0.929190
13.3703 0.892610
13.6336 0.863029
13.8969 0.838056
14.1602 0.817295
14.4235 0.800494
14.6868 0.787475
14.9501 0.778099
15.2134 0.772305
15.4767 0.770143
15.7663 0.772128
16.0559 0.778969
16.3456 0.791434
16.4904 0.801691
16.5266 0.805881
16.5628 0.811972
16.5990 0.821257
16.6352 0.834849
16.6952 0.864783
16.7252 0.878723
16.7553 0.887884
16.7700 0.889930
16.7893 0.889968
16.8086 0.887241
16.8471 0.876021
16.8630 0.870409
16.8947 0.859809
16.9264 0.851883
16.9661 0.846722
17.0058 0.845847
17.0851 0.850677
17.2438 0.867899
17.4025 0.888970
17.5611 0.913332
17.7198 0.941178
17.8785 0.972882
18.0372 1.00894
18.1958 1.04996
18.3386 1.09179
18.4814 1.13917
18.5528 1.16560
18.6242 1.19567
18.6599 1.21344
18.6956 1.23413
18.7313 1.25815
18.7670 1.28474
18.8135 1.31909
18.8600 1.34651
18.8637 1.34824
18.8784 1.35446
18.8932 1.35964
18.9227 1.36755
18.9558 1.37448
18.9973 1.38411
19.0387 1.39779
19.0802 1.41605
19.1216 1.43791
19.2045 1.48828
19.2874 1.54453
19.3703 1.60603
19.4532 1.67322
19.5361 1.74691
19.6189 1.82869
19.6894 1.90819
19.7246 1.95451
19.7599 2.00878
19.7951 2.07492
19.8303 2.15617
19.8656 2.25202
19.9008 2.35513
19.9330 2.44415
19.9491 2.48277
19.9653 2.51579
19.9819 2.54313
20.0052 2.56988
20.0285 2.58449
20.0666 2.59202
20.0988 2.59551
20.1309 2.60707
20.1630 2.63179
20.1951 2.67019
20.2273 2.72015
20.2594 2.77889
20.3237 2.91454
20.3879 3.06812
20.4522 3.23804
20.5164 3.42537
20.5807 3.63222
20.6331 3.81714
20.6854 4.01861
20.7378 4.23857
20.7901 4.47922
20.8425 4.74318
20.8949 5.03353
20.9472 5.35390
20.9996 5.70858
21.0519 6.10263
21.1043 6.54214
21.1305 6.78116
21.1567 7.03440
21.1828 7.30299
21.2090 7.58823
21.2352 7.89150
21.2614 8.21438
21.2876 8.55858
21.3137 8.92604
21.3399 9.31887
21.3661 9.73948
21.3923 10.1906
21.4185 10.6749
21.4494 11.2955
21.4803 11.9742
21.5113 12.7187
21.5422 13.5381
21.5732 14.4429
21.6041 15.4455
21.6350 16.5608
21.6505 17.1661
21.6660 17.8064
21.6850 18.6468
21.7041 19.5504
21.7231 20.5238
21.7421 21.5744
21.7683 23.1611
21.7814 24.0233
21.7945 24.9363
21.8076 25.9043
21.8207 26.9318
21.8338 28.0240
21.8469 29.1864
21.8599 30.4255
21.8730 31.7483
21.8861 33.1627
21.8992 34.6776
21.9123 36.3031
21.9254 38.0506
21.9385 39.9332
21.9516 41.9656
21.9682 44.7961
21.9849 47.9387
22.0016 51.4433
22.0099 53.3499
22.0182 55.3709
22.0265 57.5161
22.0349 59.7966
22.0432 62.2246
22.0515 64.8139
22.0599 67.5798
22.0682 70.5397
22.0765 73.7131
22.0849 77.1221
22.0914 79.9842
22.0979 83.0161
22.1045 86.2418
22.1110 89.6679
22.1176 93.3230
22.1241 97.2158
22.1307 101.380
22.1372 105.827
22.1438 110.598
22.1503 115.706
22.1569 121.199
22.1634 127.096
22.1699 133.453
22.1765 140.291
22.1830 147.678
22.1896 155.638
22.1943 161.830
22.1991 168.380
22.2039 175.312
22.2086 182.649
22.2134 190.415
22.2181 198.637
22.2229 207.341
22.2277 216.553
22.2324 226.304
22.2372 236.620
22.2419 247.532
22.2467 259.070
22.2515 271.263
22.2562 284.142
22.2610 297.736
22.2657 312.076
22.2723 333.080
22.2788 355.587
22.2854 379.731
22.2919 405.501
22.2985 433.026
22.3050 462.263
22.3116 493.331
22.3181 526.149
22.3246 560.814
22.3312 597.198
22.3377 635.372
22.3443 675.152
22.3508 716.572
22.3574 759.391
22.3639 803.599
22.3705 848.892
22.3830 937.941
22.3954 1028.77
22.4079 1119.57
22.4204 1208.00
22.4355 1308.23
22.4430 1354.46
22.4506 1397.32
22.4625 1457.01
22.4684 1482.73
22.4744 1505.36
22.4803 1524.79
22.4862 1540.81
22.4922 1553.33
22.4981 1562.23
22.5041 1567.44
22.5100 1568.92
22.5140 1567.82
22.5204 1562.50
22.5269 1552.85
22.5333 1538.97
22.5397 1520.98
22.5462 1499.07
22.5526 1473.45
22.5591 1444.35
22.5655 1412.10
22.5756 1355.63
22.5857 1293.20
22.5958 1226.10
22.6059 1155.61
22.6258 1012.16
22.6456 869.371
22.6565 794.337
22.6673 722.605
22.6782 654.730
22.6890 591.328
22.6989 537.282
22.7039 511.790
22.7089 487.376
22.7138 463.939
22.7188 441.524
22.7238 420.119
22.7287 399.748
22.7337 380.310
22.7387 361.825
22.7436 344.267
22.7486 327.640
22.7536 311.848
22.7585 296.924
22.7635 282.775
22.7685 269.425
22.7734 256.786
22.7784 244.852
22.7834 233.591
22.7883 222.988
22.7933 212.970
22.7983 203.543
22.8032 194.638
22.8082 186.262
22.8132 178.351
22.8181 170.894
22.8231 163.864
22.8281 157.249
22.8330 150.996
22.8380 145.108
22.8430 139.539
22.8479 134.290
22.8551 127.151
22.8624 120.580
22.8696 114.505
22.8768 108.897
22.8840 103.698
22.8913 98.8831
22.8985 94.4115
22.9057 90.2515
22.9129 86.3698
22.9202 82.7519
22.9274 79.3650
22.9346 76.1981
22.9418 73.2241
22.9491 70.4346
22.9563 67.8107
22.9635 65.3389
22.9734 62.1630
22.9834 59.2279
22.9933 56.5062
23.0032 53.9767
23.0132 51.6187
23.0231 49.4207
23.0330 47.3659
23.0430 45.4417
23.0529 43.6349
23.0628 41.9393
23.0728 40.3440
23.0827 38.8409
23.0926 37.4216
23.1026 36.0823
23.1224 33.6166
23.1423 31.4006
23.1621 29.4030
23.1820 27.5937
23.2019 25.9508
23.2217 24.4529
23.2416 23.0843
23.2615 21.8293
23.2813 20.6764
23.3003 19.6601
23.3193 18.7187
23.3382 17.8446
23.3572 17.0314
23.3762 16.2730
23.3951 15.5654
23.4141 14.9037
23.4330 14.2840
23.4520 13.7024
23.4710 13.1565
23.4899 12.6431
23.5089 12.1597
23.5279 11.7038
23.5468 11.2736
23.5658 10.8672
23.5847 10.4828
23.6046 10.1018
23.6245 9.74182
23.6642 9.07816
23.7039 8.48137
23.7437 7.94273
23.7834 7.45490
23.8231 7.01167
23.8628 6.60775
23.9026 6.23864
23.9315 5.98978
23.9604 5.75606
23.9893 5.53612
24.0182 5.32905
24.0471 5.13372
24.0759 4.94938
24.1337 4.61016
24.1915 4.30569
24.2493 4.03132
24.3071 3.78324
24.3649 3.55827
24.4046 3.41551
24.4444 3.28162
24.4841 3.15583
24.5238 3.03750
24.5636 2.92606
24.6033 2.82098
24.6430 2.72179
24.6827 2.62805
24.7622 2.45539
24.8417 2.30027
24.9211 2.16039
25.0006 2.03380
25.0512 1.95941
25.1017 1.88937
25.1523 1.82335
25.2029 1.76106
25.3040 1.64658
25.4051 1.54411
25.5063 1.45203
25.6074 1.36879
25.7085 1.29323
25.8096 1.22452
25.8891 1.17483
25.9686 1.12856
26.0480 1.08538
26.1275 1.04505
26.2070 1.00730
26.2864 0.971927
26.3659 0.938732
26.4453 0.907540
26.6043 0.850552
26.7632 0.799872
26.9221 0.754605
27.0810 0.714009
27.1894 0.688686
27.2977 0.665077
27.4061 0.643032
27.5144 0.622418
27.6228 0.603114
27.7312 0.585024
27.9479 0.552231
28.1646 0.523072
28.3813 0.497077
28.5980 0.473875
28.8147 0.453097
29.0748 0.430941
29.3348 0.411447
29.5949 0.394584
29.6599 0.391053
29.7249 0.388437
29.7899 0.387766
29.8549 0.389831
29.9219 0.393369
29.9554 0.394330
29.9889 0.393940
30.0000 0.393448
30.0320 0.390982
30.0640 0.387146
30.1214 0.378327
30.1674 0.371270
30.2133 0.365368
30.2535 0.361338
30.2937 0.358176
30.3742 0.353386
30.5350 0.345909
30.8567 0.333365
31.1783 0.322494
31.5000 0.313097
31.7757 0.306123
32.0514 0.300092
32.3272 0.295011
32.4650 0.293166
32.5340 0.292625
32.6029 0.292801
32.6488 0.293931
32.6718 0.295093
32.6948 0.296862
32.7221 0.300031
32.7494 0.304707
32.7767 0.311237
32.8039 0.319831
32.8312 0.330454
32.8585 0.342688
32.9131 0.368241
32.9389 0.378384
32.9518 0.382425
32.9648 0.385600
32.9824 0.388344
33.0000 0.389103
33.0195 0.387562
33.0390 0.383625
33.0555 0.378591
33.0721 0.372277
33.1052 0.357037
33.1431 0.338158
33.1620 0.329155
33.1809 0.320863
33.1999 0.313462
33.2188 0.307048
33.2377 0.301632
33.2566 0.297161
33.2768 0.293337
33.2969 0.290333
33.3371 0.286199
33.3773 0.283719
33.4175 0.282162
33.4980 0.280285
33.5784 0.279066
33.9002 0.276089
34.2220 0.274341
34.5437 0.273444
34.9601 0.273398
35.3766 0.274565
35.7930 0.276963
36.2094 0.280647
36.6258 0.285692
37.0422 0.292225
37.4586 0.300399
37.8750 0.310413
38.2536 0.321341
38.6321 0.334254
39.0107 0.349457
39.2000 0.358041
39.3892 0.367340
39.5785 0.377443
39.7678 0.388402
39.9571 0.400302
40.1463 0.413252
40.3356 0.427327
40.5249 0.442621
40.7142 0.459216
40.9034 0.477467
41.0927 0.497488
41.2820 0.519463
41.4713 0.543642
41.6606 0.570329
41.8498 0.599912
42.0391 0.632935
42.1338 0.651013
42.2284 0.670527
42.3230 0.692766
42.3704 0.706195
42.4177 0.722752
42.4461 0.734975
42.4745 0.749466
42.5028 0.766630
42.5312 0.786689
42.5596 0.809550
42.5880 0.834689
42.6448 0.887283
42.6779 0.915235
42.7110 0.937702
42.7296 0.947044
42.7482 0.953736
42.7500 0.954250
42.7541 0.955309
42.7583 0.956230
42.7665 0.957666
42.7831 0.958961
42.8097 0.956974
42.8364 0.950890
42.8933 0.930714
42.9502 0.911830
42.9787 0.905822
43.0071 0.902743
43.0356 0.902559
43.0641 0.904978
43.1210 0.915895
43.1779 0.932161
43.2348 0.951442
43.3486 0.994999
43.4624 1.04340
43.5762 1.09651
43.6900 1.15475
43.8038 1.21881
43.8874 1.27010
43.9710 1.32557
44.0546 1.38616
44.1382 1.45427
44.1799 1.49317
44.2217 1.53782
44.2635 1.59179
44.2844 1.62387
44.3053 1.66039
44.3262 1.70224
44.3471 1.75024
44.3680 1.80518
44.3889 1.86751
44.4098 1.93747
44.4307 2.01464
44.4516 2.09819
44.4725 2.18644
44.5152 2.37146
44.5454 2.49480
44.5605 2.55041
44.5756 2.60033
44.5973 2.66000
44.6189 2.70359
44.6300 2.71922
44.6461 2.73386
44.6623 2.73903
44.6803 2.73435
44.6984 2.71994
44.7261 2.68289
44.7927 2.56274
44.8205 2.51762
44.8482 2.48310
44.8760 2.46174
44.9037 2.45428
44.9315 2.46008
44.9592 2.47764
44.9870 2.50509
45.0147 2.54057
45.0703 2.62941
45.1258 2.73502
45.1813 2.85300
45.2368 2.98185
45.2978 3.13609
45.3589 3.30419
45.4199 3.48753
45.4810 3.68770
45.5420 3.90677
45.6031 4.14702
45.6641 4.41126
45.7252 4.70277
45.7807 4.99473
45.8362 5.31579
45.8917 5.67009
45.9472 6.06225
46.0027 6.49805
46.0305 6.73431
46.0582 6.98408
46.0860 7.24842
46.1137 7.52850
46.1415 7.82558
46.1692 8.14109
46.2108 8.65244
46.2525 9.21491
46.2941 9.83567
46.3357 10.5232
46.3774 11.2877
46.3982 11.7027
46.4190 12.1414
46.4398 12.6063
46.4606 13.0990
46.4814 13.6221
46.5022 14.1782
46.5328 15.0598
46.5633 16.0291
46.5938 17.0984
46.6244 18.2820
46.6549 19.5982
46.6701 20.3120
46.6854 21.0670
46.7007 21.8673
46.7159 22.7153
46.7312 23.6158
46.7465 24.5734
46.7714 26.2780
46.7839 27.2010
46.7964 28.1761
46.8089 29.2075
46.8214 30.3000
46.8339 31.4588
46.8464 32.6887
46.8589 33.9982
46.8713 35.3939
46.8838 36.8839
46.8963 38.4779
46.9088 40.1865
46.9213 42.0220
46.9338 43.9983
46.9463 46.1300
46.9539 47.5201
46.9615 48.9786
46.9692 50.5126
46.9768 52.1275
46.9844 53.8319
46.9921 55.6281
46.9997 57.5257
47.0073 59.5327
47.0150 61.6608
47.0226 63.9143
47.0302 66.3063
47.0379 68.8484
47.0455 71.5532
47.0531 74.4346
47.0608 77.5074
47.0684 80.7880
47.0760 84.2988
47.0837 88.0499
47.0913 92.0665
47.0989 96.3709
47.1066 100.994
47.1142 105.949
47.1218 111.269
47.1294 116.985
47.1371 123.137
47.1447 129.741
47.1523 136.842
47.1600 144.475
47.1676 152.681
47.1752 161.500
47.1829 170.973
47.1905 181.145
47.1957 188.515
47.2009 196.230
47.2061 204.335
47.2113 212.813
47.2165 221.712
47.2217 231.010
47.2269 240.740
47.2321 250.916
47.2373 261.571
47.2425 272.679
47.2477 284.273
47.2529 296.364
47.2581 308.989
47.2633 322.111
47.2737 349.953
47.2814 371.796
47.2890 394.808
47.2966 419.029
