18-Ar_n-tot
>  18-Ar-36:0.003365
>  18-Ar-38:0.000632
>  18-Ar-40:0.996003
5.413430e-04 6.03789664e+00
5.468750e-04 6.00962517e+00
5.542380e-04 5.97348884e+00
5.620140e-04 5.93546452e+00
5.625000e-04 5.93308824e+00
5.723170e-04 5.88695307e+00
5.781250e-04 5.85975566e+00
5.826850e-04 5.83920458e+00
5.903970e-04 5.80445137e+00
5.937500e-04 5.78939197e+00
6.033560e-04 5.74784038e+00
6.084760e-04 5.72569544e+00
6.093750e-04 5.72181998e+00
6.240280e-04 5.66091346e+00
6.250000e-04 5.65687361e+00
6.265550e-04 5.65063767e+00
6.406250e-04 5.59439693e+00
6.446350e-04 5.57891003e+00
6.446990e-04 5.57866373e+00
6.562500e-04 5.53421486e+00
6.653700e-04 5.50030074e+00
6.661040e-04 5.49757138e+00
6.680520e-04 5.49032776e+00
6.681940e-04 5.48980180e+00
6.702850e-04 5.48205692e+00
6.718750e-04 5.47616774e+00
6.744650e-04 5.46688671e+00
6.828270e-04 5.43692308e+00
6.875000e-04 5.42017907e+00
6.914690e-04 5.40662425e+00
6.995490e-04 5.37913530e+00
7.148860e-04 5.32696233e+00
7.187500e-04 5.31386397e+00
7.329950e-04 5.26849043e+00
7.383030e-04 5.25158532e+00
7.500000e-04 5.21446349e+00
7.617210e-04 5.17941354e+00
7.664400e-04 5.16534948e+00
7.812500e-04 5.12121629e+00
7.851380e-04 5.11027335e+00
7.998850e-04 5.06890503e+00
8.085550e-04 5.04458605e+00
8.125000e-04 5.03355507e+00
8.187470e-04 5.01702306e+00
8.195740e-04 5.01483457e+00
8.223940e-04 5.00737202e+00
8.252130e-04 4.99991219e+00
8.308510e-04 4.98499276e+00
8.319720e-04 4.98202642e+00
8.421280e-04 4.95524780e+00
8.437500e-04 4.95097126e+00
8.634770e-04 4.90165029e+00
8.646810e-04 4.89865191e+00
8.750000e-04 4.87295578e+00
8.872340e-04 4.84401166e+00
8.949830e-04 4.82567973e+00
9.062500e-04 4.79912504e+00
9.097870e-04 4.79119130e+00
9.264880e-04 4.75373338e+00
9.375000e-04 4.72912563e+00
9.548940e-04 4.69206930e+00
9.579930e-04 4.68546797e+00
9.606740e-04 4.67976838e+00
9.687500e-04 4.66260876e+00
9.705050e-04 4.65904872e+00
9.803370e-04 4.63912806e+00
1.000000e-03 4.59935593e+00
1.026650e-03 4.54797931e+00
1.031250e-03 4.53911188e+00
1.039740e-03 4.52344111e+00
1.053300e-03 4.49851398e+00
1.062500e-03 4.48160336e+00
1.079470e-03 4.45170329e+00
1.093750e-03 4.42662708e+00
1.105960e-03 4.40604591e+00
1.106590e-03 4.40498760e+00
1.125000e-03 4.37406508e+00
1.153050e-03 4.32881020e+00
1.156250e-03 4.32366923e+00
1.159890e-03 4.31804295e+00
1.187500e-03 4.27537173e+00
1.200150e-03 4.25655093e+00
1.213190e-03 4.23722976e+00
1.218750e-03 4.22899231e+00
1.243640e-03 4.19344910e+00
1.247240e-03 4.18830868e+00
1.250000e-03 4.18438288e+00
1.281250e-03 4.14151677e+00
1.294330e-03 4.12419172e+00
1.296650e-03 4.12113038e+00
1.312500e-03 4.10021776e+00
1.341420e-03 4.06335092e+00
1.343750e-03 4.06039115e+00
1.349660e-03 4.05313052e+00
1.375000e-03 4.02200248e+00
1.388510e-03 4.00619458e+00
1.402660e-03 3.98969566e+00
1.435610e-03 3.95127951e+00
1.437500e-03 3.94908311e+00
1.455670e-03 3.92925592e+00
1.482700e-03 3.89976328e+00
1.500000e-03 3.88095666e+00
1.508680e-03 3.87207127e+00
1.547360e-03 3.83247943e+00
1.561690e-03 3.81787203e+00
1.562500e-03 3.81704641e+00
1.612020e-03 3.76940479e+00
1.614700e-03 3.76683651e+00
1.625000e-03 3.75696662e+00
1.667700e-03 3.71826804e+00
1.676690e-03 3.71012126e+00
1.687500e-03 3.70036166e+00
1.741350e-03 3.65428438e+00
1.750000e-03 3.64690948e+00
1.750780e-03 3.64627790e+00
1.806010e-03 3.60156199e+00
1.812500e-03 3.59632509e+00
1.833850e-03 3.57993437e+00
1.870680e-03 3.55166234e+00
1.875000e-03 3.54835714e+00
1.916930e-03 3.51779361e+00
1.935340e-03 3.50437553e+00
1.937500e-03 3.50280605e+00
2.000000e-03 3.45946464e+00
2.085180e-03 3.40381634e+00
2.088570e-03 3.40161007e+00
2.093750e-03 3.39823914e+00
2.170350e-03 3.35152412e+00
2.177150e-03 3.34739190e+00
2.187500e-03 3.34110294e+00
2.255530e-03 3.30225225e+00
2.265720e-03 3.29645265e+00
2.281250e-03 3.28761455e+00
2.340710e-03 3.25572789e+00
2.354290e-03 3.24846997e+00
2.375000e-03 3.23740222e+00
2.425880e-03 3.21172470e+00
2.442860e-03 3.20318299e+00
2.468750e-03 3.19016011e+00
2.511060e-03 3.17001059e+00
2.531430e-03 3.16033945e+00
2.562500e-03 3.14558927e+00
2.596240e-03 3.13039957e+00
2.620010e-03 3.11973020e+00
2.656250e-03 3.10346468e+00
2.681410e-03 3.09273083e+00
2.708580e-03 3.08117129e+00
2.750000e-03 3.06355044e+00
2.754190e-03 3.06185385e+00
2.826970e-03 3.03245484e+00
2.833870e-03 3.02967401e+00
2.843750e-03 3.02569252e+00
2.899750e-03 3.00417844e+00
2.937500e-03 2.98970811e+00
2.959160e-03 2.98177818e+00
2.972530e-03 2.97688371e+00
3.031250e-03 2.95545652e+00
3.084450e-03 2.93689705e+00
3.118090e-03 2.92516224e+00
3.125000e-03 2.92276159e+00
3.209740e-03 2.89456388e+00
3.218750e-03 2.89156597e+00
3.263640e-03 2.87724490e+00
3.312500e-03 2.86171903e+00
3.335040e-03 2.85484403e+00
3.406250e-03 2.83312555e+00
3.409200e-03 2.83226093e+00
3.460330e-03 2.81733300e+00
3.500000e-03 2.80575172e+00
3.554760e-03 2.79036428e+00
3.585620e-03 2.78172398e+00
3.593750e-03 2.77944786e+00
3.687500e-03 2.75417714e+00
3.700310e-03 2.75084936e+00
3.710910e-03 2.74810545e+00
3.781250e-03 2.72989864e+00
3.845870e-03 2.71375593e+00
3.872050e-03 2.70723778e+00
3.875000e-03 2.70650336e+00
3.968750e-03 2.68396057e+00
3.990140e-03 2.67898991e+00
4.033180e-03 2.66902067e+00
4.062500e-03 2.66222986e+00
4.134400e-03 2.64638298e+00
4.194320e-03 2.63321835e+00
4.250000e-03 2.62098614e+00
4.278670e-03 2.61507452e+00
4.355460e-03 2.59929004e+00
4.422940e-03 2.58542022e+00
4.437500e-03 2.58243618e+00
4.516590e-03 2.56718473e+00
4.567200e-03 2.55742596e+00
4.625000e-03 2.54631253e+00
4.677730e-03 2.53675093e+00
4.711470e-03 2.53063322e+00
4.812500e-03 2.51236585e+00
4.838860e-03 2.50786011e+00
4.855730e-03 2.50497670e+00
5.000000e-03 2.48038721e+00
5.129730e-03 2.45940015e+00
5.156250e-03 2.45511990e+00
5.205100e-03 2.44757197e+00
5.259450e-03 2.43917490e+00
5.312500e-03 2.43099726e+00
5.389170e-03 2.41967221e+00
5.410200e-03 2.41657294e+00
5.468750e-03 2.40794492e+00
5.518900e-03 2.40085203e+00
5.615300e-03 2.38724829e+00
5.625000e-03 2.38587955e+00
5.648620e-03 2.38267760e+00
5.778350e-03 2.36512970e+00
5.781250e-03 2.36473825e+00
5.820400e-03 2.35965593e+00
5.908070e-03 2.34827587e+00
5.937500e-03 2.34446357e+00
6.025500e-03 2.33348494e+00
6.037800e-03 2.33195055e+00
6.093750e-03 2.32498744e+00
6.209040e-03 2.31116848e+00
6.230600e-03 2.30859097e+00
6.250000e-03 2.30627188e+00
6.380280e-03 2.29124623e+00
6.406250e-03 2.28825863e+00
6.435700e-03 2.28498708e+00
6.551530e-03 2.27212076e+00
6.562500e-03 2.27090523e+00
6.640800e-03 2.26252871e+00
6.718750e-03 2.25419030e+00
6.722770e-03 2.25377411e+00
6.843200e-03 2.24133714e+00
6.875000e-03 2.23805337e+00
6.894020e-03 2.23618388e+00
7.045590e-03 2.22132217e+00
7.065260e-03 2.21939365e+00
7.187500e-03 2.20743662e+00
7.236500e-03 2.20293412e+00
7.247980e-03 2.20188167e+00
7.407750e-03 2.18723554e+00
7.450380e-03 2.18333610e+00
7.500000e-03 2.17879764e+00
7.578990e-03 2.17199582e+00
7.652770e-03 2.16565643e+00
7.750240e-03 2.15728216e+00
7.812500e-03 2.15194400e+00
7.855160e-03 2.14849165e+00
7.921480e-03 2.14312500e+00
8.057560e-03 2.13213580e+00
8.092720e-03 2.12929666e+00
8.125000e-03 2.12669510e+00
8.259950e-03 2.11641253e+00
8.263970e-03 2.11610625e+00
8.435210e-03 2.10308443e+00
8.437500e-03 2.10291060e+00
8.462350e-03 2.10112254e+00
8.606460e-03 2.09075405e+00
8.664740e-03 2.08656856e+00
8.750000e-03 2.08044589e+00
8.777700e-03 2.07855647e+00
8.867130e-03 2.07247131e+00
9.062500e-03 2.05917862e+00
9.069530e-03 2.05872383e+00
9.083280e-03 2.05783439e+00
9.271920e-03 2.04566900e+00
9.375000e-03 2.03902189e+00
9.388850e-03 2.03817071e+00
9.474310e-03 2.03293383e+00
9.676710e-03 2.02053192e+00
9.687500e-03 2.01987082e+00
9.694430e-03 2.01946566e+00
9.879100e-03 2.00869837e+00
1.000000e-02 2.00164958e+00
1.019190e-02 1.99098644e+00
1.031250e-02 1.98428560e+00
1.032670e-02 1.98353056e+00
1.038370e-02 1.98050767e+00
1.057560e-02 1.97033132e+00
1.062500e-02 1.96771182e+00
1.065340e-02 1.96626923e+00
1.076750e-02 1.96048816e+00
1.093750e-02 1.95187545e+00
1.095940e-02 1.95081060e+00
1.098010e-02 1.94980415e+00
1.115120e-02 1.94150472e+00
1.125000e-02 1.93671256e+00
1.130680e-02 1.93406618e+00
1.134310e-02 1.93237869e+00
1.153500e-02 1.92345835e+00
1.156250e-02 1.92218011e+00
1.163350e-02 1.91900889e+00
1.172680e-02 1.91485058e+00
1.187500e-02 1.90824578e+00
1.191870e-02 1.90637063e+00
1.196020e-02 1.90458998e+00
1.211060e-02 1.89814990e+00
1.218750e-02 1.89485725e+00
1.228690e-02 1.89075960e+00
1.230240e-02 1.89012188e+00
1.249430e-02 1.88222684e+00
1.250000e-02 1.88199234e+00
1.261360e-02 1.87748183e+00
1.268620e-02 1.87460624e+00
1.281250e-02 1.86960403e+00
1.306990e-02 1.85977045e+00
1.312500e-02 1.85766561e+00
1.316160e-02 1.85631531e+00
1.341020e-02 1.84717020e+00
1.343750e-02 1.84616600e+00
1.370950e-02 1.83649023e+00
1.375000e-02 1.83505343e+00
1.375050e-02 1.83503655e+00
1.409080e-02 1.82354500e+00
1.425750e-02 1.81791610e+00
1.437500e-02 1.81395833e+00
1.443110e-02 1.81218493e+00
1.477140e-02 1.80142824e+00
1.480550e-02 1.80035042e+00
1.500000e-02 1.79421752e+00
1.511170e-02 1.79090371e+00
1.535350e-02 1.78373066e+00
1.545200e-02 1.78081529e+00
1.562500e-02 1.77569515e+00
1.579220e-02 1.77102644e+00
1.590150e-02 1.76797461e+00
1.613250e-02 1.76153872e+00
1.625000e-02 1.75826520e+00
1.644940e-02 1.75301186e+00
1.647280e-02 1.75239668e+00
1.681310e-02 1.74345073e+00
1.687500e-02 1.74182354e+00
1.699740e-02 1.73877567e+00
1.715340e-02 1.73490043e+00
1.750000e-02 1.72629096e+00
1.774810e-02 1.72044055e+00
1.783400e-02 1.71842019e+00
1.812500e-02 1.71157637e+00
1.849870e-02 1.70321637e+00
1.851460e-02 1.70286156e+00
1.875000e-02 1.69760893e+00
1.924940e-02 1.68699872e+00
1.925730e-02 1.68683126e+00
1.937500e-02 1.68433652e+00
2.000000e-02 1.67169675e+00
2.066250e-02 1.65893767e+00
2.132500e-02 1.64679112e+00
2.198750e-02 1.63519459e+00
2.265000e-02 1.62412674e+00
2.331250e-02 1.61353641e+00
2.397500e-02 1.60339199e+00
2.463750e-02 1.59367250e+00
2.530000e-02 1.58433707e+00
2.637530e-02 1.56998112e+00
2.637940e-02 1.56992650e+00
2.645780e-02 1.56888228e+00
2.745050e-02 1.55648013e+00
2.745880e-02 1.55637667e+00
2.761560e-02 1.55442225e+00
2.852580e-02 1.54375054e+00
2.853810e-02 1.54360663e+00
2.877340e-02 1.54085381e+00
2.960100e-02 1.53172762e+00
2.961750e-02 1.53154591e+00
2.974610e-02 1.53012977e+00
2.993130e-02 1.52809149e+00
3.033360e-02 1.52390571e+00
3.069690e-02 1.52013010e+00
3.092120e-02 1.51779918e+00
3.108910e-02 1.51605711e+00
3.177630e-02 1.50930529e+00
3.209630e-02 1.50616141e+00
