52-Te_n-tot
> 52-Te-120:0.000900
> 52-Te-122:0.025500
> 52-Te-123:0.008900
> 52-Te-124:0.047400
> 52-Te-125:0.070700
> 52-Te-126:0.188400
> 52-Te-128:0.317400
> 52-Te-130:0.340800
2.382420e+00 4.14102880e+02
2.382440e+00 4.14019220e+02
2.382470e+00 4.13851009e+02
2.382540e+00 4.13486107e+02
2.382620e+00 4.13121205e+02
2.382770e+00 4.12390511e+02
2.383060e+00 4.10928234e+02
2.383650e+00 4.08007240e+02
2.384840e+00 4.02156351e+02
2.387200e+00 3.90456353e+02
2.391930e+00 3.67189857e+02
2.401390e+00 3.22160964e+02
2.408400e+00 2.90925352e+02
2.411900e+00 2.76158386e+02
2.415400e+00 2.62007301e+02
2.418910e+00 2.48494344e+02
2.422410e+00 2.35632868e+02
2.425910e+00 2.23426433e+02
2.429420e+00 2.11868806e+02
2.432440e+00 2.02400912e+02
2.435470e+00 1.93401158e+02
2.438490e+00 1.84852634e+02
2.441520e+00 1.76745549e+02
2.444540e+00 1.69058545e+02
2.447570e+00 1.61780941e+02
2.450590e+00 1.54890487e+02
2.453620e+00 1.48370272e+02
2.456650e+00 1.42199828e+02
2.459670e+00 1.36365804e+02
2.462700e+00 1.30847729e+02
2.465720e+00 1.25628695e+02
2.468750e+00 1.20689121e+02
2.471770e+00 1.16018327e+02
2.474800e+00 1.11596732e+02
2.477820e+00 1.07410988e+02
2.481320e+00 1.02838972e+02
2.484830e+00 9.85437463e+01
2.488330e+00 9.45057303e+01
2.491830e+00 9.07068574e+01
2.495340e+00 8.71301283e+01
2.498840e+00 8.37602354e+01
2.502340e+00 8.05826715e+01
2.505850e+00 7.75841753e+01
2.509350e+00 7.47523764e+01
2.512850e+00 7.20757935e+01
2.516350e+00 6.95440136e+01
2.519860e+00 6.71472464e+01
2.526860e+00 6.27232406e+01
2.533870e+00 5.87396955e+01
2.540880e+00 5.51414314e+01
2.547880e+00 5.18824356e+01
2.554890e+00 4.89219456e+01
2.561890e+00 4.62253407e+01
2.562500e+00 4.60110545e+01
2.568900e+00 4.37628163e+01
2.575910e+00 4.15083748e+01
2.582910e+00 3.94394986e+01
2.589920e+00 3.75367852e+01
2.595970e+00 3.60137677e+01
2.602020e+00 3.45921212e+01
2.608070e+00 3.32630347e+01
2.614120e+00 3.20189433e+01
2.620170e+00 3.08522818e+01
2.626220e+00 2.97570873e+01
2.632270e+00 2.87276638e+01
2.638320e+00 2.77588494e+01
2.644380e+00 2.68459266e+01
2.650430e+00 2.59847132e+01
2.656480e+00 2.51713817e+01
2.662530e+00 2.44027282e+01
2.668580e+00 2.36751927e+01
2.674630e+00 2.29862833e+01
2.686730e+00 2.17132173e+01
2.693740e+00 2.10342539e+01
2.700740e+00 2.03940057e+01
2.707750e+00 1.97895352e+01
2.714750e+00 1.92181730e+01
2.721760e+00 1.86776935e+01
2.728770e+00 1.81658721e+01
2.742780e+00 1.72204604e+01
2.750000e+00 1.67811300e+01
2.756790e+00 1.63679738e+01
2.770800e+00 1.55966647e+01
2.784810e+00 1.48965556e+01
2.798830e+00 1.42592802e+01
2.814110e+00 1.36272288e+01
2.829400e+00 1.30531695e+01
2.844680e+00 1.25303744e+01
2.859970e+00 1.20529780e+01
2.875260e+00 1.16159342e+01
2.890540e+00 1.12148466e+01
2.905830e+00 1.08458344e+01
2.921110e+00 1.05055071e+01
2.937500e+00 1.01698704e+01
2.938350e+00 1.01524650e+01
2.955590e+00 9.82852734e+00
2.972820e+00 9.53058682e+00
2.990060e+00 9.25598190e+00
3.007290e+00 9.00235448e+00
3.024530e+00 8.76764826e+00
3.041760e+00 8.55005694e+00
3.059000e+00 8.34800482e+00
3.059010e+00 8.34791116e+00
3.059020e+00 8.34779081e+00
3.059040e+00 8.34758570e+00
3.059070e+00 8.34718459e+00
3.059150e+00 8.34636416e+00
3.059290e+00 8.34474151e+00
3.059580e+00 8.34149599e+00
3.060580e+00 8.33019931e+00
3.061580e+00 8.31896493e+00
3.063590e+00 8.29662945e+00
3.067610e+00 8.25251031e+00
