F-19(n,g) ENDFB-8.0
Energy(eV) XS(b)
50637.5 0.00478338
50675.0 0.00463462
50750.0 0.00435731
50900.0 0.00380693
51050.0 0.00338012
51087.5 0.00327590
51125.0 0.00318421
51200.0 0.00300910
51500.0 0.00243984
51650.0 0.00221500
51800.0 0.00202081
52100.0 0.00170597
52337.5 0.00151889
52456.3 0.00142600
52485.9 0.00140446
52515.6 0.00138938
52575.0 0.00136199
52812.5 0.00125247
53050.0 0.00114294
53525.0 0.000923889
53584.4 0.000901427
53643.8 0.000885090
53762.5 0.000852436
54000.0 0.000787531
54500.0 0.000691011
54750.0 0.000642952
54875.0 0.000621026
55000.0 0.000605750
55500.0 0.000544654
55750.0 0.000514106
56000.0 0.000494525
57000.0 0.000428004
57500.0 0.000394744
57750.0 0.000378290
58000.0 0.000367719
60000.0 0.000310513
61718.0 0.000285986
62000.0 0.000283382
64000.0 0.000273343
64930.0 0.000272753
66000.0 0.000274738
68000.0 0.000285233
70000.0 0.000304219
72000.0 0.000332212
74000.0 0.000371094
75000.0 0.000397921
75500.0 0.000412541
75750.0 0.000419850
75875.0 0.000423505
75937.5 0.000425333
75968.8 0.000426492
75984.4 0.000429929
76000.0 0.000445237
76015.4 0.000479267
76030.8 0.000524996
76061.6 0.000622257
76123.3 0.000817311
76246.5 0.00120745
76493.0 0.00198773
76986.0 0.00354829
77479.0 0.00510885
77725.5 0.00588913
77848.8 0.00627927
77910.4 0.00647435
77941.2 0.00656240
77956.6 0.00650885
77964.3 0.00636507
77972.0 0.00608892
78000.0 0.00445163
78007.1 0.00417302
78014.1 0.00400134
78028.2 0.00386404
78056.4 0.00379743
78112.7 0.00369345
78225.4 0.00348550
78450.8 0.00306962
78901.5 0.00223785
79352.3 0.00140608
79803.0 0.000585462
80000.0 0.000583044
82000.0 0.000699128
82500.0 0.000735349
83000.0 0.000777597
84000.0 0.000863578
85000.0 0.000976920
85500.0 0.00103368
85750.0 0.00106205
86000.0 0.00109327
88000.0 0.00141759
89000.0 0.00162742
90000.0 0.00187531
92000.0 0.00250058
94000.0 0.00326481
96000.0 0.00395850
97000.0 0.00414694
97125.0 0.00416783
97250.0 0.00417150
97500.0 0.00417820
98000.0 0.00419105
98022.0 0.00418994
98083.8 0.00418265
98145.6 0.00417481
98269.3 0.00415912
98516.5 0.00412774
98763.8 0.00409635
98887.4 0.00408066
99011.0 0.00405517
99505.5 0.00393103
99752.8 0.00386896
100000 0.00379493
101000 0.00344567
102000 0.00306576
103000 0.00269430
104000 0.00235188
106000 0.00178926
108000 0.00137866
108500 0.00129716
109000 0.00122594
110000 0.00108366
110500 0.00102406
111000 0.000971070
112000 0.000869778
113000 0.000788019
113500 0.000747777
114000 0.000712726
115840 0.000603230
116045 0.000592690
116250 0.000582395
116250 0.000582390
116250 0.000582386
119880 0.000440980
120000 0.000438930
121670 0.000388090
122640 0.000364210
125190 0.000312390
126400 0.000292110
130000 0.000243770
130050 0.000243200
