Pd-105(n,g) ENDFB-8.0
Energy(eV) XS(b)
35.3641 0.261169
35.5236 0.263420
35.6831 0.266911
35.8426 0.271885
36.0021 0.278678
36.0819 0.282894
36.1616 0.287745
36.2414 0.293313
36.3211 0.299707
36.3929 0.306281
36.4647 0.313755
36.5365 0.322266
36.6083 0.331977
36.6800 0.343082
36.7518 0.355822
36.8236 0.370494
36.8954 0.387465
36.9432 0.400284
36.9911 0.414499
37.0389 0.430313
37.0868 0.447966
37.1306 0.466016
37.1745 0.486120
37.2184 0.508607
37.2622 0.533851
37.3061 0.562330
37.3500 0.594597
37.3719 0.612376
37.3938 0.631372
37.4158 0.651709
37.4377 0.673516
37.4696 0.708169
37.5015 0.746776
37.5334 0.789975
37.5653 0.838544
37.5892 0.879073
37.6131 0.923647
37.6371 0.972848
37.6610 1.02735
37.6829 1.08272
37.7049 1.14402
37.7268 1.21221
37.7487 1.28843
37.7707 1.37412
37.7816 1.42106
37.7926 1.47101
37.8036 1.52435
37.8145 1.58132
37.8255 1.64238
37.8364 1.70784
37.8524 1.81209
37.8684 1.92839
37.8783 2.00810
37.8883 2.09388
37.8983 2.18636
37.9082 2.28622
37.9182 2.39426
37.9282 2.51133
37.9381 2.63839
37.9481 2.77636
37.9581 2.92667
37.9680 3.09048
37.9780 3.26917
37.9880 3.46428
37.9980 3.67744
38.0079 3.91043
38.0179 4.16514
38.0279 4.44329
38.0378 4.74757
38.0478 5.07992
38.0578 5.44266
38.0677 5.83812
38.0787 6.31391
38.0897 6.83488
38.1006 7.40506
38.1116 8.02634
38.1226 8.70256
38.1335 9.43486
38.1445 10.2265
38.1555 11.0774
38.1664 11.9899
38.1774 12.9632
38.1884 13.9963
38.1993 15.0863
