Ni-60(n,tot) ENDFB-8.0
Energy(eV) XS(b)
5090.64 0.0115672
5095.04 0.0116099
5099.45 0.0116574
5108.77 0.0117717
5118.09 0.0119054
5127.41 0.0120586
5136.74 0.0122355
5146.06 0.0124274
5155.38 0.0126428
5164.71 0.0128719
5174.03 0.0131299
5192.67 0.0136982
5211.32 0.0143487
5229.97 0.0150833
5248.61 0.0159047
5271.40 0.0170332
5294.19 0.0182886
5316.98 0.0196800
5339.77 0.0212180
5362.56 0.0228921
5385.35 0.0247259
5408.14 0.0267242
5430.93 0.0289040
5450.61 0.0309998
5460.45 0.0321456
5470.29 0.0333808
5480.13 0.0348017
5489.97 0.0365376
5494.89 0.0376424
5499.81 0.0390536
5504.73 0.0410011
5507.19 0.0423233
5509.65 0.0440674
5511.40 0.0456915
5513.15 0.0477952
5514.90 0.0506170
5516.65 0.0545738
5517.52 0.0572092
5518.39 0.0604990
5519.27 0.0647205
5520.14 0.0703500
5521.02 0.0783334
5521.45 0.0838017
5521.89 0.0908636
5522.33 0.100328
5522.76 0.113481
5523.20 0.132333
5523.42 0.144828
5523.64 0.159925
5523.88 0.180615
5524.12 0.206327
5524.37 0.238224
5524.61 0.277650
5524.85 0.326134
5525.10 0.385369
5525.34 0.457185
5525.58 0.543102
5525.82 0.645745
5525.95 0.704044
5526.07 0.766621
5526.19 0.834708
5526.31 0.907364
5526.43 0.985275
5526.55 1.06856
5526.67 1.15806
5526.79 1.25235
5526.92 1.35300
5527.04 1.45830
5527.16 1.56991
5527.28 1.68582
5527.40 1.80673
5527.52 1.93236
5527.72 2.14386
5527.91 2.36377
5528.30 2.82292
5528.69 3.28993
5528.88 3.51695
5529.08 3.73514
5529.26 3.92536
5529.43 4.10095
5529.61 4.26019
5529.79 4.40046
5529.97 4.51937
5530.15 4.61487
5530.30 4.67729
5530.45 4.72007
5530.58 4.73985
5530.70 4.74634
5530.82 4.73961
5530.95 4.71959
5531.09 4.68059
5531.23 4.62531
5531.39 4.54455
5531.55 4.44568
5531.70 4.32880
5531.86 4.19696
5532.02 4.05119
5532.18 3.89335
5532.35 3.70887
5532.52 3.51485
5532.86 3.10996
5533.21 2.69651
5533.55 2.29475
5533.76 2.05484
5533.98 1.82753
5534.19 1.61491
5534.41 1.41931
5534.62 1.23978
5534.84 1.07760
5535.05 0.932621
5535.27 0.804884
5535.48 0.692360
5535.70 0.594617
5535.91 0.510438
5536.13 0.438825
5536.34 0.377783
5536.56 0.326578
5536.77 0.283479
5536.98 0.247726
5537.24 0.212597
5537.50 0.184645
5537.76 0.162458
5538.02 0.144909
5538.27 0.130891
5538.53 0.119729
5538.79 0.110707
5539.05 0.103407
5539.56 0.0923830
5540.08 0.0845918
5540.59 0.0787904
5541.11 0.0742806
5541.82 0.0694243
5542.54 0.0656801
5543.97 0.0603027
5545.40 0.0566709
5546.83 0.0540975
5548.26 0.0522133
5549.69 0.0508083
5552.56 0.0489428
5555.42 0.0478465
5558.28 0.0471828
5564.01 0.0466198
5571.10 0.0466918
5578.20 0.0471261
5585.30 0.0477771
5592.40 0.0485703
5606.60 0.0503525
5620.80 0.0523250
5649.19 0.0566292
5677.58 0.0612854
5697.74 0.0648031
5717.89 0.0684497
5738.04 0.0722180
5758.19 0.0761783
5798.49 0.0845043
5818.64 0.0889089
5838.79 0.0934789
5879.09 0.103038
5919.40 0.113282
5939.55 0.118627
5959.70 0.124189
6000.00 0.135744
6031.25 0.145217
6062.50 0.155127
6093.75 0.165484
6125.00 0.176299
6156.25 0.187584
6187.50 0.199350
6218.75 0.211608
6250.00 0.224371
6281.25 0.237652
6312.50 0.251462
6343.75 0.265816
6375.00 0.280727
6406.25 0.296209
6437.50 0.312284
6500.00 0.346241
6562.50 0.382709
6625.00 0.421829
6687.50 0.463735
6750.00 0.508573
6812.50 0.556496
6875.00 0.607665
6937.50 0.662252
7000.00 0.720439
7062.50 0.782418
7125.00 0.848394
7187.50 0.918582
7250.00 0.993214
7312.50 1.07253
7375.00 1.15680
7437.50 1.24629
7500.00 1.34129
7562.50 1.44212
7625.00 1.54911
7687.50 1.66262
7750.00 1.78302
7812.50 1.91071
7875.00 2.04612
7937.50 2.18972
8000.00 2.34199
8062.50 2.50345
8125.00 2.67467
8187.50 2.85625
8250.00 3.04882
8312.50 3.25307
8375.00 3.46975
8437.50 3.69964
8500.00 3.94359
8562.50 4.20251
8625.00 4.47739
8687.50 4.76928
8750.00 5.07932
8812.50 5.40873
8875.00 5.75882
8937.50 6.13104
9000.00 6.52690
9062.50 6.94808
9125.00 7.39637
9187.50 7.87370
9250.00 8.38218
9312.50 8.92409
9375.00 9.50189
9437.50 10.1183
9500.00 10.7761
9562.50 11.4786
9625.00 12.2291
9687.50 13.0314
9750.00 13.8896
9812.50 14.8080
9875.00 15.7915
9937.50 16.8452
10000.0 17.9747
10058.2 19.1033
10116.4 20.3045
10174.5 21.5874
10232.7 22.9642
10290.9 24.4298
10349.1 26.0045
10407.3 27.6896
10465.4 29.4874
10523.6 31.4265
10581.8 33.4968
10640.0 35.7158
10698.2 38.1056
10756.3 40.6564
10814.5 43.4045
10872.7 46.3517
10930.9 49.5008
10990.5 52.9891
11050.1 56.7175
11109.8 60.7287
11169.4 65.0332
11229.0 69.6278
11288.7 74.5724
11348.3 79.8264
11407.9 85.4325
11455.9 90.2136
11503.9 95.2274
11551.9 100.466
11600.0 105.925
11648.0 111.595
11696.0 117.501
11792.0 129.737
11888.0 142.540
11984.0 155.545
12080.0 168.288
12128.1 174.498
12152.1 177.505
12176.1 180.455
12184.1 181.416
12188.1 181.893
12192.1 182.369
12196.1 182.844
12198.1 183.082
12200.1 183.321
12202.1 183.564
12203.1 183.688
12204.1 183.818
12204.6 183.888
12205.1 183.962
12205.6 184.043
12206.1 184.135
12206.6 184.242
12207.1 184.371
12207.3 184.446
12207.6 184.529
12207.8 184.622
12208.1 184.727
12208.4 184.896
12208.8 185.089
12209.1 185.315
12209.4 185.578
12209.6 185.734
12209.8 185.892
12210.0 186.062
12210.1 186.244
12210.3 186.439
12210.5 186.646
12210.6 186.867
12210.8 187.101
12211.0 187.363
12211.2 187.624
12211.3 187.899
12211.5 188.186
12211.7 188.487
12211.8 188.800
12212.2 189.460
12212.5 190.160
12212.9 190.892
12213.5 192.401
12214.0 193.323
12214.4 194.202
12214.6 194.614
12214.8 195.004
12215.0 195.366
12215.2 195.698
12215.5 196.149
12215.7 196.345
12215.9 196.505
12216.0 196.647
12216.2 196.761
12216.4 196.853
12216.5 196.892
12216.7 196.918
12216.7 196.920
12216.7 196.923
12216.8 196.924
12216.8 196.923
12217.0 196.905
12217.2 196.836
12217.4 196.724
12217.6 196.577
12217.9 196.321
12218.2 195.923
12218.5 195.444
12218.9 194.899
12219.2 194.302
12219.7 193.353
12220.2 192.374
12220.7 191.411
12220.9 190.957
12221.1 190.520
12221.4 190.086
12221.6 189.692
12221.9 189.322
12222.1 188.977
12222.4 188.647
12222.6 188.357
12222.8 188.093
12223.1 187.856
12223.3 187.686
12223.4 187.539
12223.6 187.398
12223.8 187.278
12224.0 187.164
12224.2 187.067
12224.6 186.902
12224.9 186.776
12225.3 186.684
12225.7 186.619
12226.0 186.578
12226.4 186.555
12226.8 186.546
12227.1 186.549
12227.5 186.562
12228.2 186.606
12229.0 186.665
12229.7 186.735
12230.5 186.809
12231.9 186.962
12233.4 187.121
12234.9 187.280
12237.8 187.600
12240.8 187.922
12246.7 188.562
12256.6 189.628
12281.5 192.217
12306.3 194.612
12356.0 199.066
12405.8 203.076
12455.5 206.342
12509.2 209.013
12563.0 210.751
12616.7 211.789
12670.5 211.996
12723.4 211.222
12776.3 209.738
12829.3 207.613
12882.2 204.898
12935.1 201.573
12988.0 197.724
13093.9 188.989
13199.7 179.298
13305.6 169.133
13358.5 164.017
13411.4 158.901
13464.4 153.857
13490.8 151.350
13517.3 148.876
13534.2 147.308
13551.1 145.755
13562.3 144.744
13567.8 144.242
13573.4 143.743
13578.9 143.248
13584.5 142.758
13587.3 142.517
13590.1 142.278
13592.8 142.044
13595.6 141.818
13597.7 141.651
13599.1 141.551
13600.4 141.457
13601.7 141.369
13603.0 141.292
13604.4 141.231
13605.0 141.211
13605.7 141.201
13606.3 141.205
13607.0 141.232
13607.7 141.291
13608.0 141.337
13608.3 141.398
13608.6 141.467
13608.9 141.554
13609.2 141.661
13609.5 141.786
13609.8 141.942
13610.1 142.128
13610.4 142.350
13610.7 142.602
13611.0 142.908
13611.3 143.263
13611.6 143.673
13611.9 144.128
13612.2 144.661
13612.5 145.264
13612.8 145.940
13613.1 146.666
13613.4 147.550
13613.7 148.490
13614.0 149.545
13614.3 150.645
13614.7 151.854
13615.0 153.087
13615.3 154.368
13615.6 155.685
13616.3 158.825
13616.7 160.373
13617.0 161.807
13617.4 163.166
13617.8 164.344
13618.1 165.244
13618.4 165.964
13618.6 166.308
13618.8 166.579
13619.0 166.898
13619.3 167.075
13619.5 167.112
13619.6 167.108
13619.6 167.093
13619.7 167.072
13619.8 167.009
13620.1 166.785
13620.3 166.441
