31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
9.697270e+01 4.85286878e+01
9.698310e+01 4.77378934e+01
9.700530e+01 4.61475637e+01
9.702760e+01 4.46533727e+01
9.704990e+01 4.32467845e+01
9.707220e+01 4.19218951e+01
9.709440e+01 4.06714852e+01
9.711670e+01 3.94897283e+01
9.716120e+01 3.73113543e+01
9.720580e+01 3.53516673e+01
9.724120e+01 3.39424168e+01
9.725030e+01 3.35801557e+01
9.729490e+01 3.19730932e+01
9.733940e+01 3.05092838e+01
9.738400e+01 2.91720907e+01
9.742850e+01 2.79461972e+01
9.747310e+01 2.68196737e+01
9.750980e+01 2.59632516e+01
9.751760e+01 2.57812366e+01
9.756220e+01 2.48218425e+01
9.760670e+01 2.39334172e+01
9.765120e+01 2.31090983e+01
9.769580e+01 2.23423028e+01
9.774030e+01 2.16279662e+01
9.777830e+01 2.10597164e+01
9.778490e+01 2.09610242e+01
9.782940e+01 2.03375079e+01
9.787400e+01 1.97534039e+01
9.791850e+01 1.92056026e+01
9.796310e+01 1.86908708e+01
9.800760e+01 1.82067371e+01
9.804690e+01 1.78047753e+01
9.805220e+01 1.77505702e+01
9.809670e+01 1.73204788e+01
9.814120e+01 1.69142029e+01
9.818580e+01 1.65301860e+01
9.823030e+01 1.61666743e+01
9.827490e+01 1.58221903e+01
9.829100e+01 1.57071181e+01
9.836400e+01 1.51854126e+01
9.845310e+01 1.46102792e+01
9.853520e+01 1.41299534e+01
9.854220e+01 1.40890054e+01
9.863120e+01 1.36150289e+01
9.872030e+01 1.31825793e+01
9.877930e+01 1.29205497e+01
9.880940e+01 1.27868976e+01
9.889850e+01 1.24239413e+01
9.896740e+01 1.21635494e+01
9.902340e+01 1.19645912e+01
9.903620e+01 1.19191286e+01
9.910510e+01 1.16893671e+01
9.917390e+01 1.14730896e+01
9.924270e+01 1.12691787e+01
9.926760e+01 1.11996096e+01
9.931160e+01 1.10767272e+01
9.938040e+01 1.08949161e+01
9.944930e+01 1.07228383e+01
9.951170e+01 1.05788846e+01
9.958700e+01 1.04052715e+01
9.972460e+01 1.01192229e+01
9.975590e+01 1.00603956e+01
9.986230e+01 9.86058005e+00
1.000000e+02 9.62591935e+00
1.001470e+02 9.39958529e+00
1.002930e+02 9.19411356e+00
1.003530e+02 9.11773796e+00
1.004400e+02 9.00726252e+00
1.005860e+02 8.83678902e+00
1.007050e+02 8.71044807e+00
1.007330e+02 8.68082296e+00
1.008790e+02 8.53800874e+00
1.010260e+02 8.40661156e+00
1.010580e+02 8.38003128e+00
1.011720e+02 8.28584967e+00
1.013060e+02 8.18319732e+00
1.014100e+02 8.10942467e+00
1.014410e+02 8.08755363e+00
1.015750e+02 7.99858355e+00
1.015870e+02 7.99113266e+00
1.017090e+02 7.91574727e+00
1.017630e+02 7.88450841e+00
1.018430e+02 7.83848545e+00
1.019390e+02 7.78713529e+00
1.019780e+02 7.76641547e+00
1.021120e+02 7.69911892e+00
1.021150e+02 7.69770516e+00
1.022460e+02 7.63648568e+00
1.022920e+02 7.61642779e+00
1.023810e+02 7.57803955e+00
1.024680e+02 7.54247507e+00
1.025150e+02 7.52349963e+00
1.026440e+02 7.47452880e+00
1.026490e+02 7.47265709e+00
1.027830e+02 7.42551907e+00
1.028210e+02 7.41303132e+00
1.029180e+02 7.38187310e+00
1.030490e+02 7.34194749e+00
1.030520e+02 7.34106076e+00
1.032770e+02 7.28048103e+00
1.033200e+02 7.26936041e+00
1.035050e+02 7.22745270e+00
1.035890e+02 7.20946294e+00
1.037330e+02 7.18253768e+00
1.038580e+02 7.16096435e+00
1.039610e+02 7.14552740e+00
1.041260e+02 7.12356485e+00
1.041890e+02 7.11656224e+00
1.043950e+02 7.09772164e+00
