Tb-159(n,g) ENDFB-8.0
Energy(eV) XS(b)
7.51425 3.27532
7.62106 3.39728
7.72787 3.53405
7.83468 3.68726
7.94149 3.85889
8.04830 4.05128
8.15511 4.26727
8.26192 4.51026
8.36873 4.78435
8.46583 5.06471
8.56293 5.37944
8.66003 5.73403
8.70858 5.92830
8.75713 6.13514
8.80568 6.35564
8.85423 6.59097
8.90278 6.84245
8.95133 7.11153
8.99988 7.39961
9.04843 7.70809
9.09698 8.03933
9.14552 8.39656
9.19893 8.82283
9.25233 9.28748
9.30574 9.79500
9.35914 10.3508
9.41255 10.9611
9.46595 11.6333
9.51936 12.3762
9.57276 13.1998
9.62617 14.1163
9.67957 15.1405
9.70628 15.6982
9.73298 16.2897
9.75968 16.9177
9.78638 17.5853
9.81309 18.2960
9.83979 19.0534
9.86649 19.8619
9.89319 20.7260
9.91989 21.6511
9.94660 22.6427
9.97330 23.7076
10.0000 24.8533
10.0359 26.5364
10.0718 28.4050
10.1077 30.4887
10.1256 31.6211
10.1436 32.8196
10.1615 34.0907
10.1795 35.4396
10.1974 36.8729
10.2154 38.3972
10.2333 40.0224
10.2513 41.7571
10.2692 43.6115
10.2872 45.5959
10.3031 47.4817
10.3191 49.4899
10.3410 52.4747
10.3629 55.7454
10.3849 59.3433
10.4068 63.3102
10.4288 67.7026
10.4397 70.0770
10.4507 72.5796
10.4617 75.2247
10.4726 78.0210
10.4836 80.9801
10.4946 84.1124
10.5085 88.3795
10.5225 92.9887
10.5364 97.9782
10.5504 103.392
10.5644 109.280
10.5713 112.420
10.5783 115.702
10.5853 119.133
10.5923 122.723
10.5993 126.484
10.6062 130.424
10.6172 137.012
10.6282 144.127
10.6391 151.828
10.6501 160.176
10.6556 164.627
10.6611 169.264
10.6666 174.114
10.6720 179.174
10.6775 184.475
10.6830 190.012
10.6885 195.811
10.6940 201.889
10.6995 208.276
10.7049 214.971
10.7104 222.018
10.7159 229.418
10.7214 237.224
10.7269 245.436
10.7324 254.101
10.7378 263.252
10.7433 272.948
10.7488 283.195
10.7543 294.078
10.7598 305.610
10.7653 317.892
10.7708 330.943
10.7762 344.858
10.7817 359.717
10.7887 380.154
10.7922 391.067
10.7957 402.482
10.7992 414.430
10.8027 426.946
10.8061 440.066
10.8096 453.831
10.8131 468.282
10.8166 483.465
10.8201 499.431
10.8236 516.231
10.8271 533.922
10.8306 552.567
10.8341 572.230
10.8376 592.981
10.8430 628.010
10.8485 666.166
10.8513 686.623
