73-Ta_n-tot
> 73-Ta-181:1.000000
1.540000e+07 5.26510000e+00
1.560000e+07 5.28390000e+00
1.580000e+07 5.30210000e+00
1.600000e+07 5.31960000e+00
1.620000e+07 5.33640000e+00
1.640000e+07 5.35230000e+00
1.660000e+07 5.36730000e+00
1.680000e+07 5.38150000e+00
1.700000e+07 5.39460000e+00
1.720000e+07 5.40670000e+00
1.740000e+07 5.41780000e+00
1.760000e+07 5.42770000e+00
1.780000e+07 5.43640000e+00
1.800000e+07 5.44390000e+00
1.820000e+07 5.45020000e+00
1.840000e+07 5.45530000e+00
1.860000e+07 5.45900000e+00
1.880000e+07 5.46140000e+00
1.900000e+07 5.46250000e+00
1.920000e+07 5.46230000e+00
1.940000e+07 5.46080000e+00
1.960000e+07 5.45800000e+00
1.980000e+07 5.45390000e+00
