33-As_n-g
>  33-As-75:1.000000
4.942580e+01 1.35391000e+01
4.949830e+01 1.27507000e+01
4.957070e+01 1.20292000e+01
4.964320e+01 1.13674000e+01
4.973240e+01 1.06250000e+01
4.982160e+01 9.95286000e+00
4.991080e+01 9.34247000e+00
5.000000e+01 8.78657000e+00
5.005680e+01 8.45836000e+00
5.011350e+01 8.14823000e+00
5.022700e+01 7.57716000e+00
5.034050e+01 7.06424000e+00
5.045400e+01 6.60182000e+00
5.056750e+01 6.18348000e+00
5.068100e+01 5.80379000e+00
5.079450e+01 5.45813000e+00
5.090800e+01 5.14259000e+00
5.098540e+01 4.94291000e+00
5.106280e+01 4.75473000e+00
5.114020e+01 4.57714000e+00
5.121750e+01 4.40943000e+00
5.129490e+01 4.25087000e+00
5.137230e+01 4.10085000e+00
5.152710e+01 3.82400000e+00
5.168180e+01 3.57438000e+00
5.183660e+01 3.34836000e+00
5.199140e+01 3.14313000e+00
5.214610e+01 2.95635000e+00
5.225960e+01 2.82986000e+00
5.237310e+01 2.71140000e+00
5.248660e+01 2.60031000e+00
5.260010e+01 2.49601000e+00
5.271360e+01 2.39794000e+00
5.282710e+01 2.30562000e+00
5.294060e+01 2.21861000e+00
5.305410e+01 2.13653000e+00
5.316760e+01 2.05899000e+00
5.328110e+01 1.98567000e+00
5.350810e+01 1.85054000e+00
5.373510e+01 1.72903000e+00
5.396210e+01 1.61938000e+00
5.418910e+01 1.52009000e+00
5.441610e+01 1.42992000e+00
5.464310e+01 1.34779000e+00
5.487010e+01 1.27277000e+00
5.509710e+01 1.20406000e+00
5.532410e+01 1.14100000e+00
5.555110e+01 1.08298000e+00
5.577810e+01 1.02955000e+00
5.599470e+01 9.82471000e-01
5.621140e+01 9.38680000e-01
5.642810e+01 8.97812000e-01
5.664480e+01 8.59692000e-01
5.686150e+01 8.24105000e-01
5.707810e+01 7.90838000e-01
5.729480e+01 7.59695000e-01
5.751150e+01 7.30504000e-01
5.772820e+01 7.03103000e-01
5.794480e+01 6.77353000e-01
5.816150e+01 6.53126000e-01
5.837820e+01 6.30306000e-01
5.881150e+01 5.88476000e-01
5.924490e+01 5.51133000e-01
5.969890e+01 5.16162000e-01
6.015290e+01 4.84869000e-01
6.060690e+01 4.56769000e-01
6.106090e+01 4.31454000e-01
6.151480e+01 4.08581000e-01
6.196880e+01 3.87858000e-01
6.242280e+01 3.69037000e-01
6.287680e+01 3.51904000e-01
6.326890e+01 3.38324000e-01
6.366100e+01 3.25779000e-01
6.405310e+01 3.14261000e-01
6.444510e+01 3.03475000e-01
6.483720e+01 2.93477000e-01
6.522930e+01 2.84147000e-01
6.562140e+01 2.75516000e-01
6.601350e+01 2.67464000e-01
6.640560e+01 2.59979000e-01
6.679760e+01 2.53028000e-01
6.758180e+01 2.40522000e-01
6.836600e+01 2.29703000e-01
6.915010e+01 2.20384000e-01
6.989300e+01 2.12797000e-01
7.063590e+01 2.06308000e-01
