Sr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
513.650 0.270737
513.724 0.282826
513.798 0.295920
513.872 0.310145
513.946 0.325623
514.021 0.342570
514.095 0.361176
514.169 0.381697
514.243 0.404416
514.334 0.435843
514.379 0.453339
514.424 0.472163
514.470 0.492573
514.515 0.514689
514.560 0.538798
514.606 0.565194
514.651 0.594291
514.696 0.626375
514.742 0.662082
514.787 0.701843
514.833 0.746531
514.878 0.796778
514.923 0.853652
514.968 0.918301
514.999 0.967709
515.030 1.02169
515.061 1.08094
515.092 1.14605
515.123 1.21767
515.154 1.29654
515.185 1.38342
515.216 1.47919
515.247 1.58478
515.278 1.70120
515.308 1.82954
515.339 1.97096
515.370 2.12673
515.401 2.29815
515.432 2.48665
515.463 2.69369
515.486 2.85849
515.508 3.03476
515.531 3.22315
515.554 3.42340
515.576 3.63796
515.599 3.86559
515.622 4.10901
515.644 4.36673
515.667 4.64171
515.690 4.93353
515.712 5.24284
515.735 5.56879
515.758 5.91488
515.780 6.27866
515.803 6.66389
515.826 7.06768
515.846 7.45565
515.867 7.85929
515.887 8.28068
515.908 8.72006
515.949 9.65339
515.990 10.6600
516.032 11.7423
516.073 12.8937
516.114 14.1141
516.155 15.3995
516.201 16.8848
516.246 18.4298
516.337 21.6612
516.427 24.9859
516.518 28.2530
516.580 30.3711
516.642 32.3310
516.687 33.6414
516.732 34.8172
516.778 35.8430
516.823 36.7023
516.867 37.3615
516.910 37.8407
516.955 38.1391
517.000 38.2372
517.049 38.1155
517.097 37.7587
517.137 37.2949
517.177 36.6851
517.216 35.9423
517.256 35.0719
517.295 34.0845
517.335 32.9949
517.374 31.8103
517.414 30.5501
517.493 27.8467
517.536 26.3007
517.693 20.5471
517.758 18.2673
517.823 16.0980
517.855 15.0617
517.887 14.0629
517.919 13.1042
517.952 12.1902
517.991 11.1280
518.031 10.1347
518.070 9.20597
518.109 8.34632
518.129 7.93917
518.149 7.55036
518.169 7.17754
518.188 6.82046
518.208 6.47714
518.228 6.15071
518.248 5.83906
518.267 5.54183
518.289 5.23202
518.310 4.93987
518.332 4.66335
518.353 4.40191
518.375 4.15387
518.396 3.92094
518.418 3.70138
518.439 3.49459
518.461 3.29914
518.483 3.11625
518.504 2.94444
518.526 2.78316
518.547 2.63185
518.569 2.49000
518.590 2.35710
518.612 2.23264
518.631 2.12507
518.651 2.02439
518.671 1.92970
518.690 1.84065
518.710 1.75652
518.730 1.67785
518.750 1.60391
518.769 1.53442
518.789 1.46879
518.809 1.40743
518.829 1.34976
518.848 1.29554
518.868 1.24431
518.888 1.19637
518.907 1.15128
518.927 1.10884
518.967 1.03106
519.006 0.962157
519.046 0.900674
519.085 0.845940
519.124 0.796822
519.164 0.752824
519.203 0.713075
519.243 0.677220
519.297 0.633516
519.350 0.594955
519.404 0.560700
519.458 0.530069
519.512 0.502506
519.566 0.477560
519.619 0.454860
519.673 0.434142
519.727 0.415077
519.781 0.397500
519.834 0.381236
519.888 0.366140
519.996 0.338977
520.103 0.315238
520.182 0.299627
520.261 0.285340
520.340 0.272221
520.419 0.260138
520.498 0.248980
520.577 0.238651
520.656 0.229066
520.735 0.220154
520.892 0.204099
521.050 0.190065
521.208 0.177716
521.366 0.166788
521.516 0.157480
521.667 0.149123
521.818 0.141584
521.968 0.134756
522.119 0.128548
522.270 0.122892
522.420 0.117721
522.571 0.112979
522.872 0.104602
523.173 0.0974623
523.474 0.0913247
523.776 0.0860099
524.120 0.0807635
524.464 0.0762446
524.780 0.0726255
525.095 0.0694237
525.411 0.0665757
525.727 0.0640313
526.042 0.0617499
526.358 0.0596969
526.673 0.0578431
526.989 0.0561634
527.620 0.0532448
528.251 0.0508065
528.883 0.0487494
529.514 0.0470024
530.231 0.0453230
530.948 0.0438951
531.665 0.0426702
532.383 0.0416178
533.100 0.0407094
533.817 0.0399222
534.534 0.0392377
535.252 0.0386410
536.686 0.0376665
538.121 0.0369403
539.555 0.0363738
540.990 0.0359557
542.367 0.0356718
543.744 0.0354832
545.121 0.0353763
546.498 0.0353445
549.023 0.0354612
551.547 0.0357775
554.072 0.0362810
556.597 0.0369683
559.122 0.0378380
561.646 0.0389023
564.171 0.0401733
566.696 0.0416687
569.220 0.0434188
571.745 0.0454507
574.270 0.0478077
575.532 0.0491242
576.794 0.0505437
578.057 0.0520690
579.319 0.0537142
580.582 0.0554929
581.844 0.0574086
583.106 0.0594780
584.369 0.0617229
585.631 0.0641510
586.893 0.0667808
588.270 0.0699117
589.648 0.0733198
