Sm-144(n,g) ENDFB-8.0
Energy(eV) XS(b)
1560.18 0.0164943
1560.96 0.0167684
1561.75 0.0170514
1562.54 0.0173430
1563.33 0.0176443
1564.12 0.0179550
1564.91 0.0182760
1565.70 0.0186070
1566.48 0.0189499
1567.27 0.0193051
1568.18 0.0197327
1569.10 0.0201784
1570.01 0.0206435
1570.92 0.0211292
1571.84 0.0216369
1572.75 0.0221684
1573.66 0.0227253
1574.57 0.0233089
1575.49 0.0239225
1576.40 0.0245680
1577.31 0.0252480
1578.23 0.0259646
1579.14 0.0267228
1580.05 0.0275254
1580.96 0.0283768
1581.88 0.0292808
1582.79 0.0302450
1583.70 0.0312748
1584.62 0.0323779
1585.53 0.0335630
