Hf-177(n,g) ENDFB-8.0
Energy(eV) XS(b)
10.9961 4.85048
11.1035 4.52604
11.2109 4.23346
11.3184 3.96873
11.4258 3.72849
11.5332 3.50984
11.6406 3.31030
11.7481 3.12770
11.8555 2.96024
11.9629 2.80629
12.0703 2.66448
12.1777 2.53400
12.2852 2.41358
12.3926 2.30124
12.5000 2.19690
12.6074 2.09996
12.7149 2.00963
12.8223 1.92533
12.9297 1.84664
13.0371 1.77301
13.1445 1.70399
13.2520 1.63930
13.3594 1.57855
13.4668 1.52138
13.5742 1.46760
13.6817 1.41693
13.7891 1.36910
14.0039 1.28127
14.2188 1.20262
14.4141 1.13810
14.6094 1.07941
14.8047 1.02588
15.0000 0.976930
15.1563 0.940746
15.3125 0.906958
15.4688 0.875366
15.6250 0.845790
15.7813 0.818070
15.9375 0.792182
16.2500 0.744878
16.5625 0.702843
16.8750 0.665471
17.1875 0.632136
17.5000 0.602315
17.8125 0.575568
18.1250 0.551523
18.4375 0.529865
18.7500 0.510324
19.0625 0.492671
19.3750 0.476705
19.6875 0.462255
20.0000 0.449196
20.3027 0.437823
20.6054 0.427392
20.9080 0.417838
21.2107 0.409315
21.8160 0.394532
22.4214 0.382676
23.0267 0.373175
23.6321 0.365935
24.2374 0.360665
24.8428 0.357147
25.2830 0.355682
25.7233 0.355075
26.3286 0.355626
26.9339 0.357669
27.5393 0.361239
28.1446 0.366398
28.7500 0.373087
29.3553 0.381486
29.9607 0.391652
30.5660 0.403675
31.1714 0.417858
31.7767 0.434285
32.3820 0.453290
32.9874 0.475280
33.5927 0.500490
34.1981 0.529640
34.5007 0.545789
34.8034 0.563274
35.1061 0.581994
35.4088 0.602076
35.8215 0.632125
36.2342 0.665491
36.6470 0.702634
37.0597 0.744069
37.2661 0.766292
37.4724 0.790096
37.8852 0.842167
38.0915 0.870641
38.2979 0.900918
38.5043 0.933149
38.7106 0.967501
39.0133 1.02212
39.3160 1.08238
39.6187 1.14907
39.9213 1.22314
40.2240 1.30570
40.5267 1.39809
40.6780 1.44847
40.8293 1.50194
40.9807 1.55876
41.1320 1.61921
41.3177 1.69884
41.5035 1.78508
41.6892 1.87868
41.8749 1.98043
42.0607 2.09092
42.1535 2.15002
42.2464 2.21199
42.3393 2.27690
42.4321 2.34487
42.5250 2.41615
42.5714 2.45310
42.6179 2.49097
42.6695 2.53417
42.7210 2.57858
42.7726 2.62423
42.8242 2.67118
42.8758 2.71948
42.9016 2.74415
42.9274 2.76917
42.9532 2.79457
42.9790 2.82033
43.0048 2.84647
43.0306 2.87300
43.0684 2.91263
43.1063 2.95312
43.1441 2.99451
43.1819 3.03682
43.2198 3.08009
43.2576 3.12433
43.2954 3.16958
43.3333 3.21587
43.3711 3.26324
43.3900 3.28734
43.4089 3.31172
43.4279 3.33638
43.4468 3.36134
43.4657 3.38659
43.4846 3.41212
43.5018 3.43562
43.5190 3.45935
43.5310 3.47612
43.5431 3.49303
43.5671 3.52721
43.5895 3.55944
43.6119 3.59214
43.6342 3.62531
43.6566 3.65894
43.6789 3.69308
43.7013 3.72771
43.7236 3.76286
43.7460 3.79852
43.7649 3.82912
43.7838 3.86011
43.8028 3.89149
43.8217 3.92325
43.8406 3.95544
43.8595 3.98804
43.8784 4.02107
43.8973 4.05450
43.9163 4.08839
43.9352 4.12272
43.9541 4.15750
43.9730 4.19272
43.9919 4.22843
44.0108 4.26460
44.0298 4.30127
44.0487 4.33842
44.0676 4.37608
44.0865 4.41426
44.1054 4.45296
44.1243 4.49217
44.1433 4.53194
44.1622 4.57226
44.1811 4.61314
44.2000 4.65457
44.2189 4.69660
44.2378 4.73923
44.2568 4.78246
44.2757 4.82628
44.2946 4.87075
44.3135 4.91586
44.3324 4.96163
44.3513 5.00803
44.3892 5.10293
44.4270 5.20062
44.4648 5.30124
44.5027 5.40491
44.5405 5.51178
44.5783 5.62193
44.6162 5.73552
44.6540 5.85270
44.6918 5.97365
44.7297 6.09847
44.7675 6.22740
44.8053 6.36056
44.8432 6.49819
44.8810 6.64044
44.9189 6.78758
44.9567 6.93976
44.9945 7.09731
45.0324 7.26039
45.0702 7.42935
45.1080 7.60440
45.1459 7.78591
45.1837 7.97413
45.2215 8.16942
45.2594 8.37217
45.2972 8.58280
45.3350 8.80161
45.3729 9.02917
45.4107 9.26581
45.4485 9.51216
45.4864 9.76863
45.5242 10.0358
45.5620 10.3144
45.5999 10.6051
45.6377 10.9084
45.6755 11.2253
45.7134 11.5564
45.7512 11.9028
45.7890 12.2652
45.8269 12.6447
45.8647 13.0425
45.9025 13.4599
45.9404 13.8978
45.9782 14.3580
46.0160 14.8418
46.0539 15.3510
46.0917 15.8872
46.1295 16.4527
46.1674 17.0492
46.2052 17.6796
46.2430 18.3460
46.2809 19.0516
46.3187 19.7993
46.3566 20.5927
46.3944 21.4354
46.4322 22.3318
46.4700 23.2865
46.5079 24.3050
46.5457 25.3926
46.5836 26.5564
46.6214 27.8030
46.6592 29.1413
46.6971 30.5796
46.7349 32.1289
46.7727 33.8008
46.8106 35.6093
46.8484 37.5688
46.8862 39.6977
46.9241 42.0153
46.9430 43.2525
46.9619 44.5460
46.9808 45.8993
46.9997 47.3155
47.0186 48.8002
47.0376 50.3561
47.0565 51.9898
47.0754 53.7047
47.0943 55.5084
47.1132 57.4059
47.1321 59.4042
47.1511 61.5094
47.1700 63.7317
47.1889 66.0788
47.2078 68.5604
47.2267 71.1856
47.2456 73.9690
47.2646 76.9221
47.2835 80.0592
47.3024 83.3945
47.3213 86.9492
47.3402 90.7413
47.3592 94.7930
47.3781 99.1268
47.3987 104.214
47.4193 109.715
47.4400 115.676
47.4606 122.149
47.4813 129.202
47.5019 136.903
47.5225 145.343
47.5432 154.617
47.5621 163.958
47.5810 174.213
47.5999 185.508
47.6094 191.594
47.6188 197.992
47.6283 204.742
47.6377 211.862
47.6472 219.383
47.6567 227.328
47.6661 235.749
47.6756 244.678
47.6850 254.159
47.6945 264.230
47.7039 274.967
47.7134 286.421
47.7229 298.661
47.7323 311.761
47.7418 325.808
47.7512 340.898
47.7607 357.136
47.7702 374.624
47.7796 393.532
47.7891 413.992
47.7985 436.169
47.8080 460.249
47.8175 486.436
47.8269 514.957
47.8364 546.062
47.8458 579.986
47.8514 601.516
47.8570 624.212
47.8626 648.145
47.8682 673.385
47.8738 700.008
47.8794 728.092
47.8850 757.718
47.8905 788.970
47.8961 821.933
47.9017 856.696
47.9073 893.349
47.9129 931.986
47.9185 972.699
47.9241 1015.58
47.9297 1060.73
47.9353 1108.15
47.9447 1194.19
47.9542 1287.69
47.9636 1389.09
47.9731 1498.64
47.9825 1616.93
47.9920 1744.11
48.0015 1880.39
48.0109 2025.70
48.0204 2180.37
48.0298 2344.10
48.0393 2516.64
48.0488 2697.56
48.0582 2886.28
48.0677 3082.04
48.0866 3490.53
48.1382 4641.89
48.1571 5036.19
48.1666 5219.24
48.1760 5389.97
48.1919 5643.73
48.1998 5752.98
48.2077 5849.23
48.2156 5931.72
48.2235 5999.50
48.2315 6052.07
48.2394 6088.95
48.2467 6108.76
48.2540 6114.75
48.2619 6105.59
48.2699 6080.24
48.2778 6038.95
48.2857 5982.10
48.2936 5910.12
48.3015 5823.84
