Ne-22(n,tot) ENDFB-8.0
Energy(eV) XS(b)
22443.0 3.77143
22453.9 3.77130
22464.7 3.77117
22475.6 3.77104
22486.5 3.77091
22496.1 3.77079
22505.7 3.77068
22515.3 3.77057
22524.9 3.77046
22534.5 3.77035
22539.3 3.77030
22544.1 3.77026
22548.9 3.77021
22553.6 3.77017
22558.4 3.77014
22563.2 3.77011
22567.4 3.77009
22571.6 3.77009
22575.7 3.77010
22579.9 3.77014
22581.9 3.77018
22584.0 3.77023
22586.1 3.77031
22588.2 3.77043
22589.2 3.77051
22590.3 3.77062
22591.3 3.77077
22592.3 3.77097
22593.4 3.77125
22594.4 3.77164
22595.5 3.77219
22596.0 3.77255
22596.5 3.77296
22597.4 3.77387
22598.2 3.77506
22599.1 3.77663
22600.0 3.77868
22600.9 3.78132
22601.8 3.78467
22602.6 3.78889
22603.5 3.79405
22604.4 3.80041
22605.3 3.80807
22606.2 3.81713
22607.0 3.82767
22607.9 3.83973
22608.8 3.85328
22610.5 3.88415
22613.3 3.93813
22614.6 3.96449
22616.0 3.98782
22617.2 4.00431
22618.4 4.01571
22619.5 4.02100
22620.0 4.02162
22620.3 4.02151
22620.5 4.02109
22621.1 4.01884
22621.8 4.01497
22623.2 3.99971
22624.7 3.97754
22626.4 3.94654
22628.0 3.91310
22629.7 3.88061
22631.4 3.85162
22632.4 3.83659
22633.4 3.82361
22634.4 3.81253
22635.3 3.80327
22636.3 3.79562
22637.3 3.78954
22638.3 3.78474
22639.3 3.78102
22640.3 3.77815
22640.8 3.77700
22641.3 3.77602
22641.8 3.77515
22642.3 3.77442
22643.3 3.77324
22644.3 3.77238
22645.3 3.77174
22646.3 3.77127
22647.2 3.77092
22648.3 3.77063
22649.3 3.77042
22650.4 3.77025
22651.4 3.77012
22653.5 3.76991
22655.6 3.76975
22657.7 3.76962
22659.8 3.76951
22661.9 3.76941
22664.0 3.76932
22668.1 3.76918
22672.3 3.76906
22676.5 3.76895
22680.7 3.76885
22686.1 3.76874
22691.5 3.76864
22697.0 3.76854
22702.4 3.76845
