Ti-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
76704.6 4.09307
76716.0 3.97496
76727.4 3.87394
76738.8 3.78694
76750.3 3.71156
76761.7 3.64581
76773.1 3.58828
76795.9 3.49290
76813.5 3.43340
76831.2 3.38363
76866.5 3.30610
76901.7 3.24948
76937.0 3.20775
76970.2 3.17833
77003.4 3.15613
77069.8 3.12759
77136.2 3.11365
77227.5 3.11126
77318.8 3.12367
77410.1 3.14896
77501.4 3.18742
77592.7 3.24104
77684.0 3.31355
77729.7 3.35861
77775.3 3.41108
77821.0 3.47222
77866.6 3.54344
77912.3 3.62738
77957.9 3.72703
78003.6 3.84604
78049.2 3.98949
78072.0 4.07246
78094.9 4.16426
78117.7 4.26625
78140.5 4.37985
78163.3 4.50696
78186.2 4.64962
78209.0 4.81058
78231.8 4.99286
78248.4 5.14109
78265.0 5.30447
78281.6 5.48510
78298.2 5.68542
78314.8 5.90759
78331.4 6.15576
78348.0 6.43485
78364.6 6.74923
78376.0 6.98909
78387.4 7.25056
78398.8 7.53653
78410.3 7.85009
78421.7 8.19513
78433.1 8.57521
78444.5 8.99550
78455.9 9.46169
78467.3 9.98101
78478.7 10.5605
78490.1 11.2101
78501.6 11.9411
78507.3 12.3417
78513.0 12.7679
78518.7 13.2220
78524.4 13.7055
78530.1 14.2225
78535.8 14.7743
78541.5 15.3658
78547.2 15.9983
78554.0 16.8067
78560.7 17.6844
78567.4 18.6425
78574.2 19.6883
78580.9 20.8356
78587.7 22.0925
78594.4 23.4731
78601.2 24.9921
78606.9 26.3996
78612.6 27.9293
78618.3 29.5934
78624.0 31.4020
78629.7 33.3753
78635.4 35.5217
78641.1 37.8644
78646.8 40.4114
78650.6 42.2084
78654.3 44.1016
78658.0 46.1052
78661.8 48.2118
78665.5 50.4353
78669.3 52.7655
78673.0 55.2085
78676.8 57.7635
78684.2 63.2034
78691.7 69.0255
78706.7 81.3059
78712.1 85.7213
78717.5 89.9504
78722.9 93.8711
78728.4 97.3423
78733.8 100.228
78739.2 102.390
78741.9 103.168
78744.6 103.729
78747.3 104.068
78750.0 104.179
78753.4 103.996
78756.8 103.461
78760.2 102.580
78763.5 101.377
78766.9 99.8681
78770.3 98.0901
78773.7 96.0705
78777.1 93.8428
78783.8 88.8939
78790.6 83.5298
78804.1 72.4284
78811.7 66.4284
78819.2 60.7693
78826.7 55.5255
78830.5 53.0681
78834.3 50.7309
78838.0 48.5007
78841.8 46.3877
78845.6 44.3778
78849.3 42.4783
78853.1 40.6750
78856.9 38.9734
78860.6 37.3599
78864.4 35.8385
78868.2 34.3780
78872.0 32.9986
78875.8 31.6958
78879.7 30.4682
78883.5 29.3053
78887.3 28.2061
78891.1 27.1668
78894.9 26.1864
78902.6 24.3753
78910.2 22.7524
78917.8 21.2913
78925.5 19.9763
78933.1 18.7870
78940.7 17.7104
78948.4 16.7334
78956.0 15.8460
78963.7 15.0360
78971.3 14.2970
78978.9 13.6196
78986.6 12.9988
78997.0 12.2310
79007.4 11.5446
79017.8 10.9289
79028.2 10.3752
79038.6 9.87378
79049.0 9.41887
79059.4 9.00517
79069.9 8.62811
79085.1 8.13284
79100.4 7.69669
79115.7 7.31075
79130.9 6.96768
79146.2 6.66141
79161.5 6.38692
79176.7 6.14000
79192.0 5.91708
79207.3 5.71507
79222.6 5.53166
79237.8 5.36454
79253.1 5.21185
79268.4 5.07189
79283.7 4.94345
79314.2 4.71617
79340.6 4.54685
79367.0 4.39863
79393.3 4.26710
79419.7 4.15045
79446.1 4.04642
79472.5 3.95329
79498.8 3.86953
79525.2 3.79398
79555.8 3.71534
79586.3 3.64494
79647.4 3.52453
79708.5 3.42576
79769.5 3.34371
79847.3 3.25783
79925.0 3.18785
80002.8 3.13019
80080.5 3.08166
80202.7 3.01993
80324.9 2.97121
80447.0 2.93192
80569.2 2.89970
80691.4 2.87287
80813.5 2.85019
81057.9 2.81398
81280.0 2.78867
81391.1 2.77805
81502.1 2.76838
81546.6 2.76477
81572.9 2.76269
81599.3 2.76065
81612.5 2.75965
81619.1 2.75916
81625.7 2.75869
81632.3 2.75824
81635.6 2.75804
81638.9 2.75788
81640.5 2.75785
81642.2 2.75788
81643.8 2.75802
81644.7 2.75816
81645.5 2.75836
81646.3 2.75864
81647.1 2.75903
81648.0 2.75957
81648.8 2.76028
81649.6 2.76123
81650.4 2.76245
81651.2 2.76404
81652.1 2.76607
81652.6 2.76772
81653.2 2.76962
81654.2 2.77435
81655.3 2.78069
81656.4 2.78888
81657.5 2.79949
81658.6 2.81279
81659.7 2.82949
81660.7 2.84974
81661.8 2.87436
81662.9 2.90324
81664.0 2.93716
81665.1 2.97557
81667.3 3.06651
81669.4 3.17217
81672.5 3.33277
81674.1 3.40703
81675.7 3.47049
81677.0 3.51193
81678.3 3.53991
81679.3 3.55176
81679.8 3.55390
81680.0 3.55420
81680.4 3.55357
81681.1 3.54864
