Pd-110(n,tot) ENDFB-8.0
Energy(eV) XS(b)
17.4394 7.33740
17.4570 7.23651
17.4745 7.14122
17.4921 7.05110
17.5096 6.96578
17.5448 6.80816
17.5799 6.66606
17.6150 6.53743
17.6501 6.42060
17.6869 6.30950
17.7236 6.20836
17.7603 6.11599
17.7970 6.03142
17.8337 5.95373
17.8704 5.88222
17.9072 5.81623
17.9439 5.75521
17.9706 5.71365
18.0064 5.66122
18.0423 5.61237
18.0782 5.56673
18.1140 5.52404
18.1499 5.48403
18.1858 5.44649
18.2216 5.41121
18.2575 5.37802
18.2934 5.34674
18.3292 5.31725
18.3651 5.28937
18.4010 5.26302
18.4368 5.23807
18.4727 5.21443
18.5444 5.17067
18.5951 5.14233
18.6458 5.11588
18.7149 5.08255
18.7841 5.05207
18.8532 5.02410
18.9223 4.99836
18.9915 4.97461
19.0606 4.95264
19.1298 4.93228
19.1989 4.91337
19.2790 4.89309
19.3591 4.87439
19.4392 4.85708
19.5194 4.84100
19.5995 4.82603
19.6796 4.81208
19.7597 4.79905
19.8398 4.78686
19.9199 4.77543
20.0000 4.76469
20.1172 4.75012
20.2344 4.73676
20.3516 4.72448
20.4688 4.71314
20.5859 4.70264
20.7031 4.69292
20.8203 4.68389
20.9375 4.67543
21.0840 4.66562
21.2305 4.65659
21.3770 4.64824
21.5234 4.64049
21.6699 4.63329
21.8164 4.62657
21.9629 4.62030
22.1094 4.61442
22.3145 4.60679
22.5195 4.59979
22.7246 4.59335
22.9297 4.58737
23.1348 4.58181
23.3399 4.57664
23.5449 4.57182
23.7500 4.56729
23.7793 4.56667
23.8560 4.56506
23.9328 4.56350
24.0862 4.56049
24.3932 4.55484
24.7001 4.54966
25.0071 4.54488
25.3140 4.54046
25.6210 4.53636
25.9279 4.53254
26.2349 4.52898
26.5511 4.52553
26.8674 4.52230
27.1837 4.51928
27.5000 4.51643
27.9688 4.51250
28.4375 4.50887
28.9063 4.50551
29.3750 4.50239
29.8438 4.49949
30.3125 4.49678
30.7813 4.49422
31.2500 4.49183
31.7188 4.48957
32.1875 4.48745
32.6563 4.48544
33.1250 4.48353
33.5938 4.48172
34.0625 4.48000
34.5313 4.47835
35.0000 4.47678
35.3893 4.47553
35.7785 4.47433
36.5570 4.47205
37.3355 4.46992
38.1140 4.46793
38.8925 4.46606
39.6710 4.46430
40.4495 4.46265
41.2280 4.46112
41.8640 4.45986
42.5000 4.45869
43.4375 4.45706
44.3750 4.45553
45.3125 4.45408
46.2500 4.45270
47.1875 4.45140
48.1250 4.45017
49.0625 4.44900
50.0000 4.44788
50.7813 4.44699
51.5625 4.44613
53.1250 4.44451
54.6875 4.44300
56.2500 4.44159
56.2772 4.44156
56.3626 4.44149
56.4479 4.44141
56.7721 4.44114
57.0963 4.44086
57.7446 4.44032
59.0412 4.43929
60.3378 4.43830
61.6344 4.43736
62.9310 4.43647
64.2277 4.43562
65.5243 4.43480
66.8209 4.43402
68.8398 4.43287
70.8587 4.43179
72.8777 4.43077
74.8966 4.42980
75.0000 4.42975
75.3514 4.42959
75.7029 4.42943
76.4058 4.42912
77.8116 4.42851
80.6233 4.42735
83.4350 4.42627
86.2466 4.42526
89.6850 4.42411
93.1233 4.42304
96.5616 4.42204
98.2808 4.42157
98.7105 4.42145
98.8180 4.42142
98.9254 4.42141
98.9792 4.42145
99.0060 4.42149
99.0329 4.42159
99.0463 4.42165
99.0598 4.42175
99.0732 4.42187
99.0866 4.42202
99.1000 4.42223
99.1135 4.42249
99.1269 4.42284
99.1403 4.42327
99.1538 4.42383
99.1672 4.42454
99.1806 4.42544
99.1941 4.42658
99.2075 4.42800
99.2209 4.42979
99.2344 4.43201
99.2478 4.43476
99.2612 4.43817
99.2747 4.44237
99.2881 4.44752
99.3015 4.45381
99.3149 4.46147
99.3284 4.47076
99.3418 4.48198
99.3552 4.49549
99.3687 4.51170
99.3821 4.53105
99.3955 4.55408
99.4090 4.58137
99.4224 4.61360
99.4358 4.65151
99.4493 4.69594
99.4627 4.74782
99.4761 4.80815
99.4828 4.84186
99.4895 4.87805
99.4963 4.91700
99.5030 4.95874
99.5097 5.00357
99.5164 5.05152
99.5231 5.10292
99.5298 5.15781
99.5366 5.21652
99.5433 5.27910
99.5500 5.34592
99.5567 5.41699
99.5634 5.49275
99.5701 5.57317
99.5768 5.65873
99.5836 5.74952
99.5903 5.84579
99.5970 5.94761
99.6037 6.05551
99.6104 6.16942
99.6171 6.28991
99.6239 6.41686
99.6306 6.55089
99.6373 6.69184
99.6440 6.84037
99.6507 6.99627
99.6574 7.16025
99.6641 7.33205
99.6709 7.51240
99.6776 7.70099
99.6843 7.89859
99.6910 8.10483
99.6977 8.32053
99.7044 8.54522
99.7112 8.77977
99.7179 9.02365
99.7246 9.27774
99.7313 9.54143
99.7447 10.0997
99.7582 10.6993
99.7716 11.3410
99.7850 12.0250
99.7985 12.7520
99.8119 13.5206
99.8253 14.3306
99.8387 15.1813
99.8522 16.0711
99.8656 16.9984
99.8790 17.9611
99.8925 18.9569
99.9193 21.0362
99.9462 23.2107
99.9999 4.42110
100.000 50.9860
200.000 37.3661
500.000 25.3234
700.000 22.1324
1000.00 19.3017
2000.00 15.1043
5000.00 11.5092
7000.00 10.6039
10000.0 9.83686
20000.0 8.81826
50000.0 8.20587
70000.0 8.12734
100000 8.08929
114450 8.04596
190741 7.99512
200000 7.99965
247269 7.58284
247351 7.58246
268810 7.58828
278849 7.60709
289911 7.71515
294133 7.76679
300000 7.86733
328298 7.65518
329897 7.64630
342675 7.61794
373427 7.61858
385538 7.62457
400000 7.66116
407742 7.62538
430087 7.53020
437578 7.51289
496143 7.43934
500000 7.43868
545684 7.26641
602630 7.09665
610112 7.08122
629257 7.05496
630789 7.05312
651882 7.02784
679729 7.02044
700000 7.02398
718595 6.96241
724650 6.94573
728731 6.93479
735752 6.91804
748872 6.89358
798756 6.80616
818103 6.78258
850000 6.75341
853937 6.74143
1.00000E+06 6.51216
1.30000E+06 6.09135
1.50000E+06 5.84335
1.80000E+06 5.50880
1.82636E+06 5.48234
2.00000E+06 5.30810
2.03457E+06 5.27667
2.05443E+06 5.25861
2.08652E+06 5.22944
2.18847E+06 5.13675
2.20392E+06 5.12271
2.23998E+06 5.08992
2.25000E+06 5.08081
2.25717E+06 5.07503
2.30918E+06 5.03307
2.36197E+06 4.99050
2.39983E+06 4.95995
2.45536E+06 4.91516
2.47434E+06 4.89986
2.50000E+06 4.87916
2.50452E+06 4.87597
2.57413E+06 4.82695
2.57877E+06 4.82368
2.60127E+06 4.80783
2.69038E+06 4.74508
2.69543E+06 4.74152
2.72491E+06 4.72076
2.75000E+06 4.70309
2.76181E+06 4.69598
2.80878E+06 4.66772
2.81626E+06 4.66322
2.84740E+06 4.64447
2.86238E+06 4.63546
2.88741E+06 4.62040
2.88945E+06 4.61917
2.89638E+06 4.61500
2.90940E+06 4.60717
2.90980E+06 4.60692
3.00000E+06 4.55264
3.20000E+06 4.45057
3.40000E+06 4.36426
3.60000E+06 4.29292
3.80000E+06 4.23551
4.00000E+06 4.19070
4.13697E+06 4.16766
4.20000E+06 4.15705
4.40000E+06 4.13309
4.60000E+06 4.11731
4.80000E+06 4.10835
5.00000E+06 4.10497
5.50000E+06 4.11430
6.00000E+06 4.13977
6.20999E+06 4.11792
7.00000E+06 4.21277
8.00000E+06 4.29393
9.00000E+06 4.36755
1.00000E+07 4.42048
1.10000E+07 4.44515
1.20000E+07 4.44097
1.30000E+07 4.41112
1.40000E+07 4.35934
1.50000E+07 4.28944
1.60000E+07 4.20584
1.70000E+07 4.11290
1.80000E+07 4.01486
1.90000E+07 3.91557
2.00000E+07 3.81832
