Mg-24(n,g) ENDFB-8.0
Energy(eV) XS(b)
169508 0.000179741
172804 0.000180557
174451 0.000183458
175275 0.000189734
175687 0.000200171
175893 0.000210863
176099 0.000235176
176207 0.000262360
176261 0.000284065
176315 0.000314955
176368 0.000361973
176395 0.000396170
176422 0.000440589
176449 0.000499625
176476 0.000582834
176503 0.000704548
176516 0.000787733
176530 0.000891485
176543 0.00101878
176556 0.00118457
176569 0.00140742
176581 0.00171534
176588 0.00192068
176594 0.00216893
176601 0.00248561
176607 0.00289167
176614 0.00346331
176617 0.00384274
176620 0.00432552
176623 0.00496086
176626 0.00582462
176630 0.00703187
176633 0.00875354
176635 0.0106127
176638 0.0130940
176640 0.0164008
176643 0.0207871
176645 0.0265622
176648 0.0340929
176650 0.0438000
176653 0.0561503
176655 0.0716395
176658 0.0907675
176660 0.114004
176663 0.141744
176665 0.174264
176668 0.211660
176673 0.298365
176677 0.381866
176681 0.470289
176685 0.556786
176689 0.631600
176693 0.683305
176696 0.717604
176699 0.731146
176700 0.731713
176703 0.725702
176705 0.708877
176708 0.683253
176710 0.647852
176712 0.606912
176717 0.511013
176723 0.383931
176729 0.268205
176733 0.203777
176737 0.149103
176739 0.126739
176740 0.108036
176742 0.0916251
176744 0.0773537
176746 0.0644196
176748 0.0539918
176749 0.0451489
176751 0.0377053
176753 0.0311699
176755 0.0260560
176757 0.0218346
176759 0.0183674
176760 0.0153908
176762 0.0131059
176764 0.0112479
176766 0.00973856
176768 0.00845099
176770 0.00746366
176771 0.00665692
176773 0.00599439
176777 0.00496715
176780 0.00426346
176784 0.00373184
176788 0.00333497
176795 0.00275497
176800 0.00246100
176805 0.00222431
176814 0.00185259
176824 0.00157802
176834 0.00136806
176843 0.00120317
176853 0.00107083
176873 0.000873470
176892 0.000735741
176911 0.000636228
176931 0.000561986
176950 0.000504374
176989 0.000421672
177028 0.000367239
177067 0.000329730
177105 0.000303262
177183 0.000266722
177261 0.000246092
177338 0.000230191
177416 0.000220323
177571 0.000208788
177727 0.000200272
177882 0.000195874
178192 0.000190433
178938 0.000186134
179683 0.000184853
182291 0.000185883
184900 0.000188763
187508 0.000192694
190117 0.000197417
192725 0.000202955
195334 0.000209426
197942 0.000216743
200550 0.000224949
202982 0.000233597
205413 0.000243131
207844 0.000253594
210275 0.000265170
212706 0.000277718
215138 0.000291322
217569 0.000306011
218784 0.000313907
219392 0.000317855
219696 0.000319829
219848 0.000320816
219924 0.000321309
219962 0.000321556
219981 0.000321680
220000 0.000321805
220000 0.000321806
220001 0.000321810
220001 0.000321814
220003 0.000321822
220005 0.000321838
220010 0.000321870
220019 0.000321935
220039 0.000322064
220097 0.000322460
220155 0.000322856
220177 0.000323005
220186 0.000323067
220212 0.000323240
220237 0.000323414
220288 0.000323762
220407 0.000324577
220511 0.000325290
220660 0.000326317
220868 0.000327757
221165 0.000329827
221462 0.000331914
221848 0.000334652
222234 0.000337419
222888 0.000342170
223839 0.000349222
225146 0.000359183
226572 0.000370394
228927 0.000389635
231936 0.000415338
233342 0.000427680
234748 0.000440162
236998 0.000460284
239248 0.000480337
243220 0.000514621
247302 0.000547122
248651 0.000557325
249326 0.000562445
249663 0.000565041
249831 0.000566359
249916 0.000567020
249958 0.000567350
249979 0.000567516
250000 0.000567681
250000 0.000567682
250001 0.000567690
250002 0.000567697
250004 0.000567712
250008 0.000567741
250015 0.000567801
250030 0.000567918
250060 0.000568155
250119 0.000568629
250239 0.000569589
250477 0.000571529
250954 0.000575575
252274 0.000588917
253594 0.000610696
254297 0.000632773
254999 0.000676271
255435 0.000731802
255652 0.000778396
255870 0.000849160
256092 0.000968257
256202 0.00105971
256313 0.00118749
256379 0.00128846
256444 0.00141647
256510 0.00158333
256575 0.00180566
256618 0.00199439
256661 0.00223034
256704 0.00253019
256747 0.00292024
256775 0.00323496
256802 0.00361795
256830 0.00409054
256857 0.00468309
256880 0.00529643
256903 0.00605505
256925 0.00701837
256948 0.00825647
256963 0.00926836
256978 0.0104870
256992 0.0119952
257007 0.0138671
257018 0.0155916
257029 0.0176820
257040 0.0202515
257051 0.0234299
257065 0.0288685
257072 0.0323468
257079 0.0365360
257090 0.0451049
257096 0.0506445
257101 0.0573321
257109 0.0698119
257117 0.0868761
257122 0.100141
257127 0.115970
257131 0.135663
257136 0.159054
257139 0.178254
257143 0.199972
257146 0.224368
257149 0.250680
257155 0.301023
257160 0.358297
257167 0.440280
257173 0.515698
257179 0.584274
257184 0.630705
257188 0.669078
257192 0.694987
257196 0.710534
257200 0.715628
257201 0.715353
257201 0.715218
257202 0.714408
257202 0.714139
257203 0.713348
257203 0.712596
257204 0.710516
257204 0.709982
257205 0.708531
257205 0.706917
257206 0.703209
257208 0.693914
257212 0.669031
257216 0.639052
257219 0.604633
257226 0.527650
257232 0.458461
257240 0.359397
257241 0.349405
257241 0.347207
257242 0.341745
257242 0.337414
257243 0.327792
257245 0.310111
257248 0.275873
257254 0.229123
257259 0.189810
257259 0.188492
257260 0.185240
257260 0.182046
257261 0.176445
257263 0.165797
257267 0.146111
257270 0.129133
257274 0.114548
257275 0.110279
257280 0.0949054
257285 0.0823611
257286 0.0796544
257289 0.0744196
257291 0.0696808
257296 0.0614769
257306 0.0490768
257315 0.0409756
257319 0.0379334
257330 0.0315867
257340 0.0267681
257345 0.0248688
257354 0.0220925
257362 0.0197747
257379 0.0161688
257394 0.0137520
257409 0.0118736
257426 0.0101970
257443 0.00887074
257463 0.00766331
257482 0.00670294
257502 0.00592623
257521 0.00528907
257560 0.00432593
257598 0.00363171
257635 0.00313873
257671 0.00275661
257708 0.00245397
257744 0.00221037
257789 0.00196931
257835 0.00177852
257925 0.00149879
258020 0.00130002
258114 0.00115948
258209 0.00105665
258303 0.000979136
258475 0.000880200
258647 0.000814000
258990 0.000734244
259506 0.000674315
260021 0.000644136
261052 0.000614562
261602 0.000605973
261678 0.000604974
261943 0.000601820
262208 0.000599060
262739 0.000594233
263801 0.000586423
263901 0.000585760
264163 0.000584078
264426 0.000582437
264951 0.000579250
266000 0.000573036
266249 0.000571565
266773 0.000568443
267296 0.000565293
268343 0.000558827
270437 0.000545029
272531 0.000530083
274625 0.000514182
277499 0.000491163
277617 0.000490198
277954 0.000487433
278291 0.000484660
278966 0.000479093
280314 0.000467912
280376 0.000467397
280579 0.000465710
280782 0.000464023
281188 0.000460648
282000 0.000453905
284250 0.000435345
286500 0.000417138
291000 0.000382444
295500 0.000350748
300000 0.000322475
304500 0.000297709
306750 0.000286608
309000 0.000276336
313500 0.000258155
318000 0.000242925
320750 0.000234984
323500 0.000227985
323659 0.000227609
324009 0.000226796
324358 0.000226001
325057 0.000224459
326455 0.000221511
329251 0.000216328
329394 0.000216088
329735 0.000215522
330077 0.000214973
330761 0.000213917
332128 0.000211925
332263 0.000211741
332637 0.000211242
333012 0.000210759
333760 0.000209839
335257 0.000208191
338251 0.000205603
338545 0.000205403
339523 0.000204805
340501 0.000204311
340754 0.000204201
341753 0.000203835
342751 0.000203579
346410 0.000203609
346504 0.000203630
346863 0.000203721
347223 0.000203827
347942 0.000204099
349379 0.000204788
349501 0.000204859
349782 0.000205033
350064 0.000205215
350626 0.000205615
351751 0.000206514
354001 0.000208834
358501 0.000215637
360752 0.000220234
360880 0.000220521
361229 0.000221320
361578 0.000222145
362276 0.000223869
363672 0.000227536
364129 0.000228828
365113 0.000231759
366098 0.000234929
368066 0.000241792
370034 0.000249650
372002 0.000258550
376235 0.000281823
376693 0.000284724
377756 0.000291809
378820 0.000299331
380946 0.000315968
383252 0.000336694
385502 0.000360035
387935 0.000389407
390368 0.000423813
392435 0.000457888
393469 0.000476756
394502 0.000497097
397094 0.000555200
399173 0.000610556
401253 0.000675126
402563 0.000721525
403874 0.000772866
404548 0.000801440
405222 0.000831617
405896 0.000863412
406570 0.000897010
407316 0.000936393
407689 0.000956987
408062 0.000978183
409554 0.00106977
410588 0.00113997
411621 0.00121619
412584 0.00129300
413546 0.00137560
413935 0.00141069
414323 0.00144678
414712 0.00148388
415100 0.00152201
415563 0.00156879
416532 0.00167146
417192 0.00174489
417851 0.00182109
419117 0.00197439
419893 0.00207210
420668 0.00217189
421831 0.00232335
422994 0.00247335
424092 0.00260901
424789 0.00268978
425403 0.00275616
425847 0.00280080
426193 0.00283335
426441 0.00285537
426689 0.00287624
427000 0.00290067
427355 0.00292607
427932 0.00296131
428286 0.00297901
428730 0.00299678
429452 0.00301473
429971 0.00301905
430000 0.00301908
430066 0.00301905
430131 0.00301890
430263 0.00301828
430525 0.00301564
430940 0.00300768
431375 0.00299448
431539 0.00298823
431631 0.00298443
432000 0.00296706
432323 0.00294916
432461 0.00294075
432645 0.00292888
432669 0.00292728
432732 0.00292298
432796 0.00291860
432922 0.00290960
432968 0.00290624
433095 0.00289674
433222 0.00288691
433475 0.00286629
433521 0.00286242
433701 0.00284687
433752 0.00284235
433933 0.00282594
434114 0.00280897
434476 0.00277343
434490 0.00277201
434536 0.00276732
434582 0.00276260
434675 0.00275308
434859 0.00273366
435227 0.00269359
435251 0.00269092
435320 0.00268320
435497 0.00266321
435673 0.00264288
436026 0.00260131
436057 0.00259760
436149 0.00258652
436242 0.00257539
436426 0.00255290
436795 0.00250725
436801 0.00250650
436826 0.00250344
436850 0.00250037
436899 0.00249423
437008 0.00248055
437117 0.00246682
437334 0.00243921
437769 0.00238348
438639 0.00227095
439902 0.00210817
439930 0.00210460
440005 0.00209505
440080 0.00208553
440230 0.00206654
440530 0.00202880
441129 0.00195447
442328 0.00181110
444541 0.00156944
444553 0.00156822
444601 0.00156329
444650 0.00155840
444746 0.00154865
444940 0.00152936
445327 0.00149145
446100 0.00141866
446128 0.00141612
446151 0.00141397
446223 0.00140744
446295 0.00140096
446438 0.00138810
446725 0.00136273
446754 0.00136019
446869 0.00135020
446984 0.00134031
447214 0.00132073
447243 0.00131832
447270 0.00131602
447366 0.00130798
447462 0.00130002
447654 0.00128423
447676 0.00128243
447748 0.00127658
447820 0.00127077
447964 0.00125926
448252 0.00123660
448828 0.00119270
449403 0.00115074
449691 0.00113051
449835 0.00112053
449907 0.00111553
449943 0.00111304
449961 0.00111180
449979 0.00111056
450000 0.00110913
450000 0.00110912
450001 0.00110906
450002 0.00110902
450003 0.00110891
450006 0.00110872
450012 0.00110831
450024 0.00110751
450047 0.00110591
450077 0.00110389
450107 0.00110189
450166 0.00109789
450285 0.00108995
450523 0.00107433
450999 0.00104407
451951 0.000986464
453855 0.000883138
455272 0.000815900
456689 0.000755859
459523 0.000653183
461594 0.000590898
463666 0.000537573
465737 0.000491181
467808 0.000451183
469165 0.000428125
470522 0.000407661
473235 0.000380209
