16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.375000e+01 1.05465540e+00
1.500000e+01 1.05369077e+00
1.625000e+01 1.05283760e+00
1.750000e+01 1.05207640e+00
1.875000e+01 1.05138948e+00
2.000000e+01 1.05076546e+00
2.187500e+01 1.04992831e+00
2.375000e+01 1.04918788e+00
2.562500e+01 1.04852751e+00
2.750000e+01 1.04793279e+00
2.937500e+01 1.04739301e+00
3.125000e+01 1.04689836e+00
3.312500e+01 1.04644426e+00
3.500000e+01 1.04602441e+00
3.875000e+01 1.04527011e+00
4.250000e+01 1.04460924e+00
4.625000e+01 1.04402359e+00
5.000000e+01 1.04349696e+00
5.312500e+01 1.04309586e+00
5.625000e+01 1.04272479e+00
5.937500e+01 1.04237804e+00
6.250000e+01 1.04205459e+00
6.875000e+01 1.04146299e+00
7.500000e+01 1.04093289e+00
8.125000e+01 1.04045333e+00
8.750000e+01 1.04001381e+00
9.375000e+01 1.03960948e+00
1.000000e+02 1.03923233e+00
1.062500e+02 1.03887958e+00
1.125000e+02 1.03854823e+00
1.187500e+02 1.03823448e+00
1.250000e+02 1.03793650e+00
1.375000e+02 1.03738110e+00
1.500000e+02 1.03686959e+00
1.625000e+02 1.03639439e+00
1.750000e+02 1.03594731e+00
1.875000e+02 1.03552506e+00
2.000000e+02 1.03512340e+00
2.187500e+02 1.03455262e+00
2.375000e+02 1.03401442e+00
2.562500e+02 1.03350061e+00
2.750000e+02 1.03300981e+00
2.937500e+02 1.03253675e+00
3.125000e+02 1.03207859e+00
3.312500e+02 1.03163431e+00
3.500000e+02 1.03120216e+00
3.687500e+02 1.03077913e+00
3.875000e+02 1.03036617e+00
4.062500e+02 1.02996458e+00
4.250000e+02 1.02956314e+00
4.625000e+02 1.02878717e+00
5.000000e+02 1.02803174e+00
5.312500e+02 1.02741753e+00
5.625000e+02 1.02681362e+00
5.937500e+02 1.02622051e+00
6.250000e+02 1.02563623e+00
6.562500e+02 1.02506222e+00
6.875000e+02 1.02448993e+00
7.187500e+02 1.02393032e+00
7.500000e+02 1.02337101e+00
8.125000e+02 1.02227465e+00
8.750000e+02 1.02119833e+00
9.375000e+02 1.02013924e+00
1.000000e+03 1.01909540e+00
1.062500e+03 1.01806635e+00
1.125000e+03 1.01704869e+00
1.187500e+03 1.01604342e+00
1.250000e+03 1.01504946e+00
1.312500e+03 1.01406603e+00
1.375000e+03 1.01309022e+00
1.437500e+03 1.01212842e+00
1.500000e+03 1.01116759e+00
1.625000e+03 1.00927614e+00
1.750000e+03 1.00741419e+00
1.875000e+03 1.00557926e+00
2.000000e+03 1.00376938e+00
2.093750e+03 1.00242990e+00
2.187500e+03 1.00109802e+00
2.375000e+03 9.98473756e-01
2.562500e+03 9.95892871e-01
2.750000e+03 9.93352512e-01
2.937500e+03 9.90849179e-01
3.125000e+03 9.88381048e-01
3.312500e+03 9.85944617e-01
3.500000e+03 9.83538663e-01
3.687500e+03 9.81165099e-01
3.875000e+03 9.78811584e-01
4.062500e+03 9.76491609e-01
4.250000e+03 9.74184933e-01
4.625000e+03 9.69647787e-01
5.000000e+03 9.65191568e-01
5.312500e+03 9.61540285e-01
5.625000e+03 9.57919353e-01
5.937500e+03 9.54357999e-01
6.250000e+03 9.50815645e-01
6.875000e+03 9.43850169e-01
7.500000e+03 9.37001798e-01
8.125000e+03 9.30250133e-01
8.750000e+03 9.23576147e-01
9.375000e+03 9.16980140e-01
1.000000e+04 9.10401684e-01
1.062500e+04 9.03879077e-01
1.064530e+04 9.03667377e-01
1.096800e+04 9.00294779e-01
1.125000e+04 8.97339451e-01
1.129060e+04 8.96916615e-01
1.161330e+04 8.93540764e-01
1.177460e+04 8.91844677e-01
1.193600e+04 8.90139334e-01
1.204350e+04 8.88997344e-01
1.215110e+04 8.87848123e-01
1.225860e+04 8.86692031e-01
1.236620e+04 8.85524733e-01
1.244010e+04 8.84715337e-01
1.250000e+04 8.84053036e-01
1.251410e+04 8.83897512e-01
