Ne-22(n,g) ENDFB-8.0
Energy(eV) XS(b)
990079 6.16992E-07
993135 6.60486E-07
996190 7.10181E-07
998968 7.62669E-07
1.00036E+06 7.91123E-07
1.00175E+06 8.21978E-07
1.00313E+06 8.54075E-07
1.00452E+06 8.88752E-07
1.00730E+06 9.63623E-07
1.00889E+06 1.01098E-06
1.01049E+06 1.06140E-06
1.01208E+06 1.11484E-06
1.01288E+06 1.14245E-06
1.01368E+06 1.17095E-06
1.01527E+06 1.23030E-06
1.01686E+06 1.29208E-06
1.01766E+06 1.32377E-06
1.01846E+06 1.35606E-06
1.01925E+06 1.38879E-06
1.02005E+06 1.42183E-06
1.02087E+06 1.45625E-06
1.02170E+06 1.49082E-06
1.02252E+06 1.52540E-06
1.02334E+06 1.55970E-06
1.02416E+06 1.59384E-06
1.02499E+06 1.62730E-06
1.02581E+06 1.66043E-06
1.02663E+06 1.69203E-06
1.02746E+06 1.72321E-06
1.02828E+06 1.75226E-06
1.02992E+06 1.80608E-06
1.03157E+06 1.85164E-06
1.03321E+06 1.88703E-06
1.03541E+06 1.91395E-06
1.03760E+06 1.91974E-06
1.03979E+06 1.89923E-06
1.04089E+06 1.88130E-06
1.04199E+06 1.85842E-06
1.04309E+06 1.82931E-06
1.04418E+06 1.79638E-06
1.04638E+06 1.72076E-06
1.04857E+06 1.63359E-06
1.05076E+06 1.54093E-06
1.05296E+06 1.44590E-06
1.05515E+06 1.35121E-06
1.05808E+06 1.22994E-06
1.06243E+06 1.06571E-06
1.06678E+06 9.23884E-07
1.07548E+06 7.03826E-07
