Os-187(n,g) ENDFB-8.0
Energy(eV) XS(b)
39.5093 3.87735
39.5499 3.93455
39.5905 3.99314
39.6311 4.05315
39.6717 4.11464
39.7122 4.17762
39.7528 4.24219
39.7934 4.30835
39.8192 4.35133
39.8451 4.39498
39.8709 4.43935
39.8967 4.48442
39.9225 4.53025
39.9484 4.57680
39.9742 4.62414
40.0000 4.67225
40.0312 4.73152
40.0625 4.79200
40.0781 4.82271
40.0937 4.85372
40.1093 4.88506
40.1250 4.91669
40.1375 4.94226
40.1499 4.96803
40.1566 4.98193
40.1571 4.98285
40.1587 4.98612
40.1602 4.98937
40.1633 4.99588
40.1745 5.01929
40.1856 5.04284
40.1981 5.06947
40.2106 5.09629
40.2231 5.12336
40.2356 5.15063
40.2606 5.20590
40.2856 5.26209
40.3052 5.30695
40.3249 5.35239
40.3445 5.39846
40.3641 5.44515
40.3838 5.49250
40.4034 5.54047
40.4230 5.58914
40.4427 5.63845
40.4623 5.68848
40.4819 5.73919
40.5016 5.79064
40.5212 5.84279
40.5409 5.89571
40.5605 5.94936
40.5801 6.00378
40.5997 6.05898
40.6212 6.12014
40.6426 6.18227
40.6640 6.24540
40.6854 6.30954
40.7068 6.37473
40.7283 6.44097
40.7497 6.50830
40.7711 6.57670
40.7907 6.64045
40.8104 6.70512
40.8300 6.77083
40.8496 6.83750
40.8693 6.90525
40.8889 6.97400
40.9085 7.04387
40.9282 7.11480
40.9478 7.18689
40.9674 7.26008
40.9871 7.33448
41.0067 7.41003
41.0264 7.48684
41.0460 7.56486
41.0852 7.72474
41.1245 7.88997
41.1638 8.06077
41.2031 8.23737
41.2423 8.42001
41.2816 8.60905
41.3209 8.80475
41.3601 9.00743
41.3994 9.21736
41.4387 9.43502
41.4779 9.66073
41.5172 9.89489
41.5565 10.1379
41.5957 10.3903
41.6350 10.6525
41.6743 10.9251
41.7135 11.2085
41.7396 11.4032
41.7657 11.6032
41.7918 11.8085
41.8179 12.0196
41.8440 12.2365
41.8701 12.4594
41.8962 12.6887
41.9223 12.9245
41.9484 13.1672
41.9744 13.4168
42.0005 13.6738
42.0266 13.9384
42.0527 14.2109
42.0788 14.4917
42.1049 14.7811
42.1310 15.0794
42.1608 15.4313
42.1905 15.7959
42.2203 16.1740
42.2501 16.5660
42.2799 16.9728
42.3097 17.3950
42.3394 17.8336
42.3692 18.2892
42.3990 18.7630
42.4288 19.2557
42.4586 19.7684
42.4883 20.3023
42.5181 20.8586
42.5479 21.4384
42.5777 22.0432
42.6075 22.6744
42.6372 23.3337
42.6670 24.0226
42.6968 24.7430
42.7266 25.4968
42.7564 26.2862
42.7861 27.1135
42.8159 27.9810
42.8457 28.8915
42.8755 29.8479
42.9053 30.8532
42.9350 31.9108
42.9648 33.0245
42.9946 34.1983
43.0244 35.4365
43.0542 36.7442
43.0839 38.1267
43.1137 39.5900
43.1435 41.1405
43.1733 42.7856
43.2031 44.5329
43.2328 46.3914
43.2626 48.3707
43.2924 50.4814
43.3222 52.7356
43.3520 55.1465
43.3817 57.7292
43.4115 60.5006
43.4413 63.4794
43.4711 66.6873
43.5009 70.1486
43.5306 73.8909
43.5604 77.9444
43.5902 82.3496
43.6200 87.1439
43.6498 92.3770
43.6795 98.1048
43.6944 101.174
43.7093 104.393
43.7242 107.770
43.7391 111.317
43.7540 115.046
43.7689 118.968
43.7838 123.099
43.7987 127.454
43.8136 132.048
43.8284 136.901
43.8433 142.033
43.8582 147.465
43.8731 153.222
43.8880 159.332
43.9029 165.824
43.9178 172.731
43.9327 180.092
43.9476 187.947
43.9625 196.343
43.9773 205.334
43.9922 214.978
44.0071 225.342
44.0220 236.503
44.0369 248.549
44.0518 261.579
44.0667 275.709
44.0816 291.072
44.0965 307.824
44.1114 326.146
44.1262 346.250
44.1411 368.389
44.1560 392.859
44.1635 406.087
44.1709 420.017
44.1784 434.742
44.1858 450.284
44.1933 466.750
44.2007 484.169
44.2081 502.665
44.2156 522.277
44.2230 543.151
44.2305 565.335
44.2379 589.001
44.2454 614.210
44.2528 641.164
44.2603 669.936
44.2677 700.720
44.2751 733.686
44.2826 769.070
44.2900 807.029
44.2975 847.777
44.3049 891.484
44.3124 938.512
44.3198 988.995
44.3273 1043.34
44.3347 1101.69
44.3422 1164.51
44.3496 1231.93
44.3570 1304.45
44.3645 1382.22
44.3719 1465.76
44.3794 1555.19
44.3868 1651.07
44.3943 1753.47
44.4017 1862.95
44.4092 1979.51
44.4166 2103.72
44.4240 2235.47
44.4315 2375.29
44.4389 2522.95
44.4464 2678.90
44.4538 2842.76
44.4613 3014.89
44.4687 3194.70
44.4762 3382.43
44.4836 3577.27
44.4985 3987.49
44.5134 4420.41
44.5729 6231.33
44.5865 6615.51
44.6000 6970.88
44.6081 7166.80
44.6163 7346.99
44.6244 7510.12
44.6325 7654.16
