Mg-24(n,tot) ENDFB-8.0
Energy(eV) XS(b)
450047 11.2790
450077 11.2358
450107 11.2224
450166 11.2029
450285 11.1646
450523 11.0887
450999 10.9372
451951 10.6324
453855 10.0843
455272 9.70761
456689 9.36514
459523 8.75347
461594 8.37220
463666 8.02929
465737 7.71671
467808 7.44726
469165 7.27267
470522 7.12259
473235 6.83093
473837 6.77382
474137 6.74527
474438 6.71670
474631 6.69845
474727 6.68934
474823 6.68025
474871 6.67574
474919 6.67123
474967 6.66673
475015 6.66225
475045 6.65953
475074 6.65685
475104 6.65446
475133 6.65315
475160 6.65393
475187 6.65700
475202 6.65952
475217 6.66263
475231 6.66671
475246 6.67259
475253 6.67670
475261 6.68199
475268 6.68919
475275 6.69901
475282 6.71322
475290 6.73376
475293 6.74794
475297 6.76487
475300 6.78561
475304 6.81102
475310 6.86114
475315 6.92867
475321 7.01843
475326 7.13569
475329 7.22143
475333 7.31683
475339 7.55094
475345 7.81758
475351 8.13188
475356 8.44431
475362 8.78086
475367 9.12945
475367 9.14264
475368 9.17560
475368 9.20193
475369 9.26103
475369 9.27413
475370 9.30680
475370 9.33287
475371 9.39122
475371 9.40413
475372 9.43628
475372 9.46188
475373 9.51905
475373 9.53166
475374 9.56304
475374 9.58798
475375 9.64351
475375 9.65573
475376 9.68609
475376 9.71016
475377 9.76359
475377 9.77532
475378 9.80440
475378 9.82740
475379 9.87828
475379 9.88941
475380 9.91696
475380 9.93869
475381 9.98657
475381 9.99701
475382 10.0228
475382 10.0431
475383 10.0875
475383 10.0971
475384 10.1209
475384 10.1395
475385 10.1801
475385 10.1889
475386 10.2230
475386 10.2313
475387 10.2636
475387 10.2714
475388 10.2905
475388 10.3053
475389 10.3370
475389 10.3438
475390 10.3602
475390 10.3729
475391 10.3998
475391 10.4055
475392 10.4270
475392 10.4321
475393 10.4443
475393 10.4535
475394 10.4726
475394 10.4765
475395 10.4857
475395 10.4925
475396 10.5061
475396 10.5088
475397 10.5172
475398 10.5240
475399 10.5331
475399 10.5339
475400 10.5354
475400 10.5360
475401 10.5354
475401 10.5349
475402 10.5322
475403 10.5280
475404 10.5150
475404 10.5126
475405 10.5061
475405 10.5004
475406 10.4857
475406 10.4821
475407 10.4726
475407 10.4645
475408 10.4444
475408 10.4396
475409 10.4193
475409 10.4139
475410 10.3913
475410 10.3853
475411 10.3605
475411 10.3540
475412 10.3373
