Co-59(n,g) ENDFB-8.0
Energy(eV) XS(b)
1375.81 0.0329437
1376.61 0.0345312
1377.41 0.0366401
1378.21 0.0395203
1378.61 0.0413743
1379.01 0.0436093
1379.41 0.0463451
1379.81 0.0497585
1380.21 0.0541229
1380.61 0.0598960
1380.81 0.0635504
1381.01 0.0679263
1381.21 0.0732699
1381.41 0.0799420
1381.55 0.0854995
1381.68 0.0920856
1381.82 0.100088
1381.95 0.109757
1382.09 0.121701
1382.22 0.136321
1382.36 0.154398
1382.49 0.176774
1382.63 0.204675
1382.76 0.238848
1382.83 0.258909
1382.90 0.280770
1382.97 0.305264
1383.03 0.331853
1383.10 0.361523
1383.17 0.394086
1383.24 0.429736
1383.30 0.468060
1383.37 0.510380
1383.44 0.555612
1383.51 0.605257
1383.57 0.657981
1383.63 0.707623
1383.69 0.760332
1383.75 0.816142
1383.81 0.875066
1383.87 0.937097
1383.93 1.00220
1383.99 1.07032
1384.05 1.14012
1384.10 1.21392
1384.16 1.29036
1384.28 1.44906
1384.40 1.61707
1384.52 1.78922
1384.77 2.17530
1384.90 2.36253
1385.03 2.53719
1385.16 2.69673
1385.23 2.76870
1385.29 2.83369
1385.40 2.93183
1385.52 3.00741
1385.61 3.05386
1385.71 3.08179
1385.80 3.09065
1385.82 3.09035
1385.87 3.08584
1385.92 3.07591
1386.02 3.04052
1386.12 2.98558
1386.22 2.91200
1386.33 2.80838
1386.39 2.74975
1386.46 2.66450
1386.54 2.57242
1386.64 2.43661
1386.74 2.29237
1386.95 1.98912
1387.18 1.65483
1387.29 1.49256
1387.40 1.33845
1387.51 1.19148
1387.57 1.12224
1387.63 1.05556
1387.68 0.990397
1387.74 0.929126
1387.79 0.870622
1387.85 0.814913
1387.92 0.752850
1387.98 0.694653
1388.05 0.640269
1388.11 0.590355
1388.18 0.543271
1388.24 0.500322
1388.31 0.460048
1388.38 0.423517
1388.44 0.389445
1388.51 0.358697
1388.57 0.330157
1388.64 0.304518
1388.70 0.280820
1388.77 0.259613
1388.90 0.222656
1389.03 0.192201
1389.16 0.167580
1389.29 0.147549
1389.42 0.131255
1389.56 0.117975
1389.69 0.107111
1389.82 0.0981723
1389.95 0.0907628
1390.11 0.0833341
1390.27 0.0773115
1390.59 0.0681230
1390.90 0.0614326
1391.22 0.0563546
1391.54 0.0523338
1391.86 0.0490861
1392.50 0.0441428
1393.13 0.0405846
1393.77 0.0379234
1394.41 0.0358773
1395.04 0.0342695
1395.72 0.0329134
1396.39 0.0318209
1397.74 0.0301726
1399.09 0.0290074
1400.44 0.0281630
1402.01 0.0274341
1403.59 0.0268758
1405.16 0.0264453
1406.74 0.0261067
1409.88 0.0256154
1413.03 0.0252854
1416.18 0.0250266
1419.33 0.0248320
1425.62 0.0245589
1438.21 0.0242162
1450.80 0.0239958
1475.99 0.0236721
1501.17 0.0233986
1563.52 0.0228765
1625.88 0.0224230
1688.23 0.0220406
1750.58 0.0217234
1812.94 0.0214559
1875.29 0.0212359
1937.65 0.0210620
2000.00 0.0209339
2069.24 0.0208559
2162.28 0.0208874
2185.54 0.0209412
2208.79 0.0210660
2220.42 0.0211989
2226.24 0.0212808
2232.05 0.0214109
2237.87 0.0215955
2243.68 0.0218926
2249.50 0.0223955
2252.41 0.0227946
2255.31 0.0233381
2257.14 0.0238114
2258.96 0.0244498
2260.79 0.0253230
2262.62 0.0265489
2264.44 0.0283433
2265.35 0.0295905
2266.27 0.0311911
2267.18 0.0332922
2268.09 0.0361292
2269.01 0.0401213
2269.46 0.0427718
2269.92 0.0460625
2270.43 0.0508085
2270.93 0.0573250
2271.19 0.0616387
2271.44 0.0669870
2271.69 0.0738508
2271.95 0.0828296
2272.20 0.0949661
2272.45 0.111567
2272.58 0.122193
2272.71 0.134755
2272.83 0.149618
2272.96 0.167050
2273.09 0.187799
2273.21 0.212270
2273.34 0.241050
2273.47 0.274491
2273.59 0.313805
2273.72 0.359463
2273.85 0.412204
2273.97 0.472257
2274.07 0.524737
2274.17 0.581990
2274.27 0.644799
2274.36 0.713407
2274.46 0.788811
2274.56 0.869619
2274.66 0.956650
2274.75 1.04991
2274.85 1.15039
2274.95 1.25586
2275.04 1.36706
2275.14 1.48362
2275.24 1.60634
2275.34 1.73211
2275.53 1.99361
2275.89 2.48515
2276.06 2.72397
2276.24 2.94627
2276.33 3.05436
2276.43 3.15503
2276.52 3.24720
2276.61 3.32906
2276.72 3.41355
2276.83 3.48166
2276.92 3.52585
2277.01 3.55769
2277.11 3.57812
2277.20 3.58478
2277.30 3.57650
2277.41 3.55236
2277.50 3.51592
2277.60 3.46647
2277.72 3.38182
2277.85 3.27799
2277.94 3.18409
2278.04 3.08044
2278.14 2.96824
2278.24 2.85003
2278.38 2.66546
2278.52 2.47367
2278.81 2.07885
2279.02 1.78770
2279.16 1.60136
2279.31 1.42556
2279.44 1.26971
2279.57 1.12467
2279.71 0.991138
2279.84 0.870295
2279.98 0.760343
2280.11 0.662685
2280.24 0.575396
2280.38 0.499164
2280.51 0.432104
2280.64 0.374410
2280.78 0.324360
2280.91 0.281847
2281.04 0.245391
2281.18 0.214741
2281.31 0.188687
2281.44 0.166936
2281.64 0.141076
2281.84 0.121117
2282.03 0.105690
2282.23 0.0937049
2282.42 0.0843119
2282.62 0.0768630
2283.01 0.0659746
2283.40 0.0584768
2283.80 0.0529915
2284.19 0.0487778
2284.58 0.0454235
2285.36 0.0404075
2286.15 0.0368466
2286.93 0.0342036
2287.71 0.0321797
2288.50 0.0305887
2289.28 0.0293180
2290.85 0.0274462
2292.42 0.0261525
2293.99 0.0252044
2295.55 0.0244895
2297.12 0.0239418
2300.26 0.0231809
2302.96 0.0227483
2305.67 0.0224158
2311.09 0.0219880
2316.50 0.0217306
2321.92 0.0215658
2332.75 0.0213830
2343.58 0.0213044
2354.41 0.0212541
2365.24 0.0212469
2386.90 0.0212341
2441.63 0.0213625
2496.35 0.0215641
2532.83 0.0217344
2569.32 0.0219318
2605.80 0.0221599
2642.28 0.0224258
2678.76 0.0227450
2715.25 0.0231522
2733.49 0.0234150
2751.73 0.0237513
2769.97 0.0242166
2779.09 0.0245348
2788.21 0.0249525
2793.91 0.0252970
2799.61 0.0256978
2805.31 0.0262317
2811.01 0.0269405
2816.71 0.0279218
2819.56 0.0285599
2822.41 0.0293429
2825.26 0.0302822
2828.11 0.0314857
2830.96 0.0330497
2833.81 0.0351217
2835.60 0.0367792
2837.38 0.0388078
2839.16 0.0413345
2840.94 0.0445698
2842.72 0.0488106
2843.61 0.0514378
2844.50 0.0544989
2845.39 0.0581022
2846.28 0.0623738
2847.18 0.0675072
2848.07 0.0737490
2848.78 0.0797938
2849.49 0.0870294
2850.20 0.0958232
2850.92 0.106635
2851.63 0.120200
2851.98 0.128311
2852.34 0.137544
2852.70 0.148167
2853.05 0.160428
2853.41 0.174771
2853.77 0.191779
2854.14 0.213519
2854.33 0.226267
2854.51 0.240619
2854.70 0.256919
2854.89 0.275605
2855.08 0.297249
2855.26 0.322588
2855.45 0.352577
2855.64 0.388442
2855.82 0.431753
