55-Cs_n-tot
> 55-Cs-133:1.000000
5.913950e+00 7.30499000e+03
5.920370e+00 7.24537000e+03
5.926790e+00 7.13785000e+03
5.933210e+00 6.98533000e+03
5.939630e+00 6.79183000e+03
5.946040e+00 6.56220000e+03
5.952460e+00 6.30202000e+03
5.958880e+00 6.01731000e+03
5.965300e+00 5.71425000e+03
5.974960e+00 5.23681000e+03
5.984620e+00 4.75083000e+03
5.994280e+00 4.27302000e+03
6.003940e+00 3.81666000e+03
6.008640e+00 3.60545000e+03
6.013330e+00 3.40243000e+03
6.018030e+00 3.20812000e+03
6.022720e+00 3.02293000e+03
6.027420e+00 2.84711000e+03
6.032120e+00 2.68075000e+03
6.036810e+00 2.52383000e+03
6.041510e+00 2.37622000e+03
6.047490e+00 2.20146000e+03
6.053460e+00 2.04080000e+03
6.059440e+00 1.89349000e+03
6.065420e+00 1.75874000e+03
6.071390e+00 1.63560000e+03
6.077370e+00 1.52321000e+03
6.083350e+00 1.42067000e+03
6.089320e+00 1.32715000e+03
6.094020e+00 1.25943000e+03
6.098720e+00 1.19640000e+03
6.103410e+00 1.13769000e+03
6.108110e+00 1.08297000e+03
6.112800e+00 1.03193000e+03
6.117500e+00 9.84285000e+02
6.122200e+00 9.39769000e+02
6.126890e+00 8.98137000e+02
6.131590e+00 8.59154000e+02
6.136280e+00 8.22630000e+02
6.140980e+00 7.88365000e+02
6.145680e+00 7.56186000e+02
6.150370e+00 7.25934000e+02
6.155070e+00 6.97463000e+02
6.159760e+00 6.70640000e+02
6.164460e+00 6.45343000e+02
6.169160e+00 6.21456000e+02
6.173850e+00 5.98887000e+02
6.178550e+00 5.77537000e+02
6.183250e+00 5.57322000e+02
6.192640e+00 5.19988000e+02
6.202030e+00 4.86333000e+02
6.211420e+00 4.55886000e+02
6.220810e+00 4.28259000e+02
6.230210e+00 4.03112000e+02
6.239600e+00 3.80155000e+02
6.246860e+00 3.63756000e+02
6.254110e+00 3.48419000e+02
6.261370e+00 3.34049000e+02
6.268630e+00 3.20571000e+02
6.275890e+00 3.07906000e+02
6.283140e+00 2.95996000e+02
6.290400e+00 2.84776000e+02
6.297660e+00 2.74198000e+02
6.304920e+00 2.64209000e+02
6.312170e+00 2.54770000e+02
6.326690e+00 2.37380000e+02
6.341200e+00 2.21750000e+02
6.355720e+00 2.07649000e+02
6.365110e+00 1.99247000e+02
6.374500e+00 1.91359000e+02
6.383900e+00 1.83943000e+02
6.393290e+00 1.76961000e+02
6.402680e+00 1.70381000e+02
6.412070e+00 1.64173000e+02
6.421460e+00 1.58309000e+02
6.430860e+00 1.52764000e+02
6.449640e+00 1.42541000e+02
6.468430e+00 1.33346000e+02
6.487210e+00 1.25044000e+02
6.505990e+00 1.17524000e+02
6.524780e+00 1.10689000e+02
6.543560e+00 1.04460000e+02
6.562350e+00 9.87656000e+01
6.581130e+00 9.35478000e+01
6.599920e+00 8.87544000e+01
6.618700e+00 8.43413000e+01
6.637480e+00 8.02689000e+01
6.656270e+00 7.65028000e+01
6.675050e+00 7.30121000e+01
6.693840e+00 6.97703000e+01
6.712620e+00 6.67535000e+01
6.731410e+00 6.39415000e+01
6.750190e+00 6.13159000e+01
6.768970e+00 5.88609000e+01
6.787760e+00 5.65623000e+01
6.806540e+00 5.44070000e+01
6.825330e+00 5.23834000e+01
6.844110e+00 5.04812000e+01
6.862900e+00 4.86908000e+01
6.881680e+00 4.70035000e+01
6.900460e+00 4.54115000e+01
6.919250e+00 4.39079000e+01
6.938030e+00 4.24862000e+01
6.956820e+00 4.11404000e+01
6.994390e+00 3.86561000e+01
7.031950e+00 3.64174000e+01
7.069520e+00 3.43930000e+01
7.107090e+00 3.25563000e+01
7.144660e+00 3.08847000e+01
7.182230e+00 2.93590000e+01
7.219800e+00 2.79625000e+01
7.257370e+00 2.66811000e+01
7.282980e+00 2.58670000e+01
7.308600e+00 2.50971000e+01
7.334210e+00 2.43684000e+01
7.359830e+00 2.36780000e+01
7.411060e+00 2.24024000e+01
7.462290e+00 2.12518000e+01
7.513520e+00 2.02086000e+01
7.564750e+00 1.92589000e+01
