>,72-Hf-177:0.186000
>,72-Hf-178:0.272800
>,72-Hf-179:0.136200
>,72-Hf-180:0.350800
8.305670e-01,2.02944846e+02
8.352610e-01,2.08978447e+02
8.359380e-01,2.09855571e+02
8.408200e-01,2.16526532e+02
8.424550e-01,2.18878708e+02
8.437500e-01,2.20752966e+02
8.457030e-01,2.23579562e+02
8.460520e-01,2.24111951e+02
8.496500e-01,2.29623572e+02
8.505860e-01,2.31063893e+02
8.532470e-01,2.35382985e+02
8.554690e-01,2.39006298e+02
8.568440e-01,2.41373814e+02
8.603520e-01,2.47447246e+02
8.615630e-01,2.49664168e+02
8.652340e-01,2.56428519e+02
8.662810e-01,2.58469945e+02
8.701170e-01,2.66000513e+02
8.710000e-01,2.67837306e+02
8.750000e-01,2.76218142e+02
8.757190e-01,2.77821559e+02
8.803710e-01,2.88274832e+02
8.804370e-01,2.88433358e+02
8.851560e-01,2.99858206e+02
8.857420e-01,3.01289681e+02
8.898750e-01,3.12088333e+02
8.911130e-01,3.15353722e+02
8.945930e-01,3.25190207e+02
8.964840e-01,3.30575569e+02
8.971570e-01,3.32632000e+02
8.997200e-01,3.40506330e+02
9.018560e-01,3.47106966e+02
9.022830e-01,3.48526027e+02
9.048470e-01,3.57096271e+02
9.062500e-01,3.61815333e+02
9.072270e-01,3.65101528e+02
9.074100e-01,3.65764463e+02
9.099730e-01,3.75107132e+02
9.125370e-01,3.84515978e+02
9.125980e-01,3.84741458e+02
9.151000e-01,3.94711644e+02
9.179690e-01,4.06251278e+02
9.190560e-01,4.10976732e+02
9.230110e-01,4.28372164e+02
9.233400e-01,4.29838348e+02
9.269670e-01,4.47324723e+02
9.287110e-01,4.55818081e+02
9.289450e-01,4.57054297e+02
9.309230e-01,4.67574669e+02
9.329010e-01,4.78170837e+02
9.340820e-01,4.84546337e+02
9.348780e-01,4.89215815e+02
9.368560e-01,5.00905430e+02
9.375000e-01,5.04741749e+02
9.388340e-01,5.12688786e+02
9.394530e-01,5.16407712e+02
9.408120e-01,5.25295222e+02
9.427900e-01,5.38338136e+02
9.447670e-01,5.51490534e+02
9.448240e-01,5.51873261e+02
9.467450e-01,5.65626313e+02
9.475100e-01,5.71165940e+02
9.495780e-01,5.86818098e+02
9.501950e-01,5.91552966e+02
9.524110e-01,6.09325250e+02
9.528810e-01,6.13137101e+02
9.540750e-01,6.23267087e+02
9.555670e-01,6.36031916e+02
9.557390e-01,6.37573126e+02
9.574040e-01,6.52616176e+02
9.582520e-01,6.60344974e+02
9.590680e-01,6.68132046e+02
9.607320e-01,6.84149378e+02
9.609380e-01,6.86149939e+02
9.623960e-01,7.00959891e+02
9.633790e-01,7.11033486e+02
9.640600e-01,7.18320476e+02
9.657240e-01,7.36280627e+02
9.658200e-01,7.37326015e+02
9.673880e-01,7.55156941e+02
9.682620e-01,7.65180956e+02
9.687500e-01,7.71033907e+02
9.690530e-01,7.74668015e+02
9.707030e-01,7.94627225e+02
9.707170e-01,7.94804354e+02
9.723810e-01,8.16028424e+02
9.731450e-01,8.25852584e+02
9.740450e-01,8.37970530e+02
9.755860e-01,8.58880382e+02
9.757090e-01,8.60629099e+02
9.773730e-01,8.84459061e+02
9.780270e-01,8.93891699e+02
9.790370e-01,9.09159262e+02
9.804690e-01,9.30945985e+02
9.806890e-01,9.34460184e+02
9.823400e-01,9.60992221e+02
9.829100e-01,9.70203130e+02
9.839910e-01,9.88546058e+02
9.853520e-01,1.01175246e+03
9.856420e-01,1.01695430e+03
9.872940e-01,1.04670682e+03
9.877930e-01,1.05572673e+03
9.889450e-01,1.07765099e+03
9.902340e-01,1.10225033e+03
9.905960e-01,1.10953048e+03
9.922480e-01,1.14281512e+03
9.926760e-01,1.15145107e+03
9.951170e-01,1.20346271e+03
9.955700e-01,1.21366429e+03
9.975590e-01,1.25843204e+03
9.977850e-01,1.26382035e+03
1.000000e+00,1.31651749e+03
1.002740e+00,1.38553952e+03
1.004430e+00,1.43111326e+03
1.005480e+00,1.45917186e+03
1.006650e+00,1.49263846e+03
1.008230e+00,1.53749275e+03
1.008870e+00,1.55710182e+03
1.010970e+00,1.62093416e+03
1.011080e+00,1.62454115e+03
1.013300e+00,1.69665918e+03
1.013710e+00,1.70984383e+03
1.015520e+00,1.77278147e+03
1.016450e+00,1.80479182e+03
1.017730e+00,1.85256010e+03
1.019190e+00,1.90651153e+03
1.019630e+00,1.92415868e+03
1.021520e+00,1.99932554e+03
1.021930e+00,2.01548712e+03
1.023410e+00,2.07898526e+03
1.024670e+00,2.13259389e+03
1.025300e+00,2.16166815e+03
1.027420e+00,2.25859301e+03
1.027970e+00,2.28610479e+03
1.030160e+00,2.39457006e+03
1.030640e+00,2.42046896e+03
1.031250e+00,2.45309851e+03
1.032900e+00,2.54135879e+03
1.033320e+00,2.56583932e+03
1.035640e+00,2.70004370e+03
1.035990e+00,2.72205957e+03
1.038380e+00,2.87146234e+03
1.038660e+00,2.89046429e+03
1.041120e+00,3.05657684e+03
1.041330e+00,3.07192322e+03
1.043860e+00,3.25609782e+03
1.044000e+00,3.26708437e+03
1.046620e+00,3.47214136e+03
1.046680e+00,3.47718069e+03
1.048810e+00,3.65571266e+03
1.049380e+00,3.70344561e+03
1.050950e+00,3.84379688e+03
1.052140e+00,3.95009353e+03
1.054100e+00,4.13555418e+03
1.054900e+00,4.21125059e+03
1.057260e+00,4.44607824e+03
1.057660e+00,4.48589453e+03
1.060410e+00,4.77088456e+03
1.060420e+00,4.77192187e+03
1.062500e+00,4.99629703e+03
1.063560e+00,5.11064230e+03
1.065940e+00,5.36772916e+03
