Se-78(n,tot) ENDFB-8.0
Energy(eV) XS(b)
384.212 459.242
384.251 427.254
384.291 397.801
384.330 370.745
384.369 345.940
384.408 323.292
384.440 306.157
384.472 290.249
384.504 275.488
384.536 261.837
384.568 249.136
384.600 237.391
384.633 226.461
384.665 216.350
384.697 206.933
384.729 198.185
384.761 190.052
384.793 182.507
384.825 175.458
384.857 168.905
384.889 162.767
384.921 157.049
384.960 150.538
384.999 144.522
385.039 138.951
385.078 133.781
385.117 128.974
385.156 124.494
385.195 120.312
385.235 116.408
385.274 112.739
385.313 109.293
385.352 106.051
385.391 102.995
385.431 100.110
385.470 97.3827
385.509 94.8001
385.548 92.3572
385.591 89.8239
385.634 87.4318
385.676 85.1592
385.719 83.0073
385.805 79.0120
385.890 75.3872
385.976 72.0847
386.061 69.0642
386.147 66.2920
386.232 63.7395
386.310 61.5712
386.389 59.5508
386.467 57.6642
386.546 55.9012
386.624 54.2463
386.702 52.6922
386.781 51.2302
386.859 49.8545
386.937 48.5546
387.016 47.3263
387.094 46.1640
387.173 45.0642
387.251 44.0196
387.329 43.0287
387.408 42.0853
387.486 41.1885
387.643 39.5170
387.799 37.9946
387.956 36.6015
388.113 35.3239
388.270 34.1472
388.426 33.0617
388.583 32.0564
388.740 31.1243
388.868 30.4100
388.996 29.7363
389.125 29.0991
389.253 28.4965
389.381 27.9249
389.509 27.3828
389.638 26.8673
389.766 26.3774
389.894 25.9104
390.022 25.4656
390.151 25.0408
390.279 24.6354
390.535 23.8768
390.792 23.1814
390.949 22.7841
391.105 22.4063
391.262 22.0463
391.419 21.7034
391.576 21.3759
391.732 21.0632
392.046 20.4781
392.359 19.9413
392.673 19.4473
392.986 18.9914
393.300 18.5693
393.642 18.1433
393.984 17.7495
394.326 17.3844
394.668 17.0452
395.010 16.7293
395.352 16.4344
395.694 16.1586
396.036 15.9000
396.349 15.6765
396.663 15.4651
396.976 15.2647
397.290 15.0747
397.603 14.8943
397.917 14.7228
398.230 14.5596
398.544 14.4040
398.857 14.2556
399.171 14.1139
399.484 13.9785
399.798 13.8489
400.111 13.7248
400.425 13.6059
401.052 13.3823
401.679 13.1758
402.306 12.9847
402.933 12.8072
403.559 12.6421
404.186 12.4879
404.813 12.3438
405.440 12.2087
406.067 12.0819
406.580 11.9838
407.093 11.8903
407.606 11.8014
408.119 11.7166
408.632 11.6354
409.145 11.5577
409.658 11.4832
410.171 11.4118
410.684 11.3434
411.197 11.2776
412.223 11.1538
413.249 11.0392
414.275 10.9327
414.902 10.8713
415.529 10.8125
416.156 10.7561
416.783 10.7020
417.410 10.6500
418.037 10.6000
419.291 10.5056
420.545 10.4180
421.799 10.3364
423.053 10.2603
424.307 10.1890
425.789 10.1106
427.271 10.0376
428.753 9.96966
430.235 9.90617
431.717 9.84673
433.198 9.79125
434.680 9.73872
436.162 9.68924
437.416 9.64961
438.670 9.61177
439.924 9.57560
441.178 9.54110
442.432 9.50807
443.686 9.47638
444.940 9.44604
446.194 9.41695
447.448 9.38894
448.702 9.36203
451.210 9.31122
453.718 9.26402
456.226 9.22001
458.734 9.17892
461.241 9.14040
463.749 9.10423
466.257 9.07021
468.765 9.03809
471.273 9.00775
473.781 8.97902
476.289 8.95175
479.253 8.92146
482.217 8.89260
485.181 8.86538
488.145 8.83967
491.108 8.81524
494.072 8.79194
497.036 8.76972
500.000 8.74852
504.784 8.71634
509.567 8.68633
514.351 8.65822
519.134 8.63183
523.917 8.60715
528.701 8.58363
533.484 8.56136
538.268 8.54025
545.785 8.50924
549.543 8.49446
553.302 8.48032
560.819 8.45331
568.335 8.42807
575.852 8.40422
583.369 8.38175
590.886 8.36045
598.403 8.34014
604.553 8.32428
610.703 8.30900
623.004 8.28007
635.304 8.25290
647.604 8.22728
659.905 8.20302
672.205 8.17994
684.505 8.15792
696.806 8.13685
706.373 8.12108
715.940 8.10577
725.507 8.09088
735.073 8.07632
740.540 8.06820
748.057 8.05723
755.574 8.04647
763.091 8.03591
770.608 8.02556
778.125 8.01540
785.642 8.00547
789.400 8.00058
793.158 7.99577
796.917 7.99102
800.675 7.98634
803.750 7.98258
806.825 7.97891
809.901 7.97532
812.976 7.97186
816.051 7.96854
819.126 7.96542
820.663 7.96396
822.201 7.96259
823.738 7.96133
825.276 7.96020
826.643 7.95934
828.009 7.95864
829.376 7.95816
830.743 7.95795
832.109 7.95809
832.793 7.95832
833.476 7.95870
834.160 7.95925
834.843 7.95999
835.526 7.96097
836.210 7.96223
836.893 7.96383
837.576 7.96586
838.260 7.96841
838.943 7.97161
839.626 7.97565
839.968 7.97805
840.310 7.98077
840.651 7.98386
840.993 7.98737
841.335 7.99137
841.676 7.99594
842.061 8.00191
842.445 8.00893
842.830 8.01724
843.214 8.02716
843.406 8.03286
843.598 8.03913
843.791 8.04605
843.983 8.05371
844.175 8.06224
844.367 8.07175
844.559 8.08242
844.751 8.09442
844.976 8.11045
845.200 8.12910
845.312 8.13961
845.424 8.15102
845.536 8.16345
845.648 8.17703
845.761 8.19192
845.873 8.20830
845.985 8.22640
846.097 8.24650
846.209 8.26894
846.321 8.29419
846.433 8.32282
846.545 8.35563
846.604 8.37486
846.663 8.39569
846.722 8.41839
846.780 8.44323
846.839 8.47060
846.898 8.50081
846.956 8.53439
847.015 8.57191
847.074 8.61414
847.133 8.66178
847.191 8.71586
847.250 8.77756
847.309 8.84827
847.367 8.92962
847.397 8.97494
847.426 9.02350
847.456 9.07592
847.485 9.13215
847.525 9.21616
847.565 9.30893
847.605 9.41192
847.645 9.52572
847.685 9.65208
847.725 9.79168
847.765 9.94660
847.805 10.1176
847.825 10.2102
847.845 10.3070
847.865 10.4088
847.885 10.5158
847.905 10.6286
847.925 10.7466
847.945 10.8704
847.965 11.0003
847.986 11.1372
848.006 11.2801
848.026 11.4298
848.046 11.5867
848.066 11.7509
848.086 11.9228
848.126 12.2907
848.155 12.5827
848.184 12.8939
848.214 13.2252
848.243 13.5763
848.272 13.9505
848.302 14.3461
848.331 14.7666
848.360 15.2099
848.390 15.6799
848.419 16.1758
848.449 16.6983
848.478 17.2462
848.507 17.8236
848.537 18.4272
848.566 19.0615
848.595 19.7225
848.641 20.8039
848.686 21.9550
848.732 23.1754
848.777 24.4639
848.822 25.8182
848.868 27.2356
848.913 28.7121
848.958 30.2393
849.017 32.2892
