17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
3.939710e+02 7.06865841e+00
3.940370e+02 7.20018330e+00
3.941030e+02 7.34038271e+00
3.941690e+02 7.49007485e+00
3.942350e+02 7.65042642e+00
3.943020e+02 7.82198286e+00
3.943680e+02 8.00643368e+00
3.944340e+02 8.20454403e+00
3.945000e+02 8.41841247e+00
3.945670e+02 8.64894807e+00
3.946330e+02 8.89849946e+00
3.946990e+02 9.16903637e+00
3.947500e+02 9.39426927e+00
3.948010e+02 9.63472993e+00
3.948530e+02 9.89178199e+00
3.949040e+02 1.01668650e+01
3.949550e+02 1.04615698e+01
3.950060e+02 1.07776389e+01
3.950570e+02 1.11169664e+01
3.951090e+02 1.14808401e+01
3.951600e+02 1.18728207e+01
3.952110e+02 1.22947266e+01
3.952620e+02 1.27489062e+01
3.953130e+02 1.32372536e+01
3.953640e+02 1.37643901e+01
3.954160e+02 1.43325127e+01
3.954670e+02 1.49448034e+01
3.955180e+02 1.56031562e+01
3.955840e+02 1.65334870e+01
3.956500e+02 1.75554116e+01
3.957170e+02 1.86779454e+01
3.957830e+02 1.99091191e+01
3.958490e+02 2.12589330e+01
3.959150e+02 2.27306447e+01
3.959820e+02 2.43331939e+01
3.960480e+02 2.60727930e+01
3.961140e+02 2.79572452e+01
3.961800e+02 2.99845807e+01
3.962460e+02 3.21594968e+01
3.963130e+02 3.44818417e+01
3.963790e+02 3.69529794e+01
3.964450e+02 3.95604092e+01
3.965110e+02 4.22995857e+01
3.965780e+02 4.51594479e+01
3.966740e+02 4.95092053e+01
3.967700e+02 5.40213922e+01
3.969630e+02 6.32485754e+01
3.970950e+02 6.94144504e+01
3.971610e+02 7.23512848e+01
3.972270e+02 7.51373567e+01
3.972940e+02 7.77648630e+01
3.973600e+02 8.01679681e+01
3.974270e+02 8.23203076e+01
3.974930e+02 8.41847592e+01
3.975740e+02 8.60287551e+01
3.976550e+02 8.73712198e+01
3.977360e+02 8.81826069e+01
3.978170e+02 8.84432187e+01
3.978320e+02 8.84303391e+01
3.978820e+02 8.82477559e+01
3.979320e+02 8.78515296e+01
3.979820e+02 8.72446904e+01
3.980330e+02 8.64348144e+01
3.980830e+02 8.54264473e+01
3.981330e+02 8.42309529e+01
3.981830e+02 8.28551498e+01
3.982340e+02 8.13157050e+01
3.982950e+02 7.92254847e+01
3.983560e+02 7.69360156e+01
3.984180e+02 7.44648740e+01
3.984790e+02 7.18496369e+01
3.986160e+02 6.56320852e+01
3.987520e+02 5.91330852e+01
3.988580e+02 5.40950419e+01
3.989630e+02 4.91692750e+01
3.990690e+02 4.44492721e+01
3.991740e+02 4.00109450e+01
3.992420e+02 3.73075989e+01
3.993110e+02 3.47514543e+01
3.993790e+02 3.23483450e+01
3.994470e+02 3.01044075e+01
3.995150e+02 2.80132021e+01
3.995840e+02 2.60788198e+01
3.996520e+02 2.42916393e+01
3.997200e+02 2.26514332e+01
3.997880e+02 2.11466102e+01
3.998570e+02 1.97720944e+01
3.999250e+02 1.85197037e+01
3.999930e+02 1.73825440e+01
4.000620e+02 1.63486452e+01
4.001300e+02 1.54125525e+01
4.001980e+02 1.45632050e+01
4.002660e+02 1.37951480e+01
4.003250e+02 1.31893693e+01
4.003840e+02 1.26341981e+01
4.004430e+02 1.21234224e+01
4.005020e+02 1.16546934e+01
4.005610e+02 1.12228596e+01
4.006200e+02 1.08258754e+01
4.006790e+02 1.04592709e+01
4.007380e+02 1.01214552e+01
4.007970e+02 9.80871613e+00
4.008560e+02 9.51968990e+00
4.009150e+02 9.25119463e+00
4.009740e+02 9.00239696e+00
4.010330e+02 8.77049376e+00
4.010920e+02 8.55487897e+00
4.011510e+02 8.35335554e+00
4.012090e+02 8.16524166e+00
4.012780e+02 7.96205120e+00
4.013460e+02 7.77342185e+00
4.014140e+02 7.59793685e+00
