>,14-Si-30:0.030920
2.230450e+03,8.26915611e-01
2.230530e+03,8.71424941e-01
2.230600e+03,9.17610137e-01
2.230680e+03,9.66726548e-01
2.230760e+03,1.01758375e+00
2.230840e+03,1.07153605e+00
2.230920e+03,1.12726934e+00
2.231070e+03,1.24226081e+00
2.231220e+03,1.36592224e+00
2.231370e+03,1.50000371e+00
2.231520e+03,1.64269949e+00
2.231670e+03,1.79572255e+00
2.231820e+03,1.95670442e+00
2.231970e+03,2.12610272e+00
2.232120e+03,2.30320628e+00
2.232280e+03,2.49583477e+00
2.232430e+03,2.69463798e+00
2.232750e+03,3.10451655e+00
2.233060e+03,3.51955568e+00
2.233380e+03,3.91953676e+00
2.233520e+03,4.09315254e+00
2.233660e+03,4.25687393e+00
2.233810e+03,4.41005159e+00
2.233950e+03,4.55095401e+00
2.234110e+03,4.68947560e+00
2.234260e+03,4.80910506e+00
2.234400e+03,4.89493896e+00
2.234530e+03,4.96423067e+00
2.234670e+03,5.01728937e+00
2.234800e+03,5.05272368e+00
2.234900e+03,5.06790538e+00
2.235000e+03,5.07285257e+00
2.235130e+03,5.06370024e+00
2.235270e+03,5.03710902e+00
2.235400e+03,4.99301709e+00
2.235530e+03,4.93253755e+00
2.235640e+03,4.86742002e+00
2.235760e+03,4.79092392e+00
2.235870e+03,4.70366767e+00
2.235990e+03,4.60636242e+00
2.236220e+03,4.38151215e+00
2.236450e+03,4.12673132e+00
2.236680e+03,3.84857498e+00
2.236910e+03,3.55474219e+00
2.237280e+03,3.06013964e+00
2.237660e+03,2.57340005e+00
2.237890e+03,2.28884636e+00
2.238010e+03,2.15302715e+00
2.238120e+03,2.02165733e+00
2.238240e+03,1.89508321e+00
2.238350e+03,1.77358305e+00
2.238470e+03,1.65736094e+00
2.238580e+03,1.54657766e+00
2.238700e+03,1.44132288e+00
2.238810e+03,1.34164297e+00
2.238930e+03,1.24753175e+00
2.239040e+03,1.15893666e+00
2.239160e+03,1.07577112e+00
2.239270e+03,9.97917642e-01
2.239390e+03,9.25218524e-01
2.239500e+03,8.58069548e-01
2.239610e+03,7.95100955e-01
2.239730e+03,7.36711613e-01
2.239840e+03,6.82678900e-01
2.239960e+03,6.32774006e-01
2.240070e+03,5.86765033e-01
2.240190e+03,5.44410803e-01
2.240300e+03,5.05482510e-01
2.240420e+03,4.69745160e-01
2.240530e+03,4.36976132e-01
2.240650e+03,4.06958982e-01
2.240760e+03,3.79480365e-01
2.240880e+03,3.54342391e-01
2.240990e+03,3.31353358e-01
2.241110e+03,3.10333928e-01
