>,28-Ni-60:0.262230
>,28-Ni-61:0.011399
>,28-Ni-62:0.036346
>,28-Ni-64:0.009255
9.375000e+00,1.94257490e+01
9.499900e+00,1.94179517e+01
9.999900e+00,1.93867374e+01
1.000000e+01,1.93867312e+01
1.000030e+01,1.93867147e+01
1.000060e+01,1.93866982e+01
1.000120e+01,1.93866652e+01
1.000250e+01,1.93865937e+01
1.000490e+01,1.93864617e+01
1.000980e+01,1.93861922e+01
1.001950e+01,1.93856587e+01
1.003910e+01,1.93845806e+01
1.007810e+01,1.93824356e+01
1.015630e+01,1.93781346e+01
1.031250e+01,1.93695434e+01
1.062500e+01,1.93523557e+01
1.080480e+01,1.93424759e+01
1.113380e+01,1.93246481e+01
1.115160e+01,1.93237741e+01
1.119370e+01,1.93217351e+01
1.123580e+01,1.93197327e+01
1.125000e+01,1.93190726e+01
1.132010e+01,1.93158168e+01
1.148870e+01,1.93081621e+01
1.160960e+01,1.93028428e+01
1.182580e+01,1.92934404e+01
1.187500e+01,1.92914167e+01
1.241440e+01,1.92692508e+01
1.250000e+01,1.92657839e+01
1.321920e+01,1.92395000e+01
1.375000e+01,1.92203255e+01
1.402390e+01,1.92116064e+01
1.482870e+01,1.91862602e+01
1.500000e+01,1.91809595e+01
1.531250e+01,1.91723507e+01
1.562500e+01,1.91643896e+01
1.625000e+01,1.91492147e+01
1.643830e+01,1.91450402e+01
1.732870e+01,1.91256264e+01
1.750000e+01,1.91219309e+01
1.821920e+01,1.91081564e+01
1.875000e+01,1.90981725e+01
2.000000e+01,1.90772013e+01
2.093750e+01,1.90632194e+01
2.125000e+01,1.90588493e+01
2.140630e+01,1.90566639e+01
2.156710e+01,1.90546222e+01
2.187500e+01,1.90508063e+01
2.250000e+01,1.90443591e+01
2.313430e+01,1.90378170e+01
2.375000e+01,1.90315735e+01
2.470140e+01,1.90236867e+01
2.500000e+01,1.90212762e+01
2.562500e+01,1.90162322e+01
2.626850e+01,1.90120748e+01
2.750000e+01,1.90042795e+01
2.783570e+01,1.90025906e+01
2.898130e+01,1.89969762e+01
2.937500e+01,1.89955670e+01
2.940280e+01,1.89954883e+01
3.000000e+01,1.89938495e+01
3.078130e+01,1.89917067e+01
3.096990e+01,1.89913994e+01
3.125000e+01,1.89909796e+01
3.218750e+01,1.89895837e+01
3.250000e+01,1.89894278e+01
3.253710e+01,1.89894093e+01
3.312500e+01,1.89891836e+01
3.471990e+01,1.89885857e+01
3.500000e+01,1.89885157e+01
3.687500e+01,1.89914013e+01
3.690280e+01,1.89914441e+01
3.750000e+01,1.89924022e+01
3.875000e+01,1.89944087e+01
3.908570e+01,1.89954061e+01
4.000000e+01,1.89982078e+01
4.062500e+01,1.90001234e+01
4.126850e+01,1.90027383e+01
4.156250e+01,1.90039514e+01
4.250000e+01,1.90086351e+01
4.345140e+01,1.90143971e+01
4.499900e+01,1.90238665e+01
4.500000e+01,1.90238726e+01
4.563430e+01,1.90277541e+01
4.625000e+01,1.90315698e+01
4.750000e+01,1.90414410e+01
4.999900e+01,1.90611770e+01
5.000000e+01,1.90611849e+01
5.000250e+01,1.90612088e+01
5.000490e+01,1.90612317e+01
5.000980e+01,1.90612785e+01
5.001950e+01,1.90613712e+01
5.003910e+01,1.90615585e+01
5.007810e+01,1.90619312e+01
5.015620e+01,1.90626774e+01
5.031240e+01,1.90641700e+01
