>,24-Cr-53:0.095001
>,24-Cr-54:0.023650
1.623890e+03,1.66051756e+01
1.623990e+03,1.78559120e+01
1.624090e+03,1.92415500e+01
1.624200e+03,2.06923100e+01
1.624300e+03,2.21964268e+01
1.624410e+03,2.37398584e+01
1.624620e+03,2.68928144e+01
1.624830e+03,2.99691865e+01
1.624940e+03,3.15525858e+01
1.625000e+03,3.22956541e+01
1.625060e+03,3.30387237e+01
1.625160e+03,3.43083986e+01
1.625270e+03,3.54378269e+01
1.625350e+03,3.62539124e+01
1.625440e+03,3.69614239e+01
1.625540e+03,3.76656012e+01
1.625650e+03,3.81783363e+01
1.625770e+03,3.85256039e+01
1.625870e+03,3.86190372e+01
1.625930e+03,3.85833640e+01
1.625990e+03,3.84786480e+01
1.626110e+03,3.80694610e+01
1.626170e+03,3.77530918e+01
1.626240e+03,3.73752384e+01
1.626360e+03,3.64060840e+01
1.626450e+03,3.56115787e+01
1.626530e+03,3.47272333e+01
1.626660e+03,3.32693502e+01
1.626780e+03,3.16554329e+01
1.626910e+03,2.99082235e+01
1.627030e+03,2.80933782e+01
1.627260e+03,2.46941759e+01
1.627380e+03,2.30040099e+01
1.627490e+03,2.13506938e+01
1.627620e+03,1.95889888e+01
1.627740e+03,1.79171727e+01
1.627810e+03,1.71202864e+01
1.627870e+03,1.63516197e+01
1.627930e+03,1.56126146e+01
1.627990e+03,1.49041928e+01
1.628050e+03,1.42587810e+01
1.628110e+03,1.36421928e+01
1.628170e+03,1.30547636e+01
1.628230e+03,1.24965770e+01
1.628290e+03,1.19673816e+01
1.628350e+03,1.14669262e+01
1.628410e+03,1.09948755e+01
1.628470e+03,1.05576731e+01
1.628530e+03,1.01399685e+01
1.628590e+03,9.74857394e+00
1.628650e+03,9.38263473e+00
1.628710e+03,9.04671742e+00
1.628770e+03,8.72846300e+00
1.628830e+03,8.43273130e+00
1.628890e+03,8.15848331e+00
1.628950e+03,7.90870195e+00
1.628990e+03,7.76942950e+00
1.629020e+03,7.64021945e+00
1.629060e+03,7.51328925e+00
1.629090e+03,7.39565058e+00
1.629120e+03,7.28020720e+00
1.629160e+03,7.17336980e+00
1.629190e+03,7.07153389e+00
1.629230e+03,6.97454179e+00
1.629260e+03,6.87953476e+00
1.629300e+03,6.79178468e+00
1.629360e+03,6.62892690e+00
1.629430e+03,6.47978627e+00
1.629500e+03,6.34732820e+00
1.629570e+03,6.22636609e+00
1.629640e+03,6.11922931e+00
1.629710e+03,6.02162780e+00
1.629770e+03,5.93532880e+00
1.629840e+03,5.85684814e+00
1.629910e+03,5.78755085e+00
1.629980e+03,5.72543434e+00
1.630050e+03,5.66975290e+00
1.630110e+03,5.62331272e+00
1.630170e+03,5.58132178e+00
1.630240e+03,5.54336188e+00
1.630300e+03,5.50897068e+00
1.630360e+03,5.47780539e+00
1.630430e+03,5.44954836e+00
1.630550e+03,5.40085038e+00
1.630680e+03,5.36006292e+00
1.630800e+03,5.32615384e+00
1.630930e+03,5.29728967e+00
1.631050e+03,5.27284885e+00
1.631180e+03,5.25163470e+00
1.631300e+03,5.23332729e+00
1.631430e+03,5.21712377e+00
1.631550e+03,5.20287179e+00
1.631680e+03,5.19005338e+00
1.631810e+03,5.17860911e+00
1.632060e+03,5.15869437e+00
1.632300e+03,5.14266673e+00
1.632540e+03,5.12892655e+00
1.632780e+03,5.11700460e+00
1.633020e+03,5.10660763e+00
1.633260e+03,5.09739210e+00
1.633500e+03,5.08922394e+00
1.633740e+03,5.08195234e+00
1.633970e+03,5.07544246e+00
1.634450e+03,5.06430949e+00
1.634930e+03,5.05522938e+00
1.635410e+03,5.04773289e+00
1.635890e+03,5.04150162e+00
1.636370e+03,5.03625908e+00
1.636850e+03,5.03185443e+00
1.637330e+03,5.02812011e+00
1.637810e+03,5.02495555e+00
1.638290e+03,5.02225184e+00
1.638770e+03,5.01995032e+00
1.639730e+03,5.01632763e+00
1.640690e+03,5.01371878e+00
1.641640e+03,5.01187168e+00
1.642600e+03,5.01062861e+00
1.643560e+03,5.00985476e+00
1.644840e+03,5.00938995e+00
1.646120e+03,5.00940274e+00
1.647400e+03,5.00978420e+00
1.648670e+03,5.01044980e+00
1.649950e+03,5.01136752e+00
1.651230e+03,5.01246957e+00
1.652510e+03,5.01372245e+00
1.653790e+03,5.01510101e+00
1.656340e+03,5.01815065e+00
1.658900e+03,5.02148592e+00
1.661460e+03,5.02502229e+00
1.664010e+03,5.02870873e+00
1.668210e+03,5.03501660e+00
1.672410e+03,5.04154232e+00
1.676610e+03,5.04821887e+00
1.680810e+03,5.05497921e+00
1.685010e+03,5.06181495e+00
1.687500e+03,5.06590731e+00
1.689210e+03,5.06895070e+00
1.697610e+03,5.08399281e+00
1.706010e+03,5.09915223e+00
1.714410e+03,5.11437869e+00
1.722810e+03,5.12963866e+00
1.731210e+03,5.14492377e+00
1.747280e+03,5.17424180e+00
1.750000e+03,5.17921266e+00
1.763350e+03,5.20516920e+00
1.779420e+03,5.23643941e+00
1.795490e+03,5.26772636e+00
1.811560e+03,5.29902170e+00
1.812500e+03,5.30085324e+00
1.827620e+03,5.33221520e+00
1.859760e+03,5.39889799e+00
1.875000e+03,5.43052193e+00
1.894820e+03,5.47435296e+00
1.929880e+03,5.55190334e+00
1.937500e+03,5.56876100e+00
