>,82-Pb-207:0.221000
>,82-Pb-208:0.524000
2.975000e+01,5.06420043e-03
2.976340e+01,5.06308614e-03
3.008290e+01,5.03652245e-03
3.072200e+01,4.98348940e-03
3.125000e+01,4.93981224e-03
3.200000e+01,4.88262399e-03
3.312500e+01,4.79771013e-03
3.489630e+01,4.67391024e-03
3.500000e+01,4.66670291e-03
3.523440e+01,4.65215338e-03
3.546880e+01,4.63760664e-03
3.593750e+01,4.60852465e-03
3.687500e+01,4.55037858e-03
3.875000e+01,4.43434545e-03
4.250000e+01,4.23341680e-03
4.625000e+01,4.05751294e-03
5.000000e+01,3.90176579e-03
5.273860e+01,3.79917177e-03
5.312500e+01,3.78476017e-03
5.547720e+01,3.70404759e-03
5.625000e+01,3.67766468e-03
5.937500e+01,3.57923629e-03
6.095430e+01,3.53292177e-03
6.250000e+01,3.48787595e-03
6.400000e+01,3.44848684e-03
6.875000e+01,3.32474862e-03
6.950000e+01,3.30747316e-03
7.500000e+01,3.18231056e-03
8.115230e+01,3.05860864e-03
8.125000e+01,3.05665527e-03
8.730460e+01,2.94820571e-03
8.750000e+01,2.94472136e-03
8.828130e+01,2.93214965e-03
8.906250e+01,2.91958368e-03
9.062500e+01,2.89445580e-03
9.375000e+01,2.84422525e-03
1.000000e+02,2.75326078e-03
1.054770e+02,2.68077918e-03
1.062500e+02,2.67059430e-03
1.109540e+02,2.61335589e-03
1.125000e+02,2.59463934e-03
1.187500e+02,2.52498800e-03
1.219090e+02,2.49220736e-03
1.250000e+02,2.46033478e-03
1.280000e+02,2.43246255e-03
1.375000e+02,2.34491455e-03
1.390000e+02,2.33268927e-03
1.500000e+02,2.24412997e-03
1.623050e+02,2.15662987e-03
1.625000e+02,2.15525102e-03
1.746090e+02,2.07854173e-03
1.750000e+02,2.07607651e-03
1.765630e+02,2.06720580e-03
1.781250e+02,2.05834258e-03
1.812500e+02,2.04061621e-03
1.875000e+02,2.00517900e-03
2.000000e+02,1.94073684e-03
2.087450e+02,1.90056939e-03
2.093940e+02,1.89760250e-03
2.114180e+02,1.88835157e-03
2.134420e+02,1.87910246e-03
2.174900e+02,1.86060956e-03
2.180390e+02,1.85810192e-03
2.187500e+02,1.85485501e-03
2.200180e+02,1.84973812e-03
2.219960e+02,1.84175755e-03
2.259530e+02,1.82579849e-03
2.272260e+02,1.82068757e-03
2.313500e+02,1.80414365e-03
2.354750e+02,1.78760137e-03
2.375000e+02,1.77948563e-03
2.437240e+02,1.75707508e-03
2.447570e+02,1.75337073e-03
2.468750e+02,1.74578203e-03
2.487030e+02,1.73928442e-03
2.526480e+02,1.72526682e-03
2.562500e+02,1.71247594e-03
2.605400e+02,1.69868657e-03
2.616000e+02,1.69529223e-03
2.656660e+02,1.68228084e-03
2.697320e+02,1.66927379e-03
2.750000e+02,1.65244824e-03
